"","A0CF","A1D2","C073","5440","5EBF3C","61B2","1F36","4D10","CE1D","1A0D","94D3","775E","5DED","4FCA","4F91","4D01","5971","0832","A093","A4F8","900E","9900"
"2013-08-16_235",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0
"2013-08-17_28",1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
"2013-08-18_28",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
"2013-08-19_28",1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0
"2013-08-20_28",1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0
"2013-08-21_28",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
"2013-08-21_17",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2013-08-22_28",1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1
"2013-08-22_110",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-08-23_28",1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1
"2013-08-24_28",1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0
"2013-08-25_18",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
"2013-08-25_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2013-08-27_28",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"2013-08-28_5",0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
"2013-08-28_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"2013-08-29_5",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
