"","1A0D","A4F8","E89B","238E","4107","110D","1E39","2562","D8F5","4999","A1CE","B5F7","101F","50FB","B311","7789","48AB","F50E","A41C","5440","EDDE"
"A1CE",0.696969696969697,0.137931034482759,0.435897435897436,0.233333333333333,0.647058823529412,0.696969696969697,0.435897435897436,0.75,0.2,0.75,0,0.0714285714285714,0.6,0.25,0.206896551724138,0.241379310344828,0.647058823529412,0.513513513513513,0.696969696969697,0.103448275862069,0.0344827586206897
"B5F7",0.0714285714285714,0.166666666666667,0,0.1,0.0714285714285714,0.0714285714285714,0.0344827586206897,0.0714285714285714,0.111111111111111,0.0344827586206897,0.0714285714285714,0,0,0.125,0.125,0.111111111111111,0.0714285714285714,0.0344827586206897,0.0344827586206897,0,0
"101F",0.555555555555556,0.137931034482759,0.75,0.193548387096774,0.513513513513513,0.473684210526316,0.647058823529412,0.696969696969697,0.2,0.6,0.6,0,0,0.206896551724138,0.206896551724138,0.241379310344828,0.513513513513513,0.647058823529412,0.555555555555556,0.103448275862069,0.0714285714285714
"50FB",0.25,0.5,0.09375,0.6,0.206896551724138,0.166666666666667,0.206896551724138,0.25,0.666666666666667,0.25,0.25,0.125,0.206896551724138,0,0.75,0.875,0.25,0.25,0.25,0.375,0.125
"B311",0.25,0.714285714285714,0.129032258064516,0.6,0.206896551724138,0.166666666666667,0.25,0.25,0.875,0.25,0.206896551724138,0.125,0.206896551724138,0.75,0,0.875,0.25,0.25,0.25,0.375,0.285714285714286
"7789",0.285714285714286,0.625,0.125,0.7,0.241379310344828,0.2,0.241379310344828,0.285714285714286,0.777777777777778,0.285714285714286,0.241379310344828,0.111111111111111,0.241379310344828,0.875,0.875,0,0.285714285714286,0.285714285714286,0.285714285714286,0.333333333333333,0.25
"48AB",0.696969696969697,0.178571428571429,0.365853658536585,0.233333333333333,0.75,0.6,0.513513513513513,0.555555555555556,0.241379310344828,0.647058823529412,0.647058823529412,0.0714285714285714,0.513513513513513,0.25,0.25,0.285714285714286,0,0.6,0.696969696969697,0.103448275862069,0.0714285714285714
"F50E",0.473684210526316,0.178571428571429,0.555555555555556,0.275862068965517,0.513513513513513,0.473684210526316,0.866666666666667,0.6,0.285714285714286,0.6,0.513513513513513,0.0344827586206897,0.647058823529412,0.25,0.25,0.285714285714286,0.6,0,0.555555555555556,0.142857142857143,0.0714285714285714
"A41C",0.866666666666667,0.178571428571429,0.4,0.321428571428571,0.806451612903226,0.75,0.473684210526316,0.696969696969697,0.285714285714286,0.931034482758621,0.696969696969697,0.0344827586206897,0.555555555555556,0.25,0.25,0.285714285714286,0.696969696969697,0.555555555555556,0,0.142857142857143,0.0714285714285714
"5440",0.142857142857143,0.5,0.032258064516129,0.3,0.103448275862069,0.0666666666666667,0.142857142857143,0.142857142857143,0.5,0.142857142857143,0.103448275862069,0,0.103448275862069,0.375,0.375,0.333333333333333,0.103448275862069,0.142857142857143,0.142857142857143,0,0.2
"EDDE",0.0714285714285714,0.4,0.0344827586206897,0.222222222222222,0.0714285714285714,0.0344827586206897,0.0714285714285714,0.0714285714285714,0.25,0.0714285714285714,0.0344827586206897,0,0.0714285714285714,0.125,0.285714285714286,0.25,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.2,0
