"","91BD","06E6","0ACE","0222","1A0D","238E","110D","2562","4999","B5F7","B311","48AB","ED95","D3B0","8EBE","100F","909D","96BF","877B","8870","A1CE","101F","1153","AE33"
"8EBE",0.606060606060606,0.375,0.483870967741935,0.466666666666667,0.555555555555556,0.208333333333333,0.115384615384615,0.0416666666666667,0.321428571428571,0.821428571428571,0.482758620689655,0.0769230769230769,0.192307692307692,0.482758620689655,0,0.692307692307692,0.551724137931034,0.0769230769230769,0.75,0.115384615384615,0.333333333333333,0.344827586206897,0.666666666666667,0
"100F",0.441176470588235,0.428571428571429,0.354838709677419,0.538461538461538,0.652173913043478,0.25,0.19047619047619,0.05,0.5,0.678571428571429,0.444444444444444,0.142857142857143,0.173913043478261,0.392857142857143,0.692307692307692,0,0.413793103448276,0.142857142857143,0.607142857142857,0.19047619047619,0.523809523809524,0.346153846153846,0.483870967741935,0.05
"909D",0.5625,0.464285714285714,0.433333333333333,0.366666666666667,0.5,0.130434782608696,0.238095238095238,0.0476190476190476,0.478260869565217,0.714285714285714,0.818181818181818,0.19047619047619,0.333333333333333,0.6,0.551724137931034,0.413793103448276,0,0.19047619047619,0.642857142857143,0.238095238095238,0.375,0.5,0.46875,0.0476190476190476
"96BF",0.137931034482759,0.2,0.130434782608696,0.2,0.157894736842105,0.285714285714286,0.8,0.25,0.307692307692308,0.107142857142857,0.210526315789474,1,0.571428571428571,0.210526315789474,0.0769230769230769,0.142857142857143,0.19047619047619,0,0.0740740740740741,0.8,0.230769230769231,0.1875,0.0714285714285714,0.25
"877B",0.636363636363636,0.40625,0.46875,0.40625,0.653846153846154,0.2,0.111111111111111,0.04,0.310344827586207,0.857142857142857,0.62962962962963,0.0740740740740741,0.185185185185185,0.517241379310345,0.75,0.607142857142857,0.642857142857143,0.0740740740740741,0,0.111111111111111,0.275862068965517,0.333333333333333,0.645161290322581,0
"8870",0.172413793103448,0.25,0.173913043478261,0.25,0.210526315789474,0.25,0.666666666666667,0.2,0.285714285714286,0.142857142857143,0.263157894736842,0.8,0.714285714285714,0.2,0.115384615384615,0.19047619047619,0.238095238095238,0.8,0.111111111111111,0,0.214285714285714,0.25,0.107142857142857,0.2
"A1CE",0.242424242424242,0.333333333333333,0.214285714285714,0.333333333333333,0.363636363636364,0.214285714285714,0.307692307692308,0,0.666666666666667,0.344827586206897,0.347826086956522,0.230769230769231,0.1875,0.347826086956522,0.333333333333333,0.523809523809524,0.375,0.230769230769231,0.275862068965517,0.214285714285714,0,0.421052631578947,0.225806451612903,0.0833333333333333
"101F",0.375,0.521739130434783,0.37037037037037,0.4,0.375,0.111111111111111,0.25,0,0.4,0.354838709677419,0.545454545454545,0.1875,0.375,0.259259259259259,0.344827586206897,0.346153846153846,0.5,0.1875,0.333333333333333,0.25,0.421052631578947,0,0.32258064516129,0.0666666666666667
"1153",0.774193548387097,0.483870967741935,0.655172413793103,0.4375,0.466666666666667,0.148148148148148,0.107142857142857,0,0.181818181818182,0.709677419354839,0.451612903225806,0.0714285714285714,0.178571428571429,0.451612903225806,0.666666666666667,0.483870967741935,0.46875,0.0714285714285714,0.645161290322581,0.107142857142857,0.225806451612903,0.32258064516129,0,0.0384615384615385
"AE33",0.0344827586206897,0.05,0.0454545454545455,0.05,0.0555555555555556,0,0.2,0,0.0769230769230769,0.037037037037037,0.0526315789473684,0.25,0.142857142857143,0.0526315789473684,0,0.05,0.0476190476190476,0.25,0,0.2,0.0833333333333333,0.0666666666666667,0.0384615384615385,0
