"","A0CF","5EBF3C","A1D2","C073","1F36","4D10","CE1D","1A0D","5440","5DED","4FCA","5971","0832","A093","A4F8","900E","61B2","94D3","4F91","775E","9900"
"5971",0.5,0.333333333333333,0.5,0.585365853658537,0.243243243243243,0.285714285714286,0.314285714285714,0.5,0.277777777777778,0.256410256410256,0.372093023255814,0,0.473684210526316,0.619047619047619,0.682926829268293,0.487179487179487,0.277777777777778,0.114285714285714,0.216216216216216,0.230769230769231,0.162162162162162
"0832",0.535714285714286,0.416666666666667,0.533333333333333,0.5,0.230769230769231,0.347826086956522,0.28,0.428571428571429,0.28,0.296296296296296,0.451612903225806,0.473684210526316,0,0.5,0.571428571428571,0.517241379310345,0.333333333333333,0.136363636363636,0.24,0.214285714285714,0.208333333333333
"A093",0.527777777777778,0.352941176470588,0.567567567567568,0.536585365853659,0.294117647058824,0.264705882352941,0.333333333333333,0.529411764705882,0.257142857142857,0.382352941176471,0.390243902439024,0.619047619047619,0.5,0,0.634146341463415,0.513513513513513,0.294117647058824,0.121212121212121,0.264705882352941,0.277777777777778,0.205882352941176
"A4F8",0.555555555555556,0.342857142857143,0.552631578947368,0.6,0.216216216216216,0.257142857142857,0.285714285714286,0.472222222222222,0.25,0.297297297297297,0.414634146341463,0.682926829268293,0.571428571428571,0.634146341463415,0,0.461538461538462,0.285714285714286,0.117647058823529,0.157894736842105,0.236842105263158,0.2
"900E",0.551724137931034,0.44,0.6,0.394736842105263,0.307692307692308,0.32,0.36,0.5,0.259259259259259,0.321428571428571,0.566666666666667,0.487179487179487,0.517241379310345,0.513513513513513,0.461538461538462,0,0.307692307692308,0.125,0.222222222222222,0.285714285714286,0.24
"61B2",0.5,0.411764705882353,0.333333333333333,0.366666666666667,0.375,0.5,0.466666666666667,0.428571428571429,0.294117647058824,0.31578947368421,0.25,0.277777777777778,0.333333333333333,0.294117647058824,0.285714285714286,0.307692307692308,0,0.363636363636364,0.5,0.333333333333333,0.117647058823529
"94D3",0.181818181818182,0.133333333333333,0.115384615384615,0.133333333333333,0.25,0.272727272727273,0.363636363636364,0.210526315789474,0.153846153846154,0.2,0.12,0.114285714285714,0.136363636363636,0.121212121212121,0.117647058823529,0.125,0.363636363636364,0,0.4,0.214285714285714,0.0909090909090909
"4F91",0.333333333333333,0.277777777777778,0.25,0.25,0.4,0.428571428571429,0.5,0.380952380952381,0.235294117647059,0.263157894736842,0.259259259259259,0.216216216216216,0.24,0.264705882352941,0.157894736842105,0.222222222222222,0.5,0.4,0,0.352941176470588,0.125
"775E",0.4,0.3,0.407407407407407,0.303030303030303,0.411764705882353,0.277777777777778,0.263157894736842,0.391304347826087,0.2,0.5,0.321428571428571,0.230769230769231,0.214285714285714,0.277777777777778,0.236842105263158,0.285714285714286,0.333333333333333,0.214285714285714,0.352941176470588,0,0.166666666666667
"9900",0.2,0.235294117647059,0.222222222222222,0.117647058823529,0.266666666666667,0.125,0.117647058823529,0.285714285714286,0,0.222222222222222,0.185185185185185,0.162162162162162,0.208333333333333,0.205882352941176,0.2,0.24,0.117647058823529,0.0909090909090909,0.125,0.166666666666667,0
