"","5EBF3C","A1D2","4D10","94D3","9900","775E","5440","4FCA","0832","A093","A4F8","8712","1338","238E","4107","A290","175F","1E39","2562","ED72","D8F5","FBF5","F886","DB0A","6587","FA5B","1A0D","E89B","110D"
"A4F8",0.64,0.576923076923077,0.2,0.5,0.653846153846154,0.782608695652174,0.56,0.714285714285714,0.8,0.56,0,0.708333333333333,0.782608695652174,0.652173913043478,0.6,0.863636363636364,0.227272727272727,0.818181818181818,0.5,0.612903225806452,0.655172413793103,0.730769230769231,0.5,0.35,0.75,0.551724137931034,0.45,0.5,0.666666666666667
"8712",0.68,0.68,0.19047619047619,0.619047619047619,0.571428571428571,0.75,0.538461538461538,0.681818181818182,0.608695652173913,0.6,0.708333333333333,0,0.68,0.857142857142857,0.782608695652174,0.615384615384615,0.217391304347826,0.708333333333333,0.689655172413793,0.5,0.689655172413793,0.769230769230769,0.580645161290323,0.272727272727273,0.653846153846154,0.586206896551724,0.304347826086957,0.535714285714286,0.533333333333333
"1338",0.5,0.448275862068966,0.19047619047619,0.545454545454545,0.571428571428571,0.615384615384615,0.428571428571429,0.608695652173913,0.608695652173913,0.428571428571429,0.782608695652174,0.68,0,0.625,0.576923076923077,0.68,0.217391304347826,0.782608695652174,0.580645161290323,0.59375,0.633333333333333,0.586206896551724,0.484848484848485,0.333333333333333,0.592592592592593,0.533333333333333,0.363636363636364,0.482758620689655,0.642857142857143
"238E",0.695652173913043,0.625,0.222222222222222,0.722222222222222,0.518518518518518,0.695652173913043,0.48,0.619047619047619,0.7,0.541666666666667,0.652173913043478,0.857142857142857,0.625,0,0.727272727272727,0.625,0.25,0.727272727272727,0.642857142857143,0.454545454545455,0.586206896551724,0.653846153846154,0.533333333333333,0.19047619047619,0.6,0.592592592592593,0.35,0.538461538461538,0.535714285714286
"4107",0.576923076923077,0.708333333333333,0.2,0.571428571428571,0.535714285714286,0.708333333333333,0.56,0.565217391304348,0.565217391304348,0.695652173913043,0.6,0.782608695652174,0.576923076923077,0.727272727272727,0,0.518518518518518,0.173913043478261,0.739130434782609,0.548387096774194,0.428571428571429,0.548387096774194,0.607142857142857,0.454545454545455,0.227272727272727,0.555555555555556,0.551724137931034,0.318181818181818,0.615384615384615,0.5
"A290",0.615384615384615,0.5,0.19047619047619,0.478260869565217,0.571428571428571,0.68,0.538461538461538,0.608695652173913,0.761904761904762,0.538461538461538,0.863636363636364,0.615384615384615,0.68,0.625,0.518518518518518,0,0.272727272727273,0.708333333333333,0.580645161290323,0.7,0.633333333333333,0.642857142857143,0.53125,0.272727272727273,0.791666666666667,0.533333333333333,0.428571428571429,0.482758620689655,0.642857142857143
"175F",0.217391304347826,0.166666666666667,0.375,0.333333333333333,0.2,0.166666666666667,0.181818181818182,0.277777777777778,0.277777777777778,0.130434782608696,0.227272727272727,0.217391304347826,0.217391304347826,0.25,0.173913043478261,0.272727272727273,0,0.227272727272727,0.206896551724138,0.193548387096774,0.166666666666667,0.185185185185185,0.166666666666667,0.166666666666667,0.260869565217391,0.142857142857143,0.0666666666666667,0.115384615384615,0.142857142857143
"1E39",0.576923076923077,0.518518518518518,0.2,0.571428571428571,0.592592592592593,0.64,0.5,0.565217391304348,0.714285714285714,0.5,0.818181818181818,0.708333333333333,0.782608695652174,0.727272727272727,0.739130434782609,0.708333333333333,0.227272727272727,0,0.5,0.515151515151515,0.655172413793103,0.607142857142857,0.411764705882353,0.285714285714286,0.615384615384615,0.666666666666667,0.380952380952381,0.555555555555556,0.666666666666667
"2562",0.580645161290323,0.580645161290323,0.142857142857143,0.464285714285714,0.5,0.53125,0.46875,0.466666666666667,0.466666666666667,0.516129032258065,0.5,0.689655172413793,0.580645161290323,0.642857142857143,0.548387096774194,0.580645161290323,0.206896551724138,0.5,0,0.657142857142857,0.647058823529412,0.65625,0.75,0.166666666666667,0.666666666666667,0.558823529411765,0.233333333333333,0.515151515151515,0.558823529411765
"ED72",0.5,0.457142857142857,0.133333333333333,0.34375,0.709677419354839,0.5,0.484848484848485,0.4375,0.533333333333333,0.441176470588235,0.612903225806452,0.5,0.59375,0.454545454545455,0.428571428571429,0.7,0.193548387096774,0.515151515151515,0.657142857142857,0,0.757575757575758,0.666666666666667,0.757575757575758,0.193548387096774,0.67741935483871,0.666666666666667,0.3,0.575757575757576,0.666666666666667
"D8F5",0.580645161290323,0.53125,0.142857142857143,0.413793103448276,0.758620689655172,0.580645161290323,0.516129032258065,0.466666666666667,0.517241379310345,0.46875,0.655172413793103,0.689655172413793,0.633333333333333,0.586206896551724,0.548387096774194,0.633333333333333,0.166666666666667,0.655172413793103,0.647058823529412,0.757575757575758,0,0.766666666666667,0.696969696969697,0.25,0.612903225806452,0.827586206896552,0.275862068965517,0.666666666666667,0.65625
"FBF5",0.703703703703704,0.703703703703704,0.16,0.461538461538462,0.714285714285714,0.769230769230769,0.571428571428571,0.64,0.576923076923077,0.571428571428571,0.730769230769231,0.769230769230769,0.586206896551724,0.653846153846154,0.607142857142857,0.642857142857143,0.185185185185185,0.607142857142857,0.65625,0.666666666666667,0.766666666666667,0,0.709677419354839,0.230769230769231,0.678571428571429,0.666666666666667,0.307692307692308,0.516129032258065,0.612903225806452
"F886",0.633333333333333,0.580645161290323,0.142857142857143,0.366666666666667,0.645161290322581,0.53125,0.46875,0.466666666666667,0.466666666666667,0.46875,0.5,0.580645161290323,0.484848484848485,0.533333333333333,0.454545454545455,0.53125,0.166666666666667,0.411764705882353,0.75,0.757575757575758,0.696969696969697,0.709677419354839,0,0.166666666666667,0.5625,0.606060606060606,0.233333333333333,0.5625,0.606060606060606
"DB0A",0.217391304347826,0.217391304347826,0.222222222222222,0.25,0.25,0.272727272727273,0.181818181818182,0.277777777777778,0.277777777777778,0.238095238095238,0.35,0.272727272727273,0.333333333333333,0.19047619047619,0.227272727272727,0.272727272727273,0.166666666666667,0.285714285714286,0.166666666666667,0.193548387096774,0.25,0.230769230769231,0.166666666666667,0,0.260869565217391,0.185185185185185,0.142857142857143,0.16,0.185185185185185
"6587",0.592592592592593,0.592592592592593,0.181818181818182,0.458333333333333,0.666666666666667,0.592592592592593,0.576923076923077,0.583333333333333,0.727272727272727,0.576923076923077,0.75,0.653846153846154,0.592592592592593,0.6,0.555555555555556,0.791666666666667,0.260869565217391,0.615384615384615,0.666666666666667,0.67741935483871,0.612903225806452,0.678571428571429,0.5625,0.260869565217391,0,0.566666666666667,0.409090909090909,0.517241379310345,0.516129032258065
"FA5B",0.483870967741935,0.483870967741935,0.115384615384615,0.407407407407407,0.714285714285714,0.483870967741935,0.419354838709677,0.366666666666667,0.518518518518518,0.419354838709677,0.551724137931034,0.586206896551724,0.533333333333333,0.592592592592593,0.551724137931034,0.533333333333333,0.142857142857143,0.666666666666667,0.558823529411765,0.666666666666667,0.827586206896552,0.666666666666667,0.606060606060606,0.185185185185185,0.566666666666667,0,0.307692307692308,0.678571428571429,0.612903225806452
"1A0D",0.304347826086957,0.363636363636364,0.0833333333333333,0.375,0.391304347826087,0.363636363636364,0.272727272727273,0.388888888888889,0.5625,0.4,0.45,0.304347826086957,0.363636363636364,0.35,0.318181818181818,0.428571428571429,0.0666666666666667,0.380952380952381,0.233333333333333,0.3,0.275862068965517,0.307692307692308,0.233333333333333,0.142857142857143,0.409090909090909,0.307692307692308,0,0.347826086956522,0.36
"E89B",0.433333333333333,0.535714285714286,0.130434782608696,0.4,0.666666666666667,0.482758620689655,0.413793103448276,0.357142857142857,0.52,0.464285714285714,0.5,0.535714285714286,0.482758620689655,0.538461538461538,0.615384615384615,0.482758620689655,0.115384615384615,0.555555555555556,0.515151515151515,0.575757575757576,0.666666666666667,0.516129032258065,0.5625,0.16,0.517241379310345,0.678571428571429,0.347826086956522,0,0.516129032258065
"110D",0.586206896551724,0.483870967741935,0.115384615384615,0.357142857142857,0.6,0.586206896551724,0.466666666666667,0.464285714285714,0.576923076923077,0.466666666666667,0.666666666666667,0.533333333333333,0.642857142857143,0.535714285714286,0.5,0.642857142857143,0.142857142857143,0.666666666666667,0.558823529411765,0.666666666666667,0.65625,0.612903225806452,0.606060606060606,0.185185185185185,0.516129032258065,0.612903225806452,0.36,0.516129032258065,0
