"","1A0D","94D3","5440","A4F8","8712","1338","E89B","238E","4107","110D","1E39","2562","D8F5","FBF5","4999","A1CE","EDDE","B5F7","101F","50FB","B311","F6AA"
"D8F5",0.607142857142857,0.375,0.388888888888889,0.32258064516129,0.4,0.411764705882353,0.361111111111111,0.258064516129032,0.304347826086957,0.394736842105263,0.482758620689655,0.473684210526316,0,0.5,0.428571428571429,0.5,0.625,0.441176470588235,0.538461538461538,0.333333333333333,0.444444444444444,0.348837209302326
"FBF5",0.566666666666667,0.4375,0.485714285714286,0.433333333333333,0.48,0.428571428571429,0.378378378378378,0.205882352941176,0.230769230769231,0.486486486486487,0.363636363636364,0.657142857142857,0.5,0,0.354838709677419,0.517241379310345,0.366666666666667,0.457142857142857,0.354838709677419,0.384615384615385,0.5,0.5
"4999",0.344827586206897,0.225806451612903,0.222222222222222,0.206896551724138,0.318181818181818,0.2,0.228571428571429,0.178571428571429,0.263157894736842,0.236842105263158,0.37037037037037,0.351351351351351,0.428571428571429,0.354838709677419,0,0.241379310344828,0.32,0.303030303030303,0.416666666666667,0.243243243243243,0.210526315789474,0.238095238095238
"A1CE",0.64,0.481481481481481,0.393939393939394,0.48,0.291666666666667,0.375,0.323529411764706,0.25,0.181818181818182,0.4,0.444444444444444,0.444444444444444,0.5,0.517241379310345,0.241379310344828,0,0.458333333333333,0.451612903225806,0.44,0.371428571428571,0.371428571428571,0.35
"EDDE",0.583333333333333,0.275862068965517,0.264705882352941,0.214285714285714,0.333333333333333,0.242424242424242,0.166666666666667,0.185185185185185,0.277777777777778,0.243243243243243,0.333333333333333,0.324324324324324,0.625,0.366666666666667,0.32,0.458333333333333,0,0.272727272727273,0.5,0.184210526315789,0.25,0.214285714285714
"B5F7",0.411764705882353,0.46875,0.558823529411765,0.517241379310345,0.310344827586207,0.545454545454545,0.529411764705882,0.4,0.1,0.647058823529412,0.393939393939394,0.552631578947368,0.441176470588235,0.457142857142857,0.303030303030303,0.451612903225806,0.272727272727273,0,0.303030303030303,0.61764705882353,0.571428571428571,0.564102564102564
"101F",0.5,0.266666666666667,0.189189189189189,0.296296296296296,0.380952380952381,0.2,0.162162162162162,0.137931034482759,0.411764705882353,0.205128205128205,0.321428571428571,0.31578947368421,0.538461538461538,0.354838709677419,0.416666666666667,0.44,0.5,0.303030303030303,0,0.210526315789474,0.243243243243243,0.209302325581395
"50FB",0.342105263157895,0.5625,0.6,0.516129032258065,0.138888888888889,0.636363636363636,0.71875,0.40625,0.0285714285714286,0.638888888888889,0.441176470588235,0.51219512195122,0.333333333333333,0.384615384615385,0.243243243243243,0.371428571428571,0.184210526315789,0.61764705882353,0.210526315789474,0,0.611111111111111,0.68421052631579
"B311",0.457142857142857,0.470588235294118,0.696969696969697,0.382352941176471,0.242424242424242,0.6875,0.571428571428571,0.5,0.0909090909090909,0.787878787878788,0.361111111111111,0.631578947368421,0.444444444444444,0.5,0.210526315789474,0.371428571428571,0.25,0.571428571428571,0.243243243243243,0.611111111111111,0,0.777777777777778
"F6AA",0.390243902439024,0.473684210526316,0.631578947368421,0.358974358974359,0.175,0.578947368421053,0.525,0.416666666666667,0.0769230769230769,0.756756756756757,0.341463414634146,0.7,0.348837209302326,0.5,0.238095238095238,0.35,0.214285714285714,0.564102564102564,0.209302325581395,0.68421052631579,0.777777777777778,0
