"","5EBF3C","A1D2","775E","5440","4FCA","4F91","A093","A4F8","8712","1338","E89B","238E","0E3A","110D","175F","1E39","2562","28F0","FA6F","1A0D","94D3","9900","4107","A290","4D10","0832"
"E89B",0.363636363636364,0.516129032258065,0.566666666666667,0.393939393939394,0.516129032258065,0.481481481481481,0.551724137931034,0.566666666666667,0.513513513513513,0.642857142857143,0,0.53125,0.28,0.457142857142857,0.416666666666667,0.454545454545455,0.529411764705882,0.46875,0.484848484848485,0.481481481481481,0.451612903225806,0.5,0.344827586206897,0.413793103448276,0.346153846153846,0.464285714285714
"238E",0.612903225806452,0.625,0.67741935483871,0.59375,0.733333333333333,0.5,0.724137931034483,0.625,0.742857142857143,0.758620689655172,0.53125,0,0.233333333333333,0.555555555555556,0.555555555555556,0.65625,0.628571428571429,0.575757575757576,0.542857142857143,0.551724137931034,0.612903225806452,0.647058823529412,0.419354838709677,0.533333333333333,0.428571428571429,0.642857142857143
"0E3A",0.222222222222222,0.296296296296296,0.296296296296296,0.214285714285714,0.25,0.217391304347826,0.269230769230769,0.296296296296296,0.222222222222222,0.307692307692308,0.28,0.233333333333333,0,0.258064516129032,0.258064516129032,0.285714285714286,0.25,0.296296296296296,0.275862068965517,0.272727272727273,0.222222222222222,0.147058823529412,0.125,0.208333333333333,0.210526315789474,0.16
"110D",0.485714285714286,0.542857142857143,0.588235294117647,0.558823529411765,0.542857142857143,0.424242424242424,0.485714285714286,0.542857142857143,0.75,0.514285714285714,0.457142857142857,0.555555555555556,0.258064516129032,0,0.870967741935484,0.774193548387097,0.84375,0.6875,0.75,0.46875,0.529411764705882,0.611111111111111,0.4375,0.5,0.272727272727273,0.371428571428571
"175F",0.485714285714286,0.588235294117647,0.636363636363636,0.514285714285714,0.542857142857143,0.46875,0.485714285714286,0.542857142857143,0.75,0.558823529411765,0.416666666666667,0.555555555555556,0.258064516129032,0.870967741935484,0,0.71875,0.84375,0.6875,0.866666666666667,0.46875,0.575757575757576,0.657142857142857,0.483870967741935,0.5,0.272727272727273,0.371428571428571
"1E39",0.580645161290323,0.59375,0.545454545454545,0.515151515151515,0.59375,0.375,0.633333333333333,0.545454545454545,0.666666666666667,0.5625,0.454545454545455,0.65625,0.285714285714286,0.774193548387097,0.71875,0,0.75,0.7,0.709677419354839,0.419354838709677,0.53125,0.571428571428571,0.433333333333333,0.551724137931034,0.3,0.5
"2562",0.432432432432432,0.61764705882353,0.527777777777778,0.588235294117647,0.486486486486487,0.411764705882353,0.472222222222222,0.527777777777778,0.72972972972973,0.588235294117647,0.529411764705882,0.628571428571429,0.25,0.84375,0.84375,0.75,0,0.666666666666667,0.78125,0.411764705882353,0.472222222222222,0.638888888888889,0.382352941176471,0.484848484848485,0.264705882352941,0.4
"28F0",0.6,0.5625,0.612903225806452,0.53125,0.666666666666667,0.433333333333333,0.655172413793103,0.5625,0.735294117647059,0.580645161290323,0.46875,0.575757575757576,0.296296296296296,0.6875,0.6875,0.7,0.666666666666667,0,0.733333333333333,0.482758620689655,0.548387096774194,0.5,0.448275862068966,0.571428571428571,0.310344827586207,0.517241379310345
"FA6F",0.515151515151515,0.67741935483871,0.67741935483871,0.457142857142857,0.625,0.5,0.5625,0.625,0.694444444444444,0.645161290322581,0.484848484848485,0.542857142857143,0.275862068965517,0.75,0.866666666666667,0.709677419354839,0.78125,0.733333333333333,0,0.5,0.5625,0.696969696969697,0.517241379310345,0.483870967741935,0.290322580645161,0.4375
"1A0D",0.518518518518518,0.535714285714286,0.72,0.448275862068966,0.653846153846154,0.636363636363636,0.576923076923077,0.535714285714286,0.529411764705882,0.68,0.481481481481481,0.551724137931034,0.272727272727273,0.46875,0.46875,0.419354838709677,0.411764705882353,0.482758620689655,0.5,0,0.64,0.566666666666667,0.521739130434783,0.48,0.476190476190476,0.608695652173913
