"","1A0D","5440","E89B","238E","110D","1E39","2562","D8F5","4999","A1CE","EDDE","B5F7","101F","B311","7789","48AB","A41C","F50E","ED95","CF71","D3B0","100F","8E4B","8EBE"
"EDDE",0.454545454545455,0.433333333333333,0.366666666666667,0.482758620689655,0.411764705882353,0.5,0.548387096774194,0.548387096774194,0.551724137931034,0.482758620689655,0,0.59375,0.344827586206897,0.551724137931034,0.533333333333333,0.5,0.424242424242424,0.448275862068966,0.485714285714286,0.457142857142857,0.447368421052632,0.333333333333333,0.08,0.393939393939394
"B5F7",0.472222222222222,0.5,0.393939393939394,0.548387096774194,0.472222222222222,0.75,0.472222222222222,0.606060606060606,0.428571428571429,0.548387096774194,0.59375,0,0.294117647058824,0.5625,0.5,0.666666666666667,0.485714285714286,0.46875,0.628571428571429,0.555555555555556,0.621621621621622,0.363636363636364,0.103448275862069,0.416666666666667
"101F",0.366666666666667,0.44,0.416666666666667,0.384615384615385,0.32258064516129,0.375,0.518518518518518,0.366666666666667,0.266666666666667,0.333333333333333,0.344827586206897,0.294117647058824,0,0.407407407407407,0.392857142857143,0.357142857142857,0.379310344827586,0.458333333333333,0.323529411764706,0.294117647058824,0.297297297297297,0.32,0.176470588235294,0.3
"B311",0.424242424242424,0.75,0.481481481481481,0.4,0.305555555555556,0.5625,0.424242424242424,0.424242424242424,0.375,0.354838709677419,0.551724137931034,0.5625,0.407407407407407,0,0.551724137931034,0.517241379310345,0.4375,0.518518518518518,0.59375,0.428571428571429,0.45945945945946,0.5,0.130434782608696,0.363636363636364
"7789",0.548387096774194,0.535714285714286,0.518518518518518,0.387096774193548,0.5,0.457142857142857,0.5,0.548387096774194,0.551724137931034,0.387096774193548,0.533333333333333,0.5,0.392857142857143,0.551724137931034,0,0.551724137931034,0.46875,0.5,0.625,0.5,0.447368421052632,0.481481481481481,0.08,0.393939393939394
"48AB",0.516129032258065,0.448275862068966,0.428571428571429,0.448275862068966,0.424242424242424,0.612903225806452,0.516129032258065,0.516129032258065,0.466666666666667,0.4,0.5,0.666666666666667,0.357142857142857,0.517241379310345,0.551724137931034,0,0.393939393939394,0.64,0.59375,0.515151515151515,0.542857142857143,0.5,0.130434782608696,0.451612903225806
"A41C",0.4,0.333333333333333,0.448275862068966,0.375,0.441176470588235,0.444444444444444,0.53125,0.4,0.314285714285714,0.466666666666667,0.424242424242424,0.485714285714286,0.379310344827586,0.4375,0.46875,0.393939393939394,0,0.303030303030303,0.432432432432432,0.405405405405405,0.555555555555556,0.413793103448276,0.12,0.46875
"F50E",0.466666666666667,0.444444444444444,0.321428571428571,0.3,0.294117647058824,0.46875,0.419354838709677,0.419354838709677,0.366666666666667,0.5,0.448275862068966,0.46875,0.458333333333333,0.518518518518518,0.5,0.64,0.303030303030303,0,0.6,0.382352941176471,0.378378378378378,0.384615384615385,0.0454545454545455,0.3125
"ED95",0.45945945945946,0.53125,0.424242424242424,0.4,0.384615384615385,0.583333333333333,0.421052631578947,0.636363636363636,0.457142857142857,0.484848484848485,0.485714285714286,0.628571428571429,0.323529411764706,0.59375,0.625,0.59375,0.432432432432432,0.6,0,0.676470588235294,0.605263157894737,0.483870967741935,0.03125,0.444444444444444
"CF71",0.432432432432432,0.371428571428571,0.393939393939394,0.454545454545455,0.514285714285714,0.473684210526316,0.472222222222222,0.65625,0.470588235294118,0.411764705882353,0.457142857142857,0.555555555555556,0.294117647058824,0.428571428571429,0.5,0.515151515151515,0.405405405405405,0.382352941176471,0.676470588235294,0,0.538461538461538,0.363636363636364,0.103448275862069,0.5
