"","0D1B","1731","6D0D","2C18","07F9","3D98","B587","377E","3CA1","24E9","A8D2","39ED","52AD","BF04","5672","4FE4","4C7B","9E17","2F15","3F49","4ECA","B75C","AC35","AA57","41C1","5108"
"A8D2",0.5,0.666666666666667,0.5,0.351351351351351,0.53125,0.2,0.432432432432432,0.466666666666667,0.5,0.256410256410256,0,0.516129032258065,0.405405405405405,0.45,0.319148936170213,0.363636363636364,0.326086956521739,0.290322580645161,0.444444444444444,0.333333333333333,0.470588235294118,0.333333333333333,0.375,0.162162162162162,0.260869565217391,0.129032258064516
"39ED",0.394736842105263,0.53125,0.516129032258065,0.324324324324324,0.548387096774194,0.236842105263158,0.485714285714286,0.303030303030303,0.514285714285714,0.333333333333333,0.516129032258065,0,0.342105263157895,0.425,0.270833333333333,0.372093023255814,0.333333333333333,0.444444444444444,0.378378378378378,0.30952380952381,0.324324324324324,0.344827586206897,0.535714285714286,0.2,0.325581395348837,0.0967741935483871
"52AD",0.380952380952381,0.5,0.444444444444444,0.384615384615385,0.558823529411765,0.238095238095238,0.425,0.5,0.487179487179487,0.394736842105263,0.405405405405405,0.342105263157895,0,0.55,0.434782608695652,0.391304347826087,0.41304347826087,0.257142857142857,0.435897435897436,0.333333333333333,0.421052631578947,0.189189189189189,0.297297297297297,0.205128205128205,0.441860465116279,0.21875
"BF04",0.454545454545455,0.463414634146341,0.414634146341463,0.363636363636364,0.512820512820513,0.318181818181818,0.369565217391304,0.35,0.488372093023256,0.311111111111111,0.45,0.425,0.55,0,0.5,0.555555555555556,0.69047619047619,0.31578947368421,0.347826086956522,0.375,0.428571428571429,0.25,0.384615384615385,0.292682926829268,0.446808510638298,0.216216216216216
"5672",0.416666666666667,0.391304347826087,0.347826086956522,0.361702127659574,0.340425531914894,0.26530612244898,0.34,0.348837209302326,0.545454545454545,0.340425531914894,0.319148936170213,0.270833333333333,0.434782608695652,0.5,0,0.510204081632653,0.595744680851064,0.2,0.346938775510204,0.428571428571429,0.333333333333333,0.227272727272727,0.288888888888889,0.239130434782609,0.469387755102041,0.166666666666667
"4FE4",0.534883720930233,0.409090909090909,0.395348837209302,0.441860465116279,0.452380952380952,0.428571428571429,0.477272727272727,0.244444444444444,0.5,0.270833333333333,0.363636363636364,0.372093023255814,0.391304347826087,0.555555555555556,0.510204081632653,0,0.738095238095238,0.268292682926829,0.306122448979592,0.511111111111111,0.409090909090909,0.3,0.473684210526316,0.27906976744186,0.428571428571429,0.146341463414634
"4C7B",0.456521739130435,0.340425531914894,0.326086956521739,0.4,0.441860465116279,0.386363636363636,0.434782608695652,0.239130434782609,0.522727272727273,0.319148936170213,0.326086956521739,0.333333333333333,0.41304347826087,0.69047619047619,0.595744680851064,0.738095238095238,0,0.292682926829268,0.382978723404255,0.5,0.4,0.232558139534884,0.461538461538462,0.333333333333333,0.51063829787234,0.142857142857143
"9E17",0.314285714285714,0.4,0.25,0.3125,0.366666666666667,0.379310344827586,0.323529411764706,0.285714285714286,0.314285714285714,0.205882352941176,0.290322580645161,0.444444444444444,0.257142857142857,0.31578947368421,0.2,0.268292682926829,0.292682926829268,0,0.257142857142857,0.263157894736842,0.235294117647059,0.142857142857143,0.44,0.129032258064516,0.25,0.125
"2F15",0.414634146341463,0.421052631578947,0.3,0.421052631578947,0.432432432432432,0.209302325581395,0.540540540540541,0.371428571428571,0.487179487179487,0.472222222222222,0.444444444444444,0.378378378378378,0.435897435897436,0.347826086956522,0.346938775510204,0.306122448979592,0.382978723404255,0.257142857142857,0,0.463414634146341,0.5,0.294117647058824,0.411764705882353,0.305555555555556,0.476190476190476,0.0833333333333333
"3F49",0.409090909090909,0.414634146341463,0.302325581395349,0.567567567567568,0.390243902439024,0.4,0.452380952380952,0.268292682926829,0.409090909090909,0.266666666666667,0.333333333333333,0.30952380952381,0.333333333333333,0.375,0.428571428571429,0.511111111111111,0.5,0.263157894736842,0.463414634146341,0,0.45,0.371428571428571,0.333333333333333,0.307692307692308,0.346938775510204,0.102564102564103
"4ECA",0.6,0.485714285714286,0.351351351351351,0.405405405405405,0.5,0.282051282051282,0.375,0.352941176470588,0.4,0.342105263157895,0.470588235294118,0.324324324324324,0.421052631578947,0.428571428571429,0.333333333333333,0.409090909090909,0.4,0.235294117647059,0.5,0.45,0,0.354838709677419,0.393939393939394,0.40625,0.304347826086957,0.193548387096774
"B75C",0.352941176470588,0.4,0.290322580645161,0.3125,0.32258064516129,0.142857142857143,0.323529411764706,0.241379310344828,0.352941176470588,0.171428571428571,0.333333333333333,0.344827586206897,0.189189189189189,0.25,0.227272727272727,0.3,0.232558139534884,0.142857142857143,0.294117647058824,0.371428571428571,0.354838709677419,0,0.333333333333333,0.166666666666667,0.162790697674419,0.125
"AC35",0.428571428571429,0.393939393939394,0.333333333333333,0.352941176470588,0.5,0.257142857142857,0.441176470588235,0.25,0.428571428571429,0.216216216216216,0.375,0.535714285714286,0.297297297297297,0.384615384615385,0.288888888888889,0.473684210526316,0.461538461538462,0.44,0.411764705882353,0.333333333333333,0.393939393939394,0.333333333333333,0,0.3,0.317073170731707,0.107142857142857
"AA57",0.361111111111111,0.184210526315789,0.264705882352941,0.25,0.222222222222222,0.194444444444444,0.371428571428571,0.0833333333333333,0.225,0.222222222222222,0.162162162162162,0.2,0.205128205128205,0.292682926829268,0.239130434782609,0.27906976744186,0.333333333333333,0.129032258064516,0.305555555555556,0.307692307692308,0.40625,0.166666666666667,0.3,0,0.177777777777778,0.111111111111111
"41C1",0.254901960784314,0.304347826086957,0.234042553191489,0.224489795918367,0.340909090909091,0.260869565217391,0.340425531914894,0.285714285714286,0.391304347826087,0.475,0.260869565217391,0.325581395348837,0.441860465116279,0.446808510638298,0.469387755102041,0.428571428571429,0.51063829787234,0.25,0.476190476190476,0.346938775510204,0.304347826086957,0.162790697674419,0.317073170731707,0.177777777777778,0,0.0975609756097561
"5108",0.171428571428571,0.15625,0.166666666666667,0.0571428571428571,0.125,0.166666666666667,0.111111111111111,0.192307692307692,0.138888888888889,0.0909090909090909,0.129032258064516,0.0967741935483871,0.21875,0.216216216216216,0.166666666666667,0.146341463414634,0.142857142857143,0.125,0.0833333333333333,0.102564102564103,0.193548387096774,0.125,0.107142857142857,0.111111111111111,0.0975609756097561,0
