"","0D1B","2C18","377E","24E9","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","C950","E063","076C","879F","EC1A","663E","256A","D14D","7C6F","0758","F44A","A539","2F8D","44BD","DCCF","9FB7","F377","ACF4","DE72","D629","C5F2","29B2"
"4C7B",0.542857142857143,0.484848484848485,0.382352941176471,0.393939393939394,0.324324324324324,0.470588235294118,0.714285714285714,0.305555555555556,0.53125,0.444444444444444,0,0.354838709677419,0.294117647058824,0.314285714285714,0.333333333333333,0.352941176470588,0.294117647058824,0.487179487179487,0.606060606060606,0.153846153846154,0.5,0.472222222222222,0.476190476190476,0.333333333333333,0.45945945945946,0.48780487804878,0.435897435897436,0.418604651162791,0.432432432432432,0.512820512820513,0.536585365853659,0.290322580645161,0.394736842105263,0.414634146341463,0.236842105263158
"41C1",0.375,0.3,0.321428571428571,0.333333333333333,0.3,0.379310344827586,0.407407407407407,0.193548387096774,0.344827586206897,0.3125,0.354838709677419,0,0.307692307692308,0.384615384615385,0.407407407407407,0.285714285714286,0.259259259259259,0.333333333333333,0.303030303030303,0.25,0.257142857142857,0.228571428571429,0.3,0.243243243243243,0.375,0.307692307692308,0.4375,0.307692307692308,0.482758620689655,0.361111111111111,0.325,0.363636363636364,0.482758620689655,0.297297297297297,0.275862068965517
"22B0",0.483870967741935,0.464285714285714,0.3,0.266666666666667,0.242424242424242,0.272727272727273,0.290322580645161,0.258064516129032,0.366666666666667,0.517241379310345,0.294117647058824,0.307692307692308,0,0.310344827586207,0.333333333333333,0.310344827586207,0.565217391304348,0.282051282051282,0.25,0.0476190476190476,0.277777777777778,0.5,0.255813953488372,0.371428571428571,0.277777777777778,0.325,0.333333333333333,0.292682926829268,0.363636363636364,0.24390243902439,0.25,0.103448275862069,0.285714285714286,0.282051282051282,0.344827586206897
"C950",0.333333333333333,0.264705882352941,0.32258064516129,0.25,0.433333333333333,0.333333333333333,0.354838709677419,0.28125,0.387096774193548,0.352941176470588,0.314285714285714,0.384615384615385,0.310344827586207,0,0.4,0.428571428571429,0.357142857142857,0.444444444444444,0.342857142857143,0.0909090909090909,0.333333333333333,0.342857142857143,0.365853658536585,0.351351351351351,0.371428571428571,0.447368421052632,0.351351351351351,0.41025641025641,0.382352941176471,0.394736842105263,0.357142857142857,0.259259259259259,0.46875,0.529411764705882,0.28125
"E063",0.428571428571429,0.363636363636364,0.387096774193548,0.235294117647059,0.323529411764706,0.393939393939394,0.333333333333333,0.264705882352941,0.5,0.371428571428571,0.333333333333333,0.407407407407407,0.333333333333333,0.4,0,0.5,0.481481481481481,0.421052631578947,0.441176470588235,0.130434782608696,0.282051282051282,0.289473684210526,0.318181818181818,0.333333333333333,0.428571428571429,0.357142857142857,0.368421052631579,0.325581395348837,0.441176470588235,0.41025641025641,0.340909090909091,0.384615384615385,0.324324324324324,0.35,0.228571428571429
"076C",0.454545454545455,0.387096774193548,0.518518518518518,0.333333333333333,0.303030303030303,0.466666666666667,0.4,0.32258064516129,0.482758620689655,0.352941176470588,0.352941176470588,0.285714285714286,0.310344827586207,0.428571428571429,0.5,0,0.461538461538462,0.485714285714286,0.424242424242424,0.0909090909090909,0.333333333333333,0.382352941176471,0.333333333333333,0.351351351351351,0.454545454545455,0.486486486486487,0.351351351351351,0.30952380952381,0.382352941176471,0.432432432432432,0.325581395348837,0.214285714285714,0.27027027027027,0.333333333333333,0.205882352941176
"879F",0.4375,0.464285714285714,0.344827586206897,0.266666666666667,0.242424242424242,0.4,0.290322580645161,0.3,0.366666666666667,0.375,0.294117647058824,0.259259259259259,0.565217391304348,0.357142857142857,0.481481481481481,0.461538461538462,0,0.31578947368421,0.323529411764706,0.1,0.277777777777778,0.40625,0.255813953488372,0.297297297297297,0.314285714285714,0.325,0.333333333333333,0.292682926829268,0.40625,0.275,0.25,0.142857142857143,0.25,0.282051282051282,0.258064516129032
"EC1A",0.621621621621622,0.30952380952381,0.432432432432432,0.3,0.41025641025641,0.6,0.421052631578947,0.472222222222222,0.447368421052632,0.348837209302326,0.487179487179487,0.333333333333333,0.282051282051282,0.444444444444444,0.421052631578947,0.485714285714286,0.31578947368421,0,0.512820512820513,0.125,0.578947368421053,0.340909090909091,0.7,0.55,0.666666666666667,0.763157894736842,0.55,0.675,0.552631578947368,0.710526315789474,0.682926829268293,0.277777777777778,0.512820512820513,0.641025641025641,0.325
"663E",0.375,0.388888888888889,0.333333333333333,0.382352941176471,0.388888888888889,0.5,0.53125,0.230769230769231,0.515151515151515,0.394736842105263,0.606060606060606,0.303030303030303,0.25,0.342857142857143,0.441176470588235,0.424242424242424,0.323529411764706,0.512820512820513,0,0.107142857142857,0.447368421052632,0.317073170731707,0.615384615384615,0.295454545454545,0.571428571428571,0.51219512195122,0.425,0.476190476190476,0.384615384615385,0.578947368421053,0.6,0.32258064516129,0.384615384615385,0.439024390243902,0.297297297297297
"256A",0.103448275862069,0.125,0.136363636363636,0.2,0.125,0.166666666666667,0.181818181818182,0.0869565217391304,0.173913043478261,0.0714285714285714,0.153846153846154,0.25,0.0476190476190476,0.0909090909090909,0.130434782608696,0.0909090909090909,0.1,0.125,0.107142857142857,0,0.0666666666666667,0.0333333333333333,0.111111111111111,0.0625,0.103448275862069,0.114285714285714,0.133333333333333,0.0833333333333333,0.148148148148148,0.121212121212121,0.108108108108108,0.285714285714286,0.107142857142857,0.0909090909090909,0.0869565217391304
