"","1731","377E","24E9","39ED","AC35","BF04","4C7B","41C1","29B2","076C","EC1A","663E","D14D","44BD","DCCF","C5F2","15BF","80F1","5939","A5EF","B8A2","0387","A312","82C7","D3E1","C809","3CC1","4FE4","E063","879F","7C6F","F44A","A539","AA3C","CB2B","2D31","3C0F","4ECA","22B0","5A31","AC37","9A5D","418B","0255","8787","A24D","F377","D629","D4DC","D9EF"
"82C7",0.785714285714286,0.368421052631579,0.0769230769230769,0.25,0.153846153846154,0.166666666666667,0.222222222222222,0.166666666666667,0.25,0.3125,0.454545454545455,0.214285714285714,0.0588235294117647,0.0769230769230769,0.35,0.368421052631579,0.166666666666667,0.111111111111111,0.642857142857143,0.1875,0.470588235294118,0.666666666666667,0.153846153846154,0,0.6,0.470588235294118,0.625,0,0.0769230769230769,0.2,0.357142857142857,0.0714285714285714,0.25,0.142857142857143,0.0714285714285714,0.153846153846154,0.235294117647059,0.411764705882353,0.125,0,0.0869565217391304,0.235294117647059,0.333333333333333,0.235294117647059,0.157894736842105,0.235294117647059,0.285714285714286,0.375,0.533333333333333,0.357142857142857
"D3E1",0.5625,0.444444444444444,0.0769230769230769,0.153846153846154,0.25,0.166666666666667,0.375,0.0769230769230769,0.176470588235294,0.166666666666667,0.523809523809524,0.133333333333333,0.0588235294117647,0.0769230769230769,0.285714285714286,0.238095238095238,0.166666666666667,0.111111111111111,0.533333333333333,0.357142857142857,0.5625,0.333333333333333,0.153846153846154,0.6,0,0.31578947368421,0.444444444444444,0.0666666666666667,0.0769230769230769,0.0909090909090909,0.357142857142857,0,0.111111111111111,0.230769230769231,0.153846153846154,0,0.166666666666667,0.263157894736842,0,0,0.0869565217391304,0.105263157894737,0.2,0.235294117647059,0.1,0.166666666666667,0.2,0.157894736842105,0.352941176470588,0.266666666666667
"C809",0.444444444444444,0.35,0.0714285714285714,0.142857142857143,0.142857142857143,0.0714285714285714,0.0952380952380952,0.153846153846154,0.235294117647059,0.294117647058824,0.5,0.125,0.1875,0.0714285714285714,0.473684210526316,0.5,0.0714285714285714,0.166666666666667,0.333333333333333,0.25,0.238095238095238,0.3125,0.0666666666666667,0.470588235294118,0.31578947368421,0,0.5,0,0,0.136363636363636,0.333333333333333,0.0666666666666667,0.166666666666667,0.0625,0.142857142857143,0.142857142857143,0.222222222222222,0.5625,0.117647058823529,0,0.130434782608696,0.294117647058824,0.136363636363636,0.157894736842105,0.277777777777778,0.294117647058824,0.266666666666667,0.4375,0.5,0.333333333333333
"3CC1",0.6875,0.4,0.0666666666666667,0.214285714285714,0.133333333333333,0.142857142857143,0.333333333333333,0.142857142857143,0.222222222222222,0.352941176470588,0.478260869565217,0.1875,0.111111111111111,0.0666666666666667,0.45,0.473684210526316,0.142857142857143,0.222222222222222,0.666666666666667,0.235294117647059,0.421052631578947,0.466666666666667,0.133333333333333,0.625,0.444444444444444,0.5,0,0,0.0666666666666667,0.130434782608696,0.4,0.0625,0.222222222222222,0.125,0.133333333333333,0.133333333333333,0.210526315789474,0.444444444444444,0.111111111111111,0,0.173913043478261,0.4375,0.238095238095238,0.352941176470588,0.2,0.352941176470588,0.333333333333333,0.411764705882353,0.5625,0.3125
"4FE4",0,0.2,0.2,0,0.166666666666667,0,0.166666666666667,0,0.2,0,0.0434782608695652,0.125,0.25,0.2,0,0.0588235294117647,0,0,0,0.222222222222222,0.214285714285714,0,0.166666666666667,0,0.0666666666666667,0,0,0,0.2,0.142857142857143,0,0.166666666666667,0.2,0.333333333333333,0,0.166666666666667,0.181818181818182,0.0666666666666667,0.111111111111111,0,0.0625,0,0.0666666666666667,0,0.0769230769230769,0,0,0.166666666666667,0,0
"E063",0.0714285714285714,0.142857142857143,0,0.25,0,0.333333333333333,0.2,0,0.111111111111111,0.1,0.0476190476190476,0.4,0.142857142857143,0,0.0625,0.142857142857143,0.333333333333333,0.111111111111111,0.0833333333333333,0.125,0.153846153846154,0.111111111111111,0.666666666666667,0.0769230769230769,0.0769230769230769,0,0.0666666666666667,0.2,0,0.166666666666667,0.125,0,0.111111111111111,0,0.25,0,0.1,0.0769230769230769,0.142857142857143,0,0.0714285714285714,0,0.0769230769230769,0,0.0909090909090909,0,0,0.0909090909090909,0,0
"879F",0.19047619047619,0.238095238095238,0,0.153846153846154,0,0.0769230769230769,0.157894736842105,0.0769230769230769,0.25,0.235294117647059,0.230769230769231,0.307692307692308,0.0588235294117647,0.0769230769230769,0.227272727272727,0.181818181818182,0.0769230769230769,0.111111111111111,0.0952380952380952,0.0555555555555556,0.19047619047619,0.176470588235294,0.153846153846154,0.2,0.0909090909090909,0.136363636363636,0.130434782608696,0.142857142857143,0.166666666666667,0,0.1875,0.153846153846154,0.25,0,0.0714285714285714,0.153846153846154,0.3125,0.2,0.285714285714286,0.384615384615385,0.31578947368421,0.166666666666667,0.411764705882353,0.166666666666667,0.375,0.166666666666667,0.0588235294117647,0.222222222222222,0.15,0.117647058823529
"7C6F",0.333333333333333,0.3125,0,0.25,0.111111111111111,0.125,0.133333333333333,0.125,0.153846153846154,0.230769230769231,0.285714285714286,0.2,0,0,0.222222222222222,0.3125,0.125,0.0714285714285714,0.285714285714286,0.166666666666667,0.111111111111111,0.25,0.111111111111111,0.357142857142857,0.357142857142857,0.333333333333333,0.4,0,0.125,0.1875,0,0.111111111111111,0.25,0.1,0.25,0.25,0.230769230769231,0.357142857142857,0.181818181818182,0,0.0526315789473684,0.230769230769231,0.0555555555555556,0.0666666666666667,0.214285714285714,0.142857142857143,0.181818181818182,0.214285714285714,0.285714285714286,0.166666666666667
"F44A",0.0666666666666667,0.0625,0.25,0,0,0,0,0,0.375,0.0909090909090909,0.0952380952380952,0,0.125,0,0.125,0.0625,0,0.1,0.0769230769230769,0,0,0.1,0,0.0714285714285714,0,0.0666666666666667,0.0625,0.166666666666667,0,0.153846153846154,0.111111111111111,0,0.222222222222222,0.166666666666667,0,0.5,0.2,0.0714285714285714,0.125,0.125,0.0666666666666667,0.0909090909090909,0.153846153846154,0.0909090909090909,0.0833333333333333,0.0909090909090909,0,0.0833333333333333,0.0769230769230769,0.111111111111111
"A539",0.166666666666667,0.294117647058824,0.111111111111111,0.1,0,0,0.285714285714286,0.111111111111111,0.333333333333333,0.133333333333333,0.12,0.3,0.166666666666667,0,0.210526315789474,0.222222222222222,0,0,0.1875,0.25,0.105263157894737,0.230769230769231,0.1,0.25,0.111111111111111,0.166666666666667,0.222222222222222,0.2,0.111111111111111,0.25,0.25,0.222222222222222,0,0.333333333333333,0,0.375,0.307692307692308,0.333333333333333,0.4,0.0769230769230769,0.105263157894737,0.214285714285714,0.25,0.133333333333333,0.285714285714286,0.214285714285714,0.4,0.384615384615385,0.266666666666667,0.0714285714285714
"AA3C",0.0625,0.2,0.2,0,0.166666666666667,0,0.166666666666667,0,0.0909090909090909,0,0.142857142857143,0,0.111111111111111,0,0.117647058823529,0.0588235294117647,0,0,0.153846153846154,0.375,0.133333333333333,0.0909090909090909,0,0.142857142857143,0.230769230769231,0.0625,0.125,0.333333333333333,0,0,0.1,0.166666666666667,0.333333333333333,0,0,0.166666666666667,0.0833333333333333,0.142857142857143,0,0,0,0.0833333333333333,0.0666666666666667,0.181818181818182,0.0769230769230769,0.0833333333333333,0.25,0.166666666666667,0.153846153846154,0
"CB2B",0.142857142857143,0.214285714285714,0,0.2,0,0.25,0.181818181818182,0,0,0.2,0.15,0.142857142857143,0.125,0,0.2,0.214285714285714,0.25,0.222222222222222,0.166666666666667,0.25,0.142857142857143,0.1,0.2,0.0714285714285714,0.153846153846154,0.142857142857143,0.133333333333333,0,0.25,0.0714285714285714,0.25,0,0,0,0,0,0,0.153846153846154,0,0,0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.125,0.0833333333333333,0.0769230769230769,0
"2D31",0.142857142857143,0.0625,0.25,0.2,0,0,0,0.25,0.222222222222222,0.2,0.0454545454545455,0.142857142857143,0.125,0,0.0588235294117647,0.133333333333333,0,0,0.0769230769230769,0,0,0.222222222222222,0,0.153846153846154,0,0.142857142857143,0.133333333333333,0.166666666666667,0,0.153846153846154,0.25,0.5,0.375,0.166666666666667,0,0,0.2,0.153846153846154,0.285714285714286,0,0,0.2,0.0714285714285714,0,0.0833333333333333,0.0909090909090909,0.125,0.181818181818182,0.166666666666667,0.111111111111111
"3C0F",0.294117647058824,0.277777777777778,0.1,0,0.0909090909090909,0,0.1875,0,0.416666666666667,0.0588235294117647,0.208333333333333,0.166666666666667,0.153846153846154,0,0.2,0.15,0,0,0.176470588235294,0.0666666666666667,0.222222222222222,0.133333333333333,0.0909090909090909,0.235294117647059,0.166666666666667,0.222222222222222,0.210526315789474,0.181818181818182,0.1,0.3125,0.230769230769231,0.2,0.307692307692308,0.0833333333333333,0,0.2,0,0.3125,0.153846153846154,0.153846153846154,0.294117647058824,0.2,0.235294117647059,0.0588235294117647,0.266666666666667,0.384615384615385,0,0.1875,0.25,0.333333333333333
"4ECA",0.388888888888889,0.368421052631579,0,0.0714285714285714,0.0714285714285714,0,0.157894736842105,0.0769230769230769,0.25,0.166666666666667,0.391304347826087,0.133333333333333,0.125,0,0.5,0.444444444444444,0,0.0526315789473684,0.352941176470588,0.357142857142857,0.25,0.333333333333333,0.0714285714285714,0.411764705882353,0.263157894736842,0.5625,0.444444444444444,0.0666666666666667,0.0769230769230769,0.2,0.357142857142857,0.0714285714285714,0.333333333333333,0.142857142857143,0.153846153846154,0.153846153846154,0.3125,0,0.2,0.0588235294117647,0.19047619047619,0.3125,0.263157894736842,0.3125,0.466666666666667,0.4,0.384615384615385,0.571428571428571,0.4375,0.266666666666667
