"","1731","2C18","377E","24E9","4ECA","39ED","B75C","AC35","BF04","4C7B","41C1","29B2","E063","076C","879F","EC1A","663E","256A","7C6F","0758","0D1B","4FE4","22B0","C950"
"41C1",0.36,0.307692307692308,0.347826086956522,0.391304347826087,0.444444444444444,0.52,0.142857142857143,0.541666666666667,0.24,0.25,0,0.652173913043478,0.32,0.212121212121212,0.48,0.428571428571429,0.333333333333333,0.434782608695652,0.68,0.428571428571429,0.172413793103448,0.205882352941176,0.193548387096774,0.2
"29B2",0.391304347826087,0.391304347826087,0.45,0.578947368421053,0.48,0.5,0.157894736842105,0.458333333333333,0.380952380952381,0.266666666666667,0.652173913043478,0,0.409090909090909,0.357142857142857,0.521739130434783,0.407407407407407,0.363636363636364,0.24,0.538461538461538,0.407407407407407,0.28,0.344827586206897,0.296296296296296,0.1
"E063",0.35,0.227272727272727,0.411764705882353,0.470588235294118,0.454545454545455,0.347826086956522,0.307692307692308,0.363636363636364,0.411764705882353,0.434782608695652,0.32,0.409090909090909,0,0.375,0.304347826086957,0.434782608695652,0.470588235294118,0.3,0.4,0.375,0.35,0.307692307692308,0.363636363636364,0.214285714285714
"076C",0.214285714285714,0.478260869565217,0.24,0.391304347826087,0.392857142857143,0.407407407407407,0.2,0.321428571428571,0.476190476190476,0.538461538461538,0.212121212121212,0.357142857142857,0.375,0,0.321428571428571,0.481481481481481,0.230769230769231,0.222222222222222,0.354838709677419,0.428571428571429,0.307692307692308,0.708333333333333,0.541666666666667,0.0909090909090909
"879F",0.24,0.24,0.272727272727273,0.380952380952381,0.241379310344828,0.25,0.166666666666667,0.259259259259259,0.217391304347826,0.37037037037037,0.48,0.521739130434783,0.304347826086957,0.321428571428571,0,0.321428571428571,0.380952380952381,0.25,0.444444444444444,0.275862068965517,0.24,0.357142857142857,0.416666666666667,0.105263157894737
"EC1A",0.259259259259259,0.478260869565217,0.409090909090909,0.391304347826087,0.56,0.583333333333333,0.2,0.48,0.347826086956522,0.428571428571429,0.428571428571429,0.407407407407407,0.434782608695652,0.481481481481481,0.321428571428571,0,0.230769230769231,0.375,0.4,0.538461538461538,0.416666666666667,0.518518518518518,0.48,0.142857142857143
"663E",0.3,0.0833333333333333,0.4375,0.333333333333333,0.291666666666667,0.153846153846154,0.230769230769231,0.208333333333333,0.277777777777778,0.28,0.333333333333333,0.363636363636364,0.470588235294118,0.230769230769231,0.380952380952381,0.230769230769231,0,0.31578947368421,0.545454545454545,0.28,0.238095238095238,0.222222222222222,0.208333333333333,0.333333333333333
"256A",0.421052631578947,0.227272727272727,0.142857142857143,0.25,0.333333333333333,0.409090909090909,0.214285714285714,0.428571428571429,0.263157894736842,0.375,0.434782608695652,0.24,0.3,0.222222222222222,0.25,0.375,0.31578947368421,0,0.458333333333333,0.375,0.227272727272727,0.214285714285714,0.153846153846154,0.307692307692308
"7C6F",0.384615384615385,0.241379310344828,0.375,0.478260869565217,0.464285714285714,0.538461538461538,0.130434782608696,0.56,0.375,0.354838709677419,0.68,0.538461538461538,0.4,0.354838709677419,0.444444444444444,0.4,0.545454545454545,0.458333333333333,0,0.5,0.241379310344828,0.34375,0.258064516129032,0.181818181818182
"0758",0.36,0.416666666666667,0.347826086956522,0.454545454545455,0.772727272727273,0.52,0.2,0.608695652173913,0.291666666666667,0.290322580645161,0.428571428571429,0.407407407407407,0.375,0.428571428571429,0.275862068965517,0.538461538461538,0.28,0.375,0.5,0,0.259259259259259,0.366666666666667,0.233333333333333,0.142857142857143
"0D1B",0.473684210526316,0.272727272727273,0.388888888888889,0.368421052631579,0.32,0.28,0.125,0.192307692307692,0.388888888888889,0.478260869565217,0.172413793103448,0.28,0.35,0.307692307692308,0.24,0.416666666666667,0.238095238095238,0.227272727272727,0.241379310344828,0.259259259259259,0,0.458333333333333,0.476190476190476,0.125
"4FE4",0.206896551724138,0.4,0.28,0.32,0.333333333333333,0.392857142857143,0.136363636363636,0.266666666666667,0.333333333333333,0.64,0.205882352941176,0.344827586206897,0.307692307692308,0.708333333333333,0.357142857142857,0.518518518518518,0.222222222222222,0.214285714285714,0.34375,0.366666666666667,0.458333333333333,0,0.652173913043478,0.0869565217391304
"22B0",0.24,0.24,0.217391304347826,0.260869565217391,0.285714285714286,0.296296296296296,0.166666666666667,0.214285714285714,0.272727272727273,0.608695652173913,0.193548387096774,0.296296296296296,0.363636363636364,0.541666666666667,0.416666666666667,0.48,0.208333333333333,0.153846153846154,0.258064516129032,0.233333333333333,0.476190476190476,0.652173913043478,0,0.105263157894737
"C950",0.125,0.0588235294117647,0.153846153846154,0.142857142857143,0.15,0.0476190476190476,0.333333333333333,0.105263157894737,0.0714285714285714,0.142857142857143,0.2,0.1,0.214285714285714,0.0909090909090909,0.105263157894737,0.142857142857143,0.333333333333333,0.307692307692308,0.181818181818182,0.142857142857143,0.125,0.0869565217391304,0.105263157894737,0
