"","24E9","39ED","AC35","BF04","4FE4","41C1","22B0","E063","879F","EC1A","D14D","7C6F","F44A","A539","44BD","DCCF","F377","D629","C5F2","15BF","AA3C","80F1","CB2B","5939","0255","A5EF","2D31","C809","D4DC","418B","8787","AC37","F429","A42D","B3E8","0145","0734","34C9","494F","8106","8666","8BE4","9A80","A16E","A816","4ECA","4C7B","29B2","076C","663E","B8A2","A24D","0387","3CC1","D849"
"AA3C",0.333333333333333,0.222222222222222,0.48,0.428571428571429,0.40625,0.375,0.194444444444444,0.391304347826087,0.444444444444444,0.407407407407407,0.264705882352941,0.05,0.25,0.310344827586207,0.275862068965517,0.392857142857143,0.310344827586207,0.565217391304348,0.5,0.44,0,0.258064516129032,0.171428571428571,0.206896551724138,0.214285714285714,0.555555555555556,0.192307692307692,0.392857142857143,0.384615384615385,0.171428571428571,0.2,0.310344827586207,0.266666666666667,0.48,0.407407407407407,0.407407407407407,0.25,0.321428571428571,0.407407407407407,0.428571428571429,0.478260869565217,0.461538461538462,0.416666666666667,0.285714285714286,0.357142857142857,0.3,0.0344827586206897,0.32258064516129,0.205882352941176,0.28,0.296296296296296,0.133333333333333,0.2,0.32,0.208333333333333
"80F1",0.0789473684210526,0.0967741935483871,0.357142857142857,0.205882352941176,0.277777777777778,0.133333333333333,0.294117647058824,0.222222222222222,0.379310344827586,0.181818181818182,0.222222222222222,0,0.171428571428571,0.0833333333333333,0.151515151515152,0.212121212121212,0.147058823529412,0.121212121212121,0.15625,0.321428571428571,0.258064516129032,0,0.448275862068966,0.161290322580645,0.4,0.264705882352941,0.230769230769231,0.176470588235294,0.423076923076923,0.166666666666667,0.34375,0.392857142857143,0.181818181818182,0.151515151515152,0.258064516129032,0.114285714285714,0.108108108108108,0.0857142857142857,0.258064516129032,0.205882352941176,0.166666666666667,0.181818181818182,0.0606060606060606,0.166666666666667,0.21875,0.142857142857143,0.24,0.235294117647059,0.2,0.222222222222222,0.161290322580645,0.166666666666667,0.192307692307692,0.0967741935483871,0.111111111111111
"CB2B",0.102564102564103,0.0588235294117647,0.212121212121212,0.228571428571429,0.263157894736842,0.0588235294117647,0.352941176470588,0.129032258064516,0.3125,0.138888888888889,0.277777777777778,0.0434782608695652,0.303030303030303,0.108108108108108,0.176470588235294,0.166666666666667,0.108108108108108,0.114285714285714,0.114285714285714,0.258064516129032,0.171428571428571,0.448275862068966,0,0.117647058823529,0.321428571428571,0.184210526315789,0.259259259259259,0.105263157894737,0.21875,0.222222222222222,0.323529411764706,0.28125,0.138888888888889,0.25,0.205882352941176,0.138888888888889,0.131578947368421,0.0810810810810811,0.205882352941176,0.228571428571429,0.121212121212121,0.138888888888889,0.0882352941176471,0.111111111111111,0.171428571428571,0.0769230769230769,0.178571428571429,0.128205128205128,0.189189189189189,0.0606060606060606,0.151515151515152,0.193548387096774,0.222222222222222,0.125,0.0666666666666667
"5939",0.121212121212121,0.111111111111111,0.36,0.233333333333333,0.235294117647059,0.2,0.290322580645161,0.260869565217391,0.384615384615385,0.166666666666667,0.176470588235294,0,0.121212121212121,0.166666666666667,0.307692307692308,0.384615384615385,0.458333333333333,0.269230769230769,0.222222222222222,0.222222222222222,0.206896551724138,0.161290322580645,0.117647058823529,0,0.347826086956522,0.258064516129032,0.166666666666667,0.384615384615385,0.32,0.1875,0.344827586206897,0.346153846153846,0.25,0.172413793103448,0.206896551724138,0.166666666666667,0.121212121212121,0.172413793103448,0.166666666666667,0.15625,0.192307692307692,0.206896551724138,0.107142857142857,0.2,0.346153846153846,0.241379310344828,0.35,0.266666666666667,0.0555555555555556,0.380952380952381,0.103448275862069,0.192307692307692,0.227272727272727,0.2,0.0833333333333333
"0255",0.125,0.115384615384615,0.32,0.2,0.32258064516129,0.16,0.344827586206897,0.333333333333333,0.4,0.214285714285714,0.114285714285714,0,0.285714285714286,0.133333333333333,0.222222222222222,0.296296296296296,0.214285714285714,0.230769230769231,0.230769230769231,0.454545454545455,0.214285714285714,0.4,0.321428571428571,0.347826086956522,0,0.225806451612903,0.421052631578947,0.206896551724138,0.333333333333333,0.275862068965517,0.266666666666667,0.478260869565217,0.133333333333333,0.178571428571429,0.307692307692308,0.214285714285714,0.161290322580645,0.137931034482759,0.307692307692308,0.241379310344828,0.2,0.259259259259259,0.111111111111111,0.210526315789474,0.307692307692308,0.166666666666667,0.181818181818182,0.275862068965517,0.193548387096774,0.217391304347826,0.24,0.2,0.238095238095238,0.16,0.0869565217391304
"A5EF",0.419354838709677,0.423076923076923,0.464285714285714,0.294117647058824,0.484848484848485,0.48,0.27027027027027,0.384615384615385,0.433333333333333,0.5,0.382352941176471,0,0.257142857142857,0.5,0.366666666666667,0.433333333333333,0.5,0.379310344827586,0.481481481481481,0.538461538461538,0.555555555555556,0.264705882352941,0.184210526315789,0.258064516129032,0.225806451612903,0,0.206896551724138,0.34375,0.333333333333333,0.216216216216216,0.277777777777778,0.354838709677419,0.354838709677419,0.366666666666667,0.448275862068966,0.354838709677419,0.375,0.464285714285714,0.354838709677419,0.466666666666667,0.461538461538462,0.5,0.357142857142857,0.291666666666667,0.4,0.482758620689655,0.0625,0.40625,0.323529411764706,0.285714285714286,0.5,0.0857142857142857,0.172413793103448,0.321428571428571,0.32
"2D31",0.1,0.181818181818182,0.304347826086957,0.222222222222222,0.151515151515152,0.0833333333333333,0.241379310344828,0.136363636363636,0.230769230769231,0.347826086956522,0.0588235294117647,0,0.178571428571429,0.24,0.25,0.230769230769231,0.0689655172413793,0.0740740740740741,0.115384615384615,0.380952380952381,0.192307692307692,0.230769230769231,0.259259259259259,0.166666666666667,0.421052631578947,0.206896551724138,0,0.185185185185185,0.16,0.307692307692308,0.25,0.347826086956522,0.0689655172413793,0.0714285714285714,0.192307692307692,0.148148148148148,0.1,0.111111111111111,0.291666666666667,0.1,0.173913043478261,0.148148148148148,0.0384615384615385,0.176470588235294,0.24,0.032258064516129,0.15,0.0967741935483871,0.214285714285714,0.19047619047619,0.272727272727273,0.125,0.0952380952380952,0.04,0.0476190476190476
"C809",0.32258064516129,0.214285714285714,0.407407407407407,0.32258064516129,0.352941176470588,0.307692307692308,0.222222222222222,0.269230769230769,0.333333333333333,0.444444444444444,0.157894736842105,0,0.242424242424242,0.258064516129032,0.52,0.428571428571429,0.3,0.37037037037037,0.48,0.275862068965517,0.392857142857143,0.176470588235294,0.105263157894737,0.384615384615385,0.206896551724138,0.34375,0.185185185185185,0,0.321428571428571,0.3125,0.34375,0.258064516129032,0.181818181818182,0.407407407407407,0.392857142857143,0.392857142857143,0.32258064516129,0.310344827586207,0.258064516129032,0.28125,0.296296296296296,0.444444444444444,0.296296296296296,0.217391304347826,0.392857142857143,0.290322580645161,0.148148148148148,0.354838709677419,0.166666666666667,0.375,0.241379310344828,0.296296296296296,0.24,0.36,0.153846153846154
"D4DC",0.1875,0.192307692307692,0.346153846153846,0.266666666666667,0.433333333333333,0.347826086956522,0.366666666666667,0.363636363636364,0.275862068965517,0.241379310344828,0.28125,0,0.151515151515152,0.2,0.25,0.321428571428571,0.241379310344828,0.259259259259259,0.36,0.36,0.384615384615385,0.423076923076923,0.21875,0.32,0.333333333333333,0.333333333333333,0.16,0.321428571428571,0,0.258064516129032,0.333333333333333,0.384615384615385,0.2,0.25,0.333333333333333,0.241379310344828,0.117647058823529,0.206896551724138,0.333333333333333,0.225806451612903,0.333333333333333,0.285714285714286,0.185185185185185,0.31578947368421,0.384615384615385,0.233333333333333,0.0769230769230769,0.181818181818182,0.21875,0.304347826086957,0.137931034482759,0.185185185185185,0.217391304347826,0.148148148148148,0.173913043478261
"418B",0.131578947368421,0.241379310344828,0.176470588235294,0.131578947368421,0.411764705882353,0.161290322580645,0.393939393939394,0.166666666666667,0.166666666666667,0.32258064516129,0.0952380952380952,0,0.34375,0.171428571428571,0.333333333333333,0.272727272727273,0.205882352941176,0.114285714285714,0.21875,0.21875,0.171428571428571,0.166666666666667,0.222222222222222,0.1875,0.275862068965517,0.216216216216216,0.307692307692308,0.3125,0.258064516129032,0,0.216216216216216,0.32258064516129,0.171428571428571,0.176470588235294,0.242424242424242,0.171428571428571,0.131578947368421,0.212121212121212,0.205882352941176,0.102564102564103,0.193548387096774,0.205882352941176,0.233333333333333,0.111111111111111,0.242424242424242,0.105263157894737,0.1,0.157894736842105,0.419354838709677,0.129032258064516,0.151515151515152,0.37037037037037,0.269230769230769,0.161290322580645,0.032258064516129
