"","0D1B","1731","6D0D","D726","2C18","07F9","3D98","B587","377E","3CA1","3F49","4ECA","39ED","B75C","AC35","AA57","5108","52AD","BF04","5672","4FE4","4C7B","41C1","22B0","29B2","5ACA","C950","E063","EE00","076C","6BD8","879F","9E17","24E9"
"AA57",0.355555555555556,0.27027027027027,0.41025641025641,0.318181818181818,0.4,0.422222222222222,0.0882352941176471,0.476190476190476,0.386363636363636,0.314285714285714,0.382978723404255,0.422222222222222,0.346938775510204,0.390243902439024,0.25,0,0.4,0.469387755102041,0.345454545454545,0.538461538461538,0.571428571428571,0.392156862745098,0.452380952380952,0.441860465116279,0.522727272727273,0.395833333333333,0.470588235294118,0.269230769230769,0.345454545454545,0.590909090909091,0.386363636363636,0.333333333333333,0.297297297297297,0.227272727272727
"5108",0.395348837209302,0.314285714285714,0.285714285714286,0.390243902439024,0.30952380952381,0.340425531914894,0.0588235294117647,0.386363636363636,0.224489795918367,0.285714285714286,0.391304347826087,0.285714285714286,0.382978723404255,0.302325581395349,0.340909090909091,0.4,0,0.392156862745098,0.489795918367347,0.475,0.382978723404255,0.320754716981132,0.463414634146341,0.452380952380952,0.346938775510204,0.434782608695652,0.233333333333333,0.326530612244898,0.377358490566038,0.408163265306122,0.363636363636364,0.339622641509434,0.305555555555556,0.292682926829268
"52AD",0.408163265306122,0.25,0.369565217391304,0.375,0.454545454545455,0.565217391304348,0.0714285714285714,0.428571428571429,0.5,0.2,0.553191489361702,0.384615384615385,0.450980392156863,0.511627906976744,0.36,0.469387755102041,0.392156862745098,0,0.547169811320755,0.545454545454545,0.510204081632653,0.58,0.4375,0.458333333333333,0.31578947368421,0.530612244897959,0.456140350877193,0.423076923076923,0.464285714285714,0.56,0.326923076923077,0.379310344827586,0.244444444444444,0.291666666666667
"BF04",0.365384615384615,0.239130434782609,0.382978723404255,0.333333333333333,0.375,0.345454545454545,0.0930232558139535,0.333333333333333,0.392156862745098,0.244444444444444,0.31578947368421,0.321428571428571,0.461538461538462,0.36734693877551,0.272727272727273,0.345454545454545,0.489795918367347,0.547169811320755,0,0.458333333333333,0.433962264150943,0.557692307692308,0.51063829787234,0.44,0.350877192982456,0.452830188679245,0.349206349206349,0.433962264150943,0.584905660377358,0.454545454545455,0.42,0.344262295081967,0.288888888888889,0.230769230769231
"5672",0.5,0.34375,0.378378378378378,0.421052631578947,0.368421052631579,0.395348837209302,0.1,0.45,0.425,0.4,0.418604651162791,0.333333333333333,0.409090909090909,0.472222222222222,0.365853658536585,0.538461538461538,0.475,0.545454545454545,0.458333333333333,0,0.51219512195122,0.395833333333333,0.425,0.45,0.369565217391304,0.465116279069767,0.314814814814815,0.291666666666667,0.346153846153846,0.434782608695652,0.390243902439024,0.36,0.375,0.25
"4FE4",0.340425531914894,0.225,0.390243902439024,0.395348837209302,0.487179487179487,0.404255319148936,0.0833333333333333,0.488372093023256,0.465116279069767,0.263157894736842,0.425531914893617,0.404255319148936,0.446808510638298,0.340909090909091,0.291666666666667,0.571428571428571,0.382978723404255,0.510204081632653,0.433962264150943,0.51219512195122,0,0.46,0.431818181818182,0.422222222222222,0.4375,0.352941176470588,0.452830188679245,0.36,0.357142857142857,0.565217391304348,0.340425531914894,0.298245614035088,0.351351351351351,0.272727272727273
"4C7B",0.236363636363636,0.285714285714286,0.476190476190476,0.326530612244898,0.369565217391304,0.543478260869565,0.0476190476190476,0.468085106382979,0.446808510638298,0.204545454545455,0.469387755102041,0.365384615384615,0.489795918367347,0.488372093023256,0.313725490196078,0.392156862745098,0.320754716981132,0.58,0.557692307692308,0.395833333333333,0.46,0,0.446808510638298,0.277777777777778,0.450980392156863,0.423076923076923,0.576923076923077,0.431372549019608,0.5,0.54,0.416666666666667,0.274193548387097,0.30952380952381,0.270833333333333
"41C1",0.288888888888889,0.222222222222222,0.444444444444444,0.30952380952381,0.472222222222222,0.418604651162791,0.0625,0.404761904761905,0.380952380952381,0.228571428571429,0.409090909090909,0.386363636363636,0.4,0.421052631578947,0.390243902439024,0.452380952380952,0.463414634146341,0.4375,0.51063829787234,0.425,0.431818181818182,0.446808510638298,0,0.404761904761905,0.391304347826087,0.361702127659574,0.384615384615385,0.3125,0.365384615384615,0.488888888888889,0.348837209302326,0.30188679245283,0.285714285714286,0.307692307692308
"22B0",0.475,0.216216216216216,0.204545454545455,0.4,0.421052631578947,0.319148936170213,0.09375,0.304347826086957,0.340909090909091,0.257142857142857,0.340425531914894,0.291666666666667,0.422222222222222,0.41025641025641,0.318181818181818,0.441860465116279,0.452380952380952,0.458333333333333,0.44,0.45,0.422222222222222,0.277777777777778,0.404761904761905,0,0.41304347826087,0.382978723404255,0.327272727272727,0.361702127659574,0.411764705882353,0.446808510638298,0.311111111111111,0.4,0.243243243243243,0.268292682926829
"29B2",0.254901960784314,0.25,0.288888888888889,0.355555555555556,0.25531914893617,0.313725490196078,0.0526315789473684,0.41304347826087,0.333333333333333,0.256410256410256,0.307692307692308,0.425531914893617,0.4375,0.363636363636364,0.235294117647059,0.522727272727273,0.346938775510204,0.31578947368421,0.350877192982456,0.369565217391304,0.4375,0.450980392156863,0.391304347826087,0.41304347826087,0,0.346153846153846,0.56,0.4375,0.4,0.489795918367347,0.488372093023256,0.363636363636364,0.342105263157895,0.1875
