"","22B0","8787","8C52","4FE4","076C","879F","418B","494F","8B80","F44A","44BD","2D31","0734","34C9","9A80","922C","4ECA","39ED","AC35","BF04","4C7B","41C1","E063","DCCF","C5F2","AA3C","80F1","CB2B","5939","0387","C809","3CC1","AC37","F429","A42D","0145","A816","9907","A24D","D4DC","8BE4","29B2","F377","D629","B8A2","663E","A539","A5EF","054D","B0C8","FB4B","0A62","1270","0F3D","0636"
"44BD",0.037037037037037,0,0.166666666666667,0.0909090909090909,0.222222222222222,0.166666666666667,0.277777777777778,0.173913043478261,0.217391304347826,0.222222222222222,0,0.0454545454545455,0.227272727272727,0.173913043478261,0.285714285714286,0.181818181818182,0,0,0.0416666666666667,0,0.0588235294117647,0.0714285714285714,0.0625,0.105263157894737,0.1,0.181818181818182,0,0.117647058823529,0.111111111111111,0.210526315789474,0.0952380952380952,0.05,0.125,0.0434782608695652,0.15,0.105263157894737,0,0.157894736842105,0.333333333333333,0.142857142857143,0.5,0.0555555555555556,0.25,0.0476190476190476,0.153846153846154,0.111111111111111,0,0,0,0,0,0,0,0.0526315789473684,0
"2D31",0.227272727272727,0.0588235294117647,0.172413793103448,0.0454545454545455,0.230769230769231,0.125,0.294117647058824,0.238095238095238,0.227272727272727,0.166666666666667,0.0454545454545455,0,0.04,0.3,0.130434782608696,0.31578947368421,0,0.0476190476190476,0.333333333333333,0,0.0625,0,0.0666666666666667,0,0,0.31578947368421,0,0,0,0.1,0,0.0526315789473684,0.238095238095238,0.0454545454545455,0.0476190476190476,0,0.1875,0.3125,0.0555555555555556,0,0.0526315789473684,0,0,0,0.0769230769230769,0,0,0,0,0.0666666666666667,0.272727272727273,0.117647058823529,0,0.266666666666667,0.384615384615385
"0734",0.107142857142857,0.0476190476190476,0.0857142857142857,0.08,0.0285714285714286,0.0333333333333333,0.0833333333333333,0.0344827586206897,0.0333333333333333,0.0416666666666667,0.227272727272727,0.04,0,0.153846153846154,0.153846153846154,0.0740740740740741,0,0.04,0.037037037037037,0,0.105263157894737,0,0,0.0909090909090909,0.0869565217391304,0.16,0,0.157894736842105,0.277777777777778,0.130434782608696,0.0833333333333333,0.0434782608695652,0.111111111111111,0.0384615384615385,0.368421052631579,0.0909090909090909,0.0454545454545455,0.0416666666666667,0.15,0.117647058823529,0.263157894736842,0.0476190476190476,0.210526315789474,0.0416666666666667,0.125,0.352941176470588,0,0,0,0.0526315789473684,0,0.15,0.133333333333333,0.0454545454545455,0
"34C9",0.192307692307692,0.157894736842105,0.310344827586207,0.08,0.125,0.192307692307692,0.04,0.111111111111111,0.148148148148148,0.0416666666666667,0.173913043478261,0.3,0.153846153846154,0,0.0714285714285714,0.16,0,0.0833333333333333,0.272727272727273,0,0,0,0.0526315789473684,0.0434782608695652,0,0.318181818181818,0,0.157894736842105,0.0454545454545455,0.181818181818182,0.04,0.0909090909090909,0.428571428571429,0.08,0.130434782608696,0.0909090909090909,0.15,0.136363636363636,0.0952380952380952,0,0.2,0.0476190476190476,0.0454545454545455,0,0.0588235294117647,0.210526315789474,0.0625,0,0,0.111111111111111,0.125,0.15,0,0.352941176470588,0.222222222222222
"9A80",0.192307692307692,0,0.266666666666667,0.285714285714286,0.285714285714286,0.291666666666667,0.3,0.363636363636364,0.192307692307692,0.25,0.285714285714286,0.130434782608696,0.153846153846154,0.0714285714285714,0,0.16,0.136363636363636,0,0.12,0,0.166666666666667,0.0588235294117647,0.0526315789473684,0.0909090909090909,0.0416666666666667,0.115384615384615,0,0.0476190476190476,0.0454545454545455,0.0833333333333333,0.04,0.0434782608695652,0.0714285714285714,0,0.238095238095238,0.0434782608695652,0.0454545454545455,0.19047619047619,0.210526315789474,0.117647058823529,0.0909090909090909,0.0476190476190476,0.0952380952380952,0.0416666666666667,0.0588235294117647,0.0454545454545455,0,0,0,0.111111111111111,0,0.0952380952380952,0.0625,0.0952380952380952,0.0476190476190476
"922C",0.153846153846154,0.05,0.193548387096774,0.0833333333333333,0.25,0.111111111111111,0.25,0.380952380952381,0.5,0.263157894736842,0.181818181818182,0.31578947368421,0.0740740740740741,0.16,0.16,0,0.0434782608695652,0.0416666666666667,0.08,0,0.0526315789473684,0.133333333333333,0.1875,0,0.0434782608695652,0.272727272727273,0,0,0.0476190476190476,0.19047619047619,0.0416666666666667,0.0454545454545455,0.115384615384615,0.0833333333333333,0.0416666666666667,0,0.1,0.333333333333333,0.294117647058824,0.0588235294117647,0.210526315789474,0,0.157894736842105,0,0,0,0,0,0,0.117647058823529,0.133333333333333,0.157894736842105,0,0.157894736842105,0.3125
"4ECA",0.181818181818182,0,0.178571428571429,0.157894736842105,0.192307692307692,0.181818181818182,0,0.136363636363636,0,0.111111111111111,0,0,0,0,0.136363636363636,0.0434782608695652,0,0.235294117647059,0.0454545454545455,0.357142857142857,0.0666666666666667,0.0833333333333333,0.0714285714285714,0.357142857142857,0.176470588235294,0.0434782608695652,0.384615384615385,0.0625,0.0588235294117647,0.05,0.3125,0.117647058823529,0.0416666666666667,0.157894736842105,0.05,0.266666666666667,0.0588235294117647,0.0526315789473684,0,0.0769230769230769,0,0.214285714285714,0,0.333333333333333,0,0,0,0.181818181818182,0,0,0,0,0,0,0
"39ED",0.08,0.0588235294117647,0.0967741935483871,0.0454545454545455,0.0666666666666667,0,0,0.04,0.0384615384615385,0,0,0.0476190476190476,0.04,0.0833333333333333,0,0.0416666666666667,0.235294117647059,0,0.0909090909090909,0.538461538461538,0.0625,0.0769230769230769,0.142857142857143,0.428571428571429,0.5,0.136363636363636,0.583333333333333,0.0588235294117647,0.0555555555555556,0.1,0.466666666666667,0.428571428571429,0.0833333333333333,0.533333333333333,0.157894736842105,0.333333333333333,0.117647058823529,0.105263157894737,0.0555555555555556,0,0.0526315789473684,0.2,0.0555555555555556,0.4,0,0.0555555555555556,0,0.272727272727273,0,0.0666666666666667,0,0.117647058823529,0,0.0555555555555556,0
"AC35",0.208333333333333,0.111111111111111,0.2,0,0.172413793103448,0.115384615384615,0.0909090909090909,0.0769230769230769,0.115384615384615,0.0454545454545455,0.0416666666666667,0.333333333333333,0.037037037037037,0.272727272727273,0.12,0.08,0.0454545454545455,0.0909090909090909,0,0.0476190476190476,0.0555555555555556,0.0666666666666667,0.0588235294117647,0.1,0.0454545454545455,0.35,0.05,0.111111111111111,0.05,0.0434782608695652,0.0434782608695652,0.0476190476190476,0.217391304347826,0.0416666666666667,0.142857142857143,0.0476190476190476,0.3125,0.210526315789474,0,0,0.1,0,0.05,0,0,0.05,0.0714285714285714,0,0,0.125,0.142857142857143,0.166666666666667,0,0.3125,0.176470588235294
"BF04",0.0416666666666667,0,0.032258064516129,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0.357142857142857,0.538461538461538,0.0476190476190476,0,0.0714285714285714,0.0909090909090909,0.0769230769230769,0.5,0.461538461538462,0.0454545454545455,0.545454545454545,0.0666666666666667,0.0625,0.0526315789473684,0.666666666666667,0.285714285714286,0.0434782608695652,0.5,0.0526315789473684,0.384615384615385,0.0625,0.0555555555555556,0,0,0,0.333333333333333,0,0.583333333333333,0,0,0,0.333333333333333,0.1,0,0,0,0,0.0625,0
