"","1731","377E","24E9","4ECA","39ED","B75C","BF04","4FE4","4C7B","41C1","22B0","29B2","076C","879F","EC1A","663E","D14D","7C6F","0758","F44A","DCCF","F377","D629","C5F2","15BF","80F1","5909","B8A2","1958","A24D","2D31","B1E3","44BD","ACF4","AA3C","CB2B","5939","0255","A5EF","A539"
"22B0",0.347826086956522,0.3,0.392857142857143,0.222222222222222,0.208333333333333,0.178571428571429,0.2,0.517241379310345,0.5,0.5,0,0.321428571428571,0.461538461538462,0.590909090909091,0.428571428571429,0.37037037037037,0.434782608695652,0.36,0.444444444444444,0.466666666666667,0.363636363636364,0.344827586206897,0.5,0.2,0.0476190476190476,0.4,0.217391304347826,0.5,0.24,0.333333333333333,0.46875,0.321428571428571,0.111111111111111,0.105263157894737,0.181818181818182,0.2,0.0476190476190476,0.2,0.2,0.0555555555555556
"29B2",0.259259259259259,0.68,0.68,0.241379310344828,0.230769230769231,0.333333333333333,0.178571428571429,0.620689655172414,0.68,0.444444444444444,0.321428571428571,0,0.576923076923077,0.461538461538462,0.592592592592593,0.6,0.5,0.233333333333333,0.615384615384615,0.46875,0.32,0.555555555555556,0.6,0.227272727272727,0.0869565217391304,0.52,0.409090909090909,0.6,0.478260869565217,0.431818181818182,0.515151515151515,0.6,0.269230769230769,0.0434782608695652,0.208333333333333,0.173913043478261,0.0869565217391304,0.181818181818182,0.173913043478261,0.1
"076C",0.296296296296296,0.653846153846154,0.653846153846154,0.233333333333333,0.178571428571429,0.321428571428571,0.172413793103448,0.6,0.592592592592593,0.6,0.461538461538462,0.576923076923077,0,0.625,0.692307692307692,0.576923076923077,0.423076923076923,0.407407407407407,0.592592592592593,0.655172413793103,0.478260869565217,0.482758620689655,0.689655172413793,0.217391304347826,0.0833333333333333,0.5,0.333333333333333,0.580645161290323,0.4,0.488372093023256,0.645161290322581,0.576923076923077,0.307692307692308,0.0869565217391304,0.25,0.217391304347826,0.0833333333333333,0.333333333333333,0.217391304347826,0.0952380952380952
"879F",0.391304347826087,0.481481481481481,0.481481481481481,0.214285714285714,0.2,0.36,0.24,0.607142857142857,0.538461538461538,0.608695652173913,0.590909090909091,0.461538461538462,0.625,0,0.518518518518518,0.52,0.478260869565217,0.346153846153846,0.6,0.551724137931034,0.347826086956522,0.379310344827586,0.586206896551724,0.25,0.0952380952380952,0.5,0.45,0.533333333333333,0.391304347826087,0.386363636363636,0.548387096774194,0.461538461538462,0.24,0.0476190476190476,0.227272727272727,0.25,0.0952380952380952,0.193548387096774,0.25,0.0526315789473684
"EC1A",0.37037037037037,0.730769230769231,0.551724137931034,0.3,0.296296296296296,0.444444444444444,0.241379310344828,0.612903225806452,0.666666666666667,0.448275862068966,0.428571428571429,0.592592592592593,0.692307692307692,0.518518518518518,0,0.592592592592593,0.625,0.379310344827586,0.607142857142857,0.666666666666667,0.44,0.551724137931034,0.7,0.153846153846154,0.0769230769230769,0.576923076923077,0.416666666666667,0.7,0.423076923076923,0.466666666666667,0.606060606060606,0.592592592592593,0.333333333333333,0.08,0.230769230769231,0.2,0.0769230769230769,0.3125,0.2,0.0869565217391304
"663E",0.307692307692308,0.615384615384615,0.68,0.285714285714286,0.28,0.5,0.269230769230769,0.566666666666667,0.826086956521739,0.625,0.37037037037037,0.6,0.576923076923077,0.52,0.592592592592593,0,0.565217391304348,0.423076923076923,0.75,0.566666666666667,0.269230769230769,0.555555555555556,0.6,0.125,0.0869565217391304,0.461538461538462,0.55,0.6,0.619047619047619,0.465116279069767,0.612903225806452,0.6,0.375,0.0909090909090909,0.0740740740740741,0.227272727272727,0.0869565217391304,0.21875,0.173913043478261,0.0476190476190476
"D14D",0.428571428571429,0.52,0.461538461538462,0.391304347826087,0.473684210526316,0.454545454545455,0.318181818181818,0.482758620689655,0.583333333333333,0.458333333333333,0.434782608695652,0.5,0.423076923076923,0.478260869565217,0.625,0.565217391304348,0,0.375,0.583333333333333,0.433333333333333,0.318181818181818,0.583333333333333,0.466666666666667,0.210526315789474,0.105263157894737,0.478260869565217,0.421052631578947,0.466666666666667,0.363636363636364,0.311111111111111,0.4375,0.5,0.260869565217391,0.111111111111111,0.19047619047619,0.277777777777778,0.105263157894737,0.206896551724138,0.210526315789474,0
"7C6F",0.55,0.3,0.392857142857143,0.434782608695652,0.208333333333333,0.434782608695652,0.428571428571429,0.294117647058824,0.344827586206897,0.5,0.36,0.233333333333333,0.407407407407407,0.346153846153846,0.379310344827586,0.423076923076923,0.375,0,0.392857142857143,0.375,0.304347826086957,0.392857142857143,0.323529411764706,0.142857142857143,0.157894736842105,0.25,0.166666666666667,0.323529411764706,0.148148148148148,0.276595744680851,0.342857142857143,0.321428571428571,0.578947368421053,0.105263157894737,0.238095238095238,0.263157894736842,0.222222222222222,0.44,0.411764705882353,0.0555555555555556
"0758",0.285714285714286,0.62962962962963,0.62962962962963,0.225806451612903,0.307692307692308,0.407407407407407,0.25,0.689655172413793,0.692307692307692,0.518518518518518,0.444444444444444,0.615384615384615,0.592592592592593,0.6,0.607142857142857,0.75,0.583333333333333,0.392857142857143,0,0.633333333333333,0.296296296296296,0.62962962962963,0.5625,0.16,0.08,0.538461538461538,0.5,0.612903225806452,0.5,0.444444444444444,0.733333333333333,0.68,0.25,0.0833333333333333,0.192307692307692,0.16,0.08,0.205882352941176,0.208333333333333,0.0434782608695652
"F44A",0.32258064516129,0.580645161290323,0.580645161290323,0.194444444444444,0.21875,0.387096774193548,0.25,0.741935483870968,0.580645161290323,0.4375,0.466666666666667,0.46875,0.655172413793103,0.551724137931034,0.666666666666667,0.566666666666667,0.433333333333333,0.375,0.633333333333333,0,0.333333333333333,0.53125,0.71875,0.133333333333333,0.0666666666666667,0.5,0.357142857142857,0.666666666666667,0.464285714285714,0.48936170212766,0.838709677419355,0.46875,0.290322580645161,0.0333333333333333,0.2,0.214285714285714,0.0666666666666667,0.314285714285714,0.172413793103448,0.0357142857142857
