"from","to","weight","pair_type","from_role","to_role","year","pairID"
"15BF","34C9",0.296296296296296,"mother-random-juvenile","mother","daughter",2021,"15BF-34C9"
"15BF","494F",0.565217391304348,"mother-random-juvenile","mother","daughter",2021,"15BF-494F"
"15BF","8106",0.461538461538462,"mother-random-juvenile","mother","daughter",2021,"15BF-8106"
"15BF","8666",0.523809523809524,"mother-random-juvenile","mother","daughter",2021,"15BF-8666"
"15BF","8BE4",0.565217391304348,"mother-daughter","mother","daughter",2021,"15BF-8BE4"
"15BF","9A80",0.230769230769231,"mother-random-juvenile","mother","daughter",2021,"15BF-9A80"
"15BF","A16E",0.470588235294118,"mother-random-juvenile","mother","daughter",2021,"15BF-A16E"
"15BF","A816",0.44,"mother-random-juvenile","mother","daughter",2021,"15BF-A816"
"15BF","D849",0.285714285714286,"mother-random-juvenile","mother","daughter",2021,"15BF-D849"
"AA3C","A42D",0.48,"mother-daughter","mother","daughter",2021,"A42D-AA3C"
"AA3C","B3E8",0.407407407407407,"mother-random-juvenile","mother","daughter",2021,"AA3C-B3E8"
"AA3C","0145",0.407407407407407,"mother-random-juvenile","mother","daughter",2021,"0145-AA3C"
"AA3C","0734",0.25,"mother-random-juvenile","mother","daughter",2021,"0734-AA3C"
"AA3C","34C9",0.321428571428571,"mother-random-juvenile","mother","daughter",2021,"34C9-AA3C"
"AA3C","494F",0.407407407407407,"mother-random-juvenile","mother","daughter",2021,"494F-AA3C"
"AA3C","8106",0.428571428571429,"mother-random-juvenile","mother","daughter",2021,"8106-AA3C"
"AA3C","8666",0.478260869565217,"mother-random-juvenile","mother","daughter",2021,"8666-AA3C"
"AA3C","8BE4",0.461538461538462,"mother-random-juvenile","mother","daughter",2021,"8BE4-AA3C"
"AA3C","9A80",0.416666666666667,"mother-random-juvenile","mother","daughter",2021,"9A80-AA3C"
"AA3C","A16E",0.285714285714286,"mother-random-juvenile","mother","daughter",2021,"A16E-AA3C"
"AA3C","A816",0.357142857142857,"mother-random-juvenile","mother","daughter",2021,"A816-AA3C"
"AA3C","D849",0.208333333333333,"mother-random-juvenile","mother","daughter",2021,"AA3C-D849"
"AC37","A42D",0.233333333333333,"mother-random-juvenile","mother","daughter",2021,"A42D-AC37"
