"","0D1B","1731","9E17","6D0D","D726","2C18","07F9","B587","377E","3F49","24E9","4ECA","39ED","B75C","AC35","AA57","52AD","BF04","4FE4","41C1","22B0","29B2","879F","EC1A","663E","6B55","9A91","125F","F534","076C","4C7B","E063","C950","EE00","256A","2BFD"
"24E9",0.0294117647058824,0.272727272727273,0.409090909090909,0.444444444444444,0.0740740740740741,0.321428571428571,0.518518518518518,0.108108108108108,0.380952380952381,0.413793103448276,0,0.119047619047619,0.184210526315789,0.416666666666667,0.24,0.0909090909090909,0.119047619047619,0.32258064516129,0.0571428571428571,0.285714285714286,0.0285714285714286,0.321428571428571,0.1,0.222222222222222,0.290322580645161,0.0980392156862745,0.166666666666667,0,0,0.0303030303030303,0,0.136363636363636,0.115384615384615,0.0645161290322581,0.1,0.0263157894736842
"4ECA",0.2,0.0789473684210526,0.1,0.209302325581395,0.0769230769230769,0.219512195121951,0.173913043478261,0.2,0.105263157894737,0.227272727272727,0.119047619047619,0,0.380952380952381,0.175,0.333333333333333,0.195121951219512,0.578947368421053,0.227272727272727,0.31578947368421,0.256410256410256,0.195121951219512,0.25,0.266666666666667,0.390243902439024,0.394736842105263,0.38,0.171428571428571,0.0967741935483871,0.125,0.305555555555556,0.0882352941176471,0.0555555555555556,0.235294117647059,0.210526315789474,0.277777777777778,0.333333333333333
"39ED",0.15,0.181818181818182,0.135135135135135,0.219512195121951,0.0810810810810811,0.411764705882353,0.181818181818182,0.268292682926829,0.25,0.238095238095238,0.184210526315789,0.380952380952381,0,0.323529411764706,0.3125,0.175,0.288888888888889,0.209302325581395,0.230769230769231,0.382352941176471,0.236842105263158,0.371428571428571,0.375,0.375,0.275,0.313725490196078,0.0540540540540541,0.103448275862069,0.133333333333333,0.153846153846154,0.0606060606060606,0.0588235294117647,0.212121212121212,0.189189189189189,0.294117647058824,0.25
"B75C",0.0606060606060606,0.217391304347826,0.347826086956522,0.3,0.16,0.541666666666667,0.366666666666667,0.138888888888889,0.45,0.413793103448276,0.416666666666667,0.175,0.323529411764706,0,0.347826086956522,0.2,0.119047619047619,0.32258064516129,0.15625,0.285714285714286,0.161290322580645,0.37037037037037,0.222222222222222,0.333333333333333,0.333333333333333,0.166666666666667,0.12,0.105263157894737,0.15,0.133333333333333,0.0434782608695652,0.136363636363636,0.260869565217391,0.0645161290322581,0.178571428571429,0.114285714285714
"AC35",0.142857142857143,0.136363636363636,0.12,0.161290322580645,0.0833333333333333,0.36,0.1875,0.117647058823529,0.3,0.151515151515152,0.24,0.333333333333333,0.3125,0.347826086956522,0,0.178571428571429,0.257142857142857,0.1875,0.307692307692308,0.222222222222222,0.137931034482759,0.307692307692308,0.205882352941176,0.366666666666667,0.275862068965517,0.177777777777778,0.0869565217391304,0.0588235294117647,0.0526315789473684,0.107142857142857,0.105263157894737,0.0476190476190476,0.529411764705882,0.111111111111111,0.363636363636364,0.241379310344828
"AA57",0.423076923076923,0,0.137931034482759,0.0512820512820513,0.24,0.344827586206897,0.075,0.482758620689655,0.148148148148148,0.102564102564103,0.0909090909090909,0.195121951219512,0.175,0.2,0.178571428571429,0,0.195121951219512,0.075,0.392857142857143,0.0857142857142857,0.266666666666667,0.114285714285714,0.314285714285714,0.0952380952380952,0.2,0.260869565217391,0.0714285714285714,0.0454545454545455,0.0416666666666667,0.5,0.3,0.227272727272727,0.148148148148148,0.09375,0.09375,0.171428571428571
"52AD",0.2,0.138888888888889,0.1,0.209302325581395,0.0769230769230769,0.162790697674419,0.08,0.148936170212766,0.05,0.148936170212766,0.119047619047619,0.578947368421053,0.288888888888889,0.119047619047619,0.257142857142857,0.195121951219512,0,0.125,0.31578947368421,0.225,0.225,0.19047619047619,0.212765957446809,0.295454545454545,0.261904761904762,0.38,0.171428571428571,0.0303030303030303,0.125,0.27027027027027,0.15625,0.0857142857142857,0.2,0.15,0.277777777777778,0.268292682926829
"BF04",0.105263157894737,0.25,0.310344827586207,0.277777777777778,0.0909090909090909,0.222222222222222,0.6,0.297297297297297,0.285714285714286,0.5,0.32258064516129,0.227272727272727,0.209302325581395,0.32258064516129,0.1875,0.075,0.125,0,0.1,0.194444444444444,0.102564102564103,0.222222222222222,0.0851063829787234,0.307692307692308,0.305555555555556,0.145454545454545,0.09375,0.12,0.0714285714285714,0.108108108108108,0.0333333333333333,0.103448275862069,0.161290322580645,0.0810810810810811,0.142857142857143,0.121951219512195
"4FE4",0.225806451612903,0.0333333333333333,0.133333333333333,0.024390243902439,0.142857142857143,0.290322580645161,0.0476190476190476,0.294117647058824,0.103448275862069,0.1,0.0571428571428571,0.31578947368421,0.230769230769231,0.15625,0.307692307692308,0.392857142857143,0.31578947368421,0.1,0,0.114285714285714,0.344827586206897,0.176470588235294,0.305555555555556,0.175,0.194444444444444,0.311111111111111,0.0689655172413793,0.0434782608695652,0.04,0.275862068965517,0.285714285714286,0.037037037037037,0.185185185185185,0.2,0.241379310344828,0.4
"41C1",0.0882352941176471,0.2,0.269230769230769,0.242424242424242,0.0333333333333333,0.181818181818182,0.228571428571429,0.162162162162162,0.107142857142857,0.264705882352941,0.285714285714286,0.256410256410256,0.382352941176471,0.285714285714286,0.222222222222222,0.0857142857142857,0.225,0.194444444444444,0.114285714285714,0,0.0857142857142857,0.258064516129032,0.17948717948718,0.277777777777778,0.135135135135135,0.234042553191489,0.111111111111111,0.0454545454545455,0.0869565217391304,0.0588235294117647,0,0.08,0.148148148148148,0.129032258064516,0.166666666666667,0.171428571428571
"22B0",0.275862068965517,0.0344827586206897,0.1,0.0512820512820513,0.24,0.181818181818182,0.075,0.264705882352941,0.0689655172413793,0.102564102564103,0.0285714285714286,0.195121951219512,0.236842105263158,0.161290322580645,0.137931034482759,0.266666666666667,0.225,0.102564102564103,0.344827586206897,0.0857142857142857,0,0.21875,0.352941176470588,0.17948717948718,0.105263157894737,0.318181818181818,0,0.0454545454545455,0.0869565217391304,0.241379310344828,0.181818181818182,0.125,0.192307692307692,0.09375,0.166666666666667,0.205882352941176
"29B2",0.027027027027027,0.107142857142857,0.133333333333333,0.272727272727273,0.142857142857143,0.290322580645161,0.257142857142857,0.1,0.28,0.257142857142857,0.321428571428571,0.25,0.371428571428571,0.37037037037037,0.307692307692308,0.114285714285714,0.19047619047619,0.222222222222222,0.176470588235294,0.258064516129032,0.21875,0,0.175,0.382352941176471,0.194444444444444,0.229166666666667,0.0689655172413793,0.0909090909090909,0.130434782608696,0.0277777777777778,0,0.037037037037037,0.185185185185185,0.161290322580645,0.333333333333333,0.105263157894737
"879F",0.285714285714286,0.0555555555555556,0.205882352941176,0.0888888888888889,0.147058823529412,0.305555555555556,0.133333333333333,0.378378378378378,0.147058823529412,0.133333333333333,0.1,0.266666666666667,0.375,0.222222222222222,0.205882352941176,0.314285714285714,0.212765957446809,0.0851063829787234,0.305555555555556,0.17948717948718,0.352941176470588,0.175,0,0.173913043478261,0.162790697674419,0.346938775510204,0.0555555555555556,0.0689655172413793,0.0645161290322581,0.222222222222222,0.133333333333333,0.25,0.147058823529412,0.194444444444444,0.162162162162162,0.289473684210526
"EC1A",0.0465116279069767,0.151515151515152,0.138888888888889,0.361111111111111,0.0540540540540541,0.236842105263158,0.307692307692308,0.133333333333333,0.21875,0.342105263157895,0.222222222222222,0.390243902439024,0.375,0.333333333333333,0.366666666666667,0.0952380952380952,0.295454545454545,0.307692307692308,0.175,0.277777777777778,0.17948717948718,0.382352941176471,0.173913043478261,0,0.388888888888889,0.245283018867925,0.151515151515152,0.0689655172413793,0.1,0.128205128205128,0.0303030303030303,0.0606060606060606,0.258064516129032,0.102564102564103,0.433333333333333,0.13953488372093
"663E",0.0789473684210526,0.172413793103448,0.15625,0.323529411764706,0.09375,0.387096774193548,0.424242424242424,0.205128205128205,0.25,0.382352941176471,0.290322580645161,0.394736842105263,0.275,0.333333333333333,0.275862068965517,0.2,0.261904761904762,0.305555555555556,0.194444444444444,0.135135135135135,0.105263157894737,0.194444444444444,0.162790697674419,0.388888888888889,0,0.26530612244898,0.214285714285714,0.08,0.115384615384615,0.176470588235294,0.111111111111111,0.0689655172413793,0.129032258064516,0.147058823529412,0.21875,0.0975609756097561
"6B55",0.239130434782609,0.0869565217391304,0.127659574468085,0.12962962962963,0.133333333333333,0.25531914893617,0.145454545454545,0.3125,0.0851063829787234,0.166666666666667,0.0980392156862745,0.38,0.313725490196078,0.166666666666667,0.177777777777778,0.260869565217391,0.38,0.145454545454545,0.311111111111111,0.234042553191489,0.318181818181818,0.229166666666667,0.346938775510204,0.245283018867925,0.26530612244898,0,0.136363636363636,0.048780487804878,0.0714285714285714,0.217391304347826,0.121951219512195,0.119047619047619,0.133333333333333,0.170212765957447,0.195652173913043,0.386363636363636
"9A91",0.0357142857142857,0.222222222222222,0.0869565217391304,0.178571428571429,0.15,0.0689655172413793,0.129032258064516,0.09375,0.0454545454545455,0.129032258064516,0.166666666666667,0.171428571428571,0.0540540540540541,0.12,0.0869565217391304,0.0714285714285714,0.171428571428571,0.09375,0.0689655172413793,0.111111111111111,0,0.0689655172413793,0.0555555555555556,0.151515151515152,0.214285714285714,0.136363636363636,0,0.0714285714285714,0.214285714285714,0.12,0.0588235294117647,0.0555555555555556,0,0,0,0
"125F",0.1,0.0714285714285714,0.0588235294117647,0,0.142857142857143,0.0434782608695652,0.037037037037037,0.12,0.142857142857143,0.0769230769230769,0,0.0967741935483871,0.103448275862069,0.105263157894737,0.0588235294117647,0.0454545454545455,0.0303030303030303,0.12,0.0434782608695652,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0689655172413793,0.0689655172413793,0.08,0.048780487804878,0.0714285714285714,0,0.25,0.105263157894737,0,0,0,0,0,0
"F534",0.0909090909090909,0.214285714285714,0,0.0769230769230769,0.2,0.0833333333333333,0.0344827586206897,0.0714285714285714,0.0588235294117647,0.0714285714285714,0,0.125,0.133333333333333,0.15,0.0526315789473684,0.0416666666666667,0.125,0.0714285714285714,0.04,0.0869565217391304,0.0869565217391304,0.130434782608696,0.0645161290322581,0.1,0.115384615384615,0.0714285714285714,0.214285714285714,0.25,0,0.15,0,0,0,0,0,0
"076C",0.4,0.037037037037037,0.107142857142857,0.0833333333333333,0.208333333333333,0.15625,0.0512820512820513,0.28125,0.0740740740740741,0.138888888888889,0.0303030303030303,0.305555555555556,0.153846153846154,0.133333333333333,0.107142857142857,0.5,0.27027027027027,0.108108108108108,0.275862068965517,0.0588235294117647,0.241379310344828,0.0277777777777778,0.222222222222222,0.128205128205128,0.176470588235294,0.217391304347826,0.12,0.105263157894737,0.15,0,0.2,0.19047619047619,0.16,0.03125,0.0645161290322581,0.181818181818182
"4C7B",0.25,0.0588235294117647,0.105263157894737,0.0357142857142857,0.117647058823529,0.125,0,0.192307692307692,0.0555555555555556,0.0689655172413793,0,0.0882352941176471,0.0606060606060606,0.0434782608695652,0.105263157894737,0.3,0.15625,0.0333333333333333,0.285714285714286,0,0.181818181818182,0,0.133333333333333,0.0303030303030303,0.111111111111111,0.121951219512195,0.0588235294117647,0,0,0.2,0,0.0714285714285714,0.117647058823529,0.0454545454545455,0.0952380952380952,0.16
