"","4ECA","39ED","AC35","41C1","22B0","076C","879F","F44A","44BD","DCCF","C5F2","15BF","AA3C","CB2B","5939","0255","B8A2","A24D","2D31","0387","C809","3CC1","418B","AC37","F429","A42D","0145","0734","34C9","494F","8BE4","9A80","8C52","922C","B0C8","0F3D","0636","12D7","EB80","F4D9","DFAD","B484","0CE1","04DB","04D3","0B04","09B4","10B4","0739","F1D5","0122","0482","10B6","104E","0BA0","0DE4","062C","088C","29B2","663E","80F1","0A62","8B80","054D","BF04","D629","EE51","CC06"
"C5F2",0.352941176470588,0.0833333333333333,0.1875,0.111111111111111,0.04,0.0416666666666667,0.032258064516129,0,0.375,0.466666666666667,0,0.125,0.166666666666667,0.0833333333333333,0.176470588235294,0.1,0.142857142857143,0.117647058823529,0,0.0769230769230769,0.227272727272727,0.5,0,0,0.1,0.238095238095238,0.666666666666667,0.111111111111111,0,0,0.217391304347826,0,0,0,0.3,0.0476190476190476,0.176470588235294,0.125,0.230769230769231,0.111111111111111,0,0,0.0303030303030303,0,0,0,0,0,0.25,0.0714285714285714,0.208333333333333,0.0833333333333333,0.181818181818182,0.5,0.25,0.333333333333333,0.25,0.15,0.0666666666666667,0,0,0.1875,0,0.3,0,0.111111111111111,0,0
"15BF",0.0666666666666667,0.2,0.0909090909090909,0.0833333333333333,0,0.0588235294117647,0,0,0.333333333333333,0.0714285714285714,0.125,0,0.05,0.2,0.0833333333333333,0.333333333333333,0.125,0.0909090909090909,0,0,0.0526315789473684,0.25,0,0,0.333333333333333,0.0555555555555556,0.0833333333333333,0.5,0,0,0.05,0,0,0,0.2,0.0714285714285714,0.0833333333333333,1,0.125,0.5,0,0,0,0,0,0,0,0,0.5,0.142857142857143,0.0476190476190476,0.2,0.2,0.0769230769230769,0.0833333333333333,0.25,0.5,0.0666666666666667,0,0,0,0,0,0,0,0,0,0
"AA3C",0.296296296296296,0.0416666666666667,0.476190476190476,0.230769230769231,0,0.0277777777777778,0.0232558139534884,0,0.0952380952380952,0.259259259259259,0.166666666666667,0.05,0,0.136363636363636,0.142857142857143,0.0454545454545455,0.12,0.24,0,0,0.21875,0.142857142857143,0,0,0.0952380952380952,0.652173913043478,0.230769230769231,0.0476190476190476,0,0,0.428571428571429,0,0,0,0.19047619047619,0.0303030303030303,0.230769230769231,0.05,0.12,0.0476190476190476,0,0,0.0222222222222222,0,0,0,0,0,0.0476190476190476,0.125,0.518518518518518,0.0869565217391304,0.0869565217391304,0.178571428571429,0.230769230769231,0.0909090909090909,0.1,0.4,0.217391304347826,0.125,0.05,0.476190476190476,0,0.0869565217391304,0,0,0.0833333333333333,0.142857142857143
"CB2B",0.0526315789473684,0.111111111111111,0.230769230769231,0.0625,0.0454545454545455,0.1,0.115384615384615,0,0.142857142857143,0.0555555555555556,0.0833333333333333,0.2,0.136363636363636,0,0.0625,0.142857142857143,0.181818181818182,0.0666666666666667,0,0,0.142857142857143,0.125,0,0.0909090909090909,0.333333333333333,0.0952380952380952,0.0625,0.166666666666667,0,0.0344827586206897,0.0869565217391304,0,0.0476190476190476,0,0.25,0.0555555555555556,0.0625,0.2,0.0833333333333333,0.166666666666667,0,0,0,0.0434782608695652,0.0344827586206897,0.0666666666666667,0,0,0.166666666666667,0.0909090909090909,0.181818181818182,0.111111111111111,0.25,0.125,0.0625,0.125,0.166666666666667,0.111111111111111,0.181818181818182,0,0.2,0.142857142857143,0,0,0,0,0,0
"5939",0.173913043478261,0.0625,0.0952380952380952,0.5,0.111111111111111,0.0357142857142857,0.0909090909090909,0,0.0714285714285714,0.3,0.176470588235294,0.0833333333333333,0.142857142857143,0.0625,0,0.0714285714285714,0.25,0.4375,0,0.0588235294117647,0.291666666666667,0.142857142857143,0,0,0.0714285714285714,0.25,0.2,0.0769230769230769,0,0,0.142857142857143,0,0,0,0.0625,0.04,0.5,0.0833333333333333,0.538461538461538,0.0769230769230769,0.0555555555555556,0,0.0555555555555556,0,0,0,0,0,0.166666666666667,0.357142857142857,0.0645161290322581,0.0625,0.0625,0.19047619047619,0.0909090909090909,0.230769230769231,0.0769230769230769,0.227272727272727,0.111111111111111,0,0,0.0454545454545455,0,0.0625,0,0.0769230769230769,0.384615384615385,0
"0255",0.0588235294117647,0.142857142857143,0.0769230769230769,0.0714285714285714,0,0.0526315789473684,0,0,0.2,0.0625,0.1,0.333333333333333,0.0454545454545455,0.142857142857143,0.0714285714285714,0,0.1,0.0769230769230769,0.0769230769230769,0,0.0476190476190476,0.166666666666667,0.0952380952380952,0.1,0.2,0.05,0.0714285714285714,0.25,0.0476190476190476,0,0.0454545454545455,0,0,0.0416666666666667,0.142857142857143,0.0625,0.0714285714285714,0.333333333333333,0.1,0.25,0,0.0833333333333333,0,0.0476190476190476,0,0,0.0454545454545455,0,0.25,0.111111111111111,0.0434782608695652,0.142857142857143,0.142857142857143,0.0666666666666667,0.0714285714285714,0.166666666666667,0.25,0.0588235294117647,0,0,0,0,0.0909090909090909,0,0,0,0,0
"B8A2",0.15,0.0833333333333333,0.117647058823529,0.0526315789473684,0.181818181818182,0.136363636363636,0.142857142857143,0.0740740740740741,0.1,0.294117647058824,0.142857142857143,0.125,0.12,0.181818181818182,0.25,0.1,0,0.0555555555555556,0.0555555555555556,0.272727272727273,0.173913043478261,0.0909090909090909,0.037037037037037,0.0384615384615385,0.222222222222222,0.130434782608696,0.176470588235294,0.111111111111111,0.0384615384615385,0.0645161290322581,0.0769230769230769,0.0434782608695652,0.0869565217391304,0.0344827586206897,0.0833333333333333,0.1,0.0526315789473684,0.125,0.142857142857143,0.111111111111111,0.0714285714285714,0.0333333333333333,0.133333333333333,0.0384615384615385,0.03125,0.117647058823529,0.037037037037037,0.08,0.111111111111111,0.0714285714285714,0.115384615384615,0.0833333333333333,0.0833333333333333,0.166666666666667,0.0526315789473684,0.333333333333333,0.111111111111111,0.277777777777778,0.142857142857143,0.153846153846154,0,0.0555555555555556,0,0,0,0.111111111111111,0,0
"A24D",0.0833333333333333,0.0666666666666667,0.294117647058824,0.642857142857143,0,0.037037037037037,0,0,0.0769230769230769,0.0869565217391304,0.117647058823529,0.0909090909090909,0.24,0.0666666666666667,0.4375,0.0769230769230769,0.0555555555555556,0,0,0,0.2,0.153846153846154,0,0,0.0769230769230769,0.380952380952381,0.15,0.0833333333333333,0,0,0.192307692307692,0,0,0,0.0666666666666667,0.0416666666666667,0.642857142857143,0.0909090909090909,0.357142857142857,0.0833333333333333,0,0,0.0277777777777778,0,0,0,0,0,0.181818181818182,0.384615384615385,0.185185185185185,0.0666666666666667,0.0666666666666667,0.0909090909090909,0.277777777777778,0.0714285714285714,0.0833333333333333,0.181818181818182,0.0555555555555556,0.125,0,0.222222222222222,0,0.0666666666666667,0,0.0833333333333333,0.545454545454545,0.153846153846154
"2D31",0,0.142857142857143,0,0,0.208333333333333,0.333333333333333,0.206896551724138,0.28,0,0,0,0,0,0,0,0.0769230769230769,0.0555555555555556,0,0,0.214285714285714,0,0,0.24,0.25,0,0,0,0,0.363636363636364,0.285714285714286,0.0333333333333333,0.421052631578947,0.12,0.32,0,0.19047619047619,0,0,0,0,0.2,0.259259259259259,0.233333333333333,0.363636363636364,0.241379310344828,0.222222222222222,0.409090909090909,0.25,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.333333333333333,0,0,0,0,0
"0387",0,0,0,0,0.263157894736842,0.210526315789474,0.153846153846154,0.227272727272727,0,0.0526315789473684,0.0769230769230769,0,0,0,0.0588235294117647,0,0.272727272727273,0,0.214285714285714,0,0.0416666666666667,0,0.130434782608696,0.0869565217391304,0,0,0.0588235294117647,0,0.19047619047619,0.192307692307692,0,0.222222222222222,0.210526315789474,0.166666666666667,0,0.176470588235294,0,0,0.0769230769230769,0,0.181818181818182,0.0740740740740741,0.185185185185185,0.136363636363636,0.148148148148148,0.307692307692308,0.130434782608696,0.25,0,0,0,0,0,0.0555555555555556,0,0.111111111111111,0,0.05,0,0.444444444444444,0,0,0.0714285714285714,0,0,0.142857142857143,0,0
