"from","to","weight","pairID","pair_type"
"24E9","BF04",0.311111111111111,"24E9-BF04","other"
"24E9","5672",0.340425531914894,"24E9-5672","other"
"24E9","4FE4",0.270833333333333,"24E9-4FE4","other"
"24E9","4C7B",0.319148936170213,"24E9-4C7B","other"
"24E9","9E17",0.205882352941176,"24E9-9E17","other"
"24E9","2F15",0.472222222222222,"24E9-2F15","other"
"24E9","3F49",0.266666666666667,"24E9-3F49","other"
"24E9","4ECA",0.342105263157895,"24E9-4ECA","other"
"24E9","B75C",0.171428571428571,"24E9-B75C","other"
"24E9","AC35",0.216216216216216,"24E9-AC35","other"
"24E9","AA57",0.222222222222222,"24E9-AA57","other"
"24E9","41C1",0.475,"24E9-41C1","mother-daughter"
"24E9","5108",0.0909090909090909,"24E9-5108","other"
"A8D2","39ED",0.516129032258065,"39ED-A8D2","other"
"A8D2","52AD",0.405405405405405,"52AD-A8D2","other"
"A8D2","BF04",0.45,"A8D2-BF04","other"
"A8D2","5672",0.319148936170213,"5672-A8D2","other"
"A8D2","4FE4",0.363636363636364,"4FE4-A8D2","other"
"A8D2","4C7B",0.326086956521739,"4C7B-A8D2","other"
"A8D2","9E17",0.290322580645161,"9E17-A8D2","other"
"A8D2","2F15",0.444444444444444,"2F15-A8D2","other"
"A8D2","3F49",0.333333333333333,"3F49-A8D2","other"
"A8D2","4ECA",0.470588235294118,"4ECA-A8D2","other"
"A8D2","B75C",0.333333333333333,"A8D2-B75C","other"
"A8D2","AC35",0.375,"A8D2-AC35","other"
"A8D2","AA57",0.162162162162162,"A8D2-AA57","other"
"A8D2","41C1",0.260869565217391,"41C1-A8D2","other"
"A8D2","5108",0.129032258064516,"5108-A8D2","other"
"39ED","52AD",0.342105263157895,"39ED-52AD","other"
"39ED","BF04",0.425,"39ED-BF04","other"
"39ED","5672",0.270833333333333,"39ED-5672","other"
"39ED","4FE4",0.372093023255814,"39ED-4FE4","other"
"39ED","4C7B",0.333333333333333,"39ED-4C7B","other"
"39ED","9E17",0.444444444444444,"39ED-9E17","other"
"39ED","2F15",0.378378378378378,"2F15-39ED","other"
"39ED","3F49",0.30952380952381,"39ED-3F49","other"
"39ED","4ECA",0.324324324324324,"39ED-4ECA","other"
"39ED","B75C",0.344827586206897,"39ED-B75C","other"
"39ED","AC35",0.535714285714286,"39ED-AC35","other"
"39ED","AA57",0.2,"39ED-AA57","other"
"39ED","41C1",0.325581395348837,"39ED-41C1","other"
"39ED","5108",0.0967741935483871,"39ED-5108","other"
"52AD","BF04",0.55,"52AD-BF04","other"
"52AD","5672",0.434782608695652,"52AD-5672","other"
"52AD","4FE4",0.391304347826087,"4FE4-52AD","other"
"52AD","4C7B",0.41304347826087,"4C7B-52AD","other"
"52AD","9E17",0.257142857142857,"52AD-9E17","other"
"52AD","2F15",0.435897435897436,"2F15-52AD","other"
"52AD","3F49",0.333333333333333,"3F49-52AD","other"
"52AD","4ECA",0.421052631578947,"4ECA-52AD","other"
"52AD","B75C",0.189189189189189,"52AD-B75C","other"
"52AD","AC35",0.297297297297297,"52AD-AC35","other"
"52AD","AA57",0.205128205128205,"52AD-AA57","other"
"52AD","41C1",0.441860465116279,"41C1-52AD","other"
"52AD","5108",0.21875,"5108-52AD","other"
"BF04","5672",0.5,"5672-BF04","other"
"BF04","4FE4",0.555555555555556,"4FE4-BF04","other"
"BF04","4C7B",0.69047619047619,"4C7B-BF04","other"
"BF04","9E17",0.31578947368421,"9E17-BF04","other"
"BF04","2F15",0.347826086956522,"2F15-BF04","other"
"BF04","3F49",0.375,"3F49-BF04","other"
"BF04","4ECA",0.428571428571429,"4ECA-BF04","other"
"BF04","B75C",0.25,"B75C-BF04","other"
"BF04","AC35",0.384615384615385,"AC35-BF04","other"
"BF04","AA57",0.292682926829268,"AA57-BF04","other"
"BF04","41C1",0.446808510638298,"41C1-BF04","other"
"BF04","5108",0.216216216216216,"5108-BF04","other"
"5672","4FE4",0.510204081632653,"4FE4-5672","other"
