"","24E9","4ECA","39ED","AC35","BF04","4FE4","29B2","076C","EC1A","D14D","7C6F","F44A","A539","44BD","DCCF","F377","D629","C5F2","AA3C","80F1","CB2B","255","A5EF","B75C","22B0","15BF","5939","41C1","879F","663E","377E","4C7B","E063","B8A2","A24D","2D31","1731","387","A312","82C7","D3E1","C809","3CC1","3C0F","5A31","AC37","9A5D","418B","8787","D4DC","F429"
"7C6F",0.233333333333333,0.357894736842105,0.307692307692308,0.306818181818182,0.390243902439024,0.369047619047619,0.404494382022472,0.358695652173913,0.42156862745098,0.305263157894737,0,0.345238095238095,0.35632183908046,0.261363636363636,0.384615384615385,0.297872340425532,0.383720930232558,0.357894736842105,0.204301075268817,0.311111111111111,0.382716049382716,0.36046511627907,0.315217391304348,0.135802469135802,0.305263157894737,0.333333333333333,0.430232558139535,0.321428571428571,0.298969072164948,0.452380952380952,0.505882352941176,0.373626373626374,0.307692307692308,0.23,0.25531914893617,0.229885057471264,0.417582417582418,0.0454545454545455,0.0158730158730159,0.0735294117647059,0.0735294117647059,0.072463768115942,0.0869565217391304,0.0447761194029851,0,0.0136986301369863,0.0447761194029851,0.0138888888888889,0.0441176470588235,0.0588235294117647,0.0303030303030303
"F44A",0.342105263157895,0.25,0.341463414634146,0.27710843373494,0.280487804878049,0.325,0.303370786516854,0.380952380952381,0.295238095238095,0.277777777777778,0.345238095238095,0,0.345679012345679,0.342105263157895,0.344827586206897,0.313953488372093,0.222222222222222,0.304347826086957,0.211764705882353,0.238636363636364,0.2875,0.333333333333333,0.272727272727273,0.202898550724638,0.306818181818182,0.371794871794872,0.310344827586207,0.24390243902439,0.285714285714286,0.329411764705882,0.322222222222222,0.303370786516854,0.273972602739726,0.1875,0.197802197802198,0.380281690140845,0.276595744680851,0.0169491525423729,0,0.0158730158730159,0,0.015625,0.0153846153846154,0.0338983050847458,0.0175438596491228,0.015625,0.0166666666666667,0.032258064516129,0.0163934426229508,0.0161290322580645,0.0172413793103448
"A539",0.215909090909091,0.262626262626263,0.236559139784946,0.193548387096774,0.208791208791209,0.305882352941176,0.32967032967033,0.315217391304348,0.258928571428571,0.25,0.35632183908046,0.345679012345679,0,0.188888888888889,0.340659340659341,0.282608695652174,0.337209302325581,0.302083333333333,0.227272727272727,0.239130434782609,0.270588235294118,0.313953488372093,0.314606741573034,0.189189189189189,0.276595744680851,0.244444444444444,0.322222222222222,0.215909090909091,0.232323232323232,0.35632183908046,0.393258426966292,0.301075268817204,0.272727272727273,0.279569892473118,0.266666666666667,0.337662337662338,0.302083333333333,0.0483870967741935,0.0169491525423729,0.0615384615384615,0.0298507462686567,0.0447761194029851,0.0597014925373134,0.0645161290322581,0.0161290322580645,0.0294117647058824,0.0476190476190476,0.0615384615384615,0.0634920634920635,0.0625,0.0158730158730159
"44BD",0.538461538461538,0.268817204301075,0.47945205479452,0.405405405405405,0.373333333333333,0.350649350649351,0.390243902439024,0.280898876404494,0.276190476190476,0.4125,0.261363636363636,0.342105263157895,0.188888888888889,0,0.337209302325581,0.3875,0.270588235294118,0.35632183908046,0.328947368421053,0.273809523809524,0.278481012658228,0.261904761904762,0.392405063291139,0.327868852459016,0.241758241758242,0.438356164383562,0.272727272727273,0.31578947368421,0.369047619047619,0.275862068965517,0.285714285714286,0.373493975903614,0.246575342465753,0.28735632183908,0.273809523809524,0.333333333333333,0.204081632653061,0.0175438596491228,0.0192307692307692,0.0163934426229508,0.0163934426229508,0.0161290322580645,0.0158730158730159,0,0,0,0,0,0,0,0
"DCCF",0.292134831460674,0.49438202247191,0.351648351648352,0.337078651685393,0.388235294117647,0.322222222222222,0.433333333333333,0.387096774193548,0.475247524752475,0.361702127659574,0.384615384615385,0.344827586206897,0.340659340659341,0.337209302325581,0,0.369565217391304,0.430232558139535,0.528735632183908,0.234042553191489,0.355555555555556,0.348837209302326,0.375,0.262626262626263,0.0786516853932584,0.242718446601942,0.276595744680851,0.459770114942529,0.292134831460674,0.34020618556701,0.384615384615385,0.5,0.387096774193548,0.325,0.282828282828283,0.297872340425532,0.247191011235955,0.385416666666667,0.0895522388059701,0.0303030303030303,0.1,0.0845070422535211,0.130434782608696,0.128571428571429,0.0571428571428571,0.0441176470588235,0.0985915492957746,0.0882352941176471,0.0845070422535211,0.102941176470588,0.101449275362319,0.0588235294117647
"F377",0.321428571428571,0.402173913043478,0.4,0.419753086419753,0.390243902439024,0.385542168674699,0.388888888888889,0.404494382022472,0.380952380952381,0.425287356321839,0.297872340425532,0.313953488372093,0.282608695652174,0.3875,0.369565217391304,0,0.322222222222222,0.387096774193548,0.365853658536585,0.311111111111111,0.349397590361446,0.392857142857143,0.344444444444444,0.26027397260274,0.362637362637363,0.380952380952381,0.308510638297872,0.423076923076923,0.415730337078652,0.386363636363636,0.361702127659574,0.358695652173913,0.291139240506329,0.268041237113402,0.372093023255814,0.304878048780488,0.264705882352941,0.0454545454545455,0,0.0579710144927536,0.0428571428571429,0.0571428571428571,0.0714285714285714,0,0,0.0136986301369863,0.0447761194029851,0.028169014084507,0.0441176470588235,0.0746268656716418,0.0149253731343284
"D629",0.213483146067416,0.384615384615385,0.333333333333333,0.272727272727273,0.321428571428571,0.333333333333333,0.435294117647059,0.355555555555556,0.405940594059406,0.344444444444444,0.383720930232558,0.222222222222222,0.337209302325581,0.270588235294118,0.430232558139535,0.322222222222222,0,0.369565217391304,0.238636363636364,0.306818181818182,0.224719101123595,0.357142857142857,0.229166666666667,0.0987654320987654,0.23469387755102,0.255555555555556,0.44578313253012,0.333333333333333,0.308510638297872,0.352272727272727,0.506024096385542,0.418604651162791,0.285714285714286,0.304347826086957,0.236559139784946,0.223529411764706,0.369565217391304,0.0819672131147541,0.0166666666666667,0.09375,0.0447761194029851,0.109375,0.107692307692308,0.046875,0,0.0597014925373134,0.0983606557377049,0.0769230769230769,0.0793650793650794,0.131147540983607,0.0483870967741935
"C5F2",0.388235294117647,0.478260869565217,0.384615384615385,0.370786516853933,0.390804597701149,0.355555555555556,0.404255319148936,0.375,0.433962264150943,0.350515463917526,0.357894736842105,0.304347826086957,0.302083333333333,0.35632183908046,0.528735632183908,0.387096774193548,0.369565217391304,0,0.265957446808511,0.31578947368421,0.337078651685393,0.305263157894737,0.361702127659574,0.151162790697674,0.378947368421053,0.366666666666667,0.477272727272727,0.340909090909091,0.33,0.417582417582418,0.35,0.389473684210526,0.297619047619048,0.262135922330097,0.288659793814433,0.252747252747253,0.307692307692308,0.0704225352112676,0.0441176470588235,0.0958904109589041,0.0666666666666667,0.125,0.123287671232877,0.0405405405405405,0,0.0657894736842105,0.0845070422535211,0.0526315789473684,0.0833333333333333,0.0972222222222222,0.0563380281690141
"AA3C",0.507462686567164,0.252631578947368,0.3625,0.438356164383562,0.3,0.280487804878049,0.263736263736264,0.306818181818182,0.261682242990654,0.407407407407407,0.204301075268817,0.211764705882353,0.227272727272727,0.328947368421053,0.234042553191489,0.365853658536585,0.238636363636364,0.265957446808511,0,0.301204819277108,0.291139240506329,0.175824175824176,0.40506329113924,0.344262295081967,0.2,0.218390804597701,0.189473684210526,0.383561643835616,0.260869565217391,0.258426966292135,0.242105263157895,0.32183908045977,0.210526315789474,0.378048780487805,0.35,0.347222222222222,0.202020202020202,0.0172413793103448,0,0.0327868852459016,0.05,0.0158730158730159,0.0317460317460317,0.0169491525423729,0,0,0.0169491525423729,0.0161290322580645,0.0166666666666667,0.0333333333333333,0
"80F1",0.304878048780488,0.262626262626263,0.402439024390244,0.321428571428571,0.392405063291139,0.353658536585366,0.32967032967033,0.44047619047619,0.281818181818182,0.428571428571429,0.311111111111111,0.238636363636364,0.239130434782609,0.273809523809524,0.355555555555556,0.311111111111111,0.306818181818182,0.31578947368421,0.301204819277108,0,0.367088607594937,0.269662921348315,0.258064516129032,0.205479452054795,0.2,0.28735632183908,0.307692307692308,0.244186046511628,0.257731958762887,0.296703296703297,0.362637362637363,0.315217391304348,0.180722891566265,0.239583333333333,0.280898876404494,0.226190476190476,0.288659793814433,0.0317460317460317,0.0344827586206897,0.0298507462686567,0.0298507462686567,0.0447761194029851,0.0597014925373134,0,0.0161290322580645,0.0606060606060606,0.0476190476190476,0.0147058823529412,0.0307692307692308,0.0303030303030303,0
