"","1731","377E","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","29B2","E063","EC1A","663E","D14D","7C6F","A539","80F1","CB2B","076C","879F","44BD","DCCF","15BF","F44A","758","F377","D629","5939","255","A5EF","24E9","AA3C","ACF4","C5F2","5909","B8A2","1958","A24D","2D31","B1E3"
"255",0.291666666666667,0.302083333333333,0.255102040816327,0.245098039215686,0.288461538461538,0.26865671641791,0.247524752475248,0.34020618556701,0.264705882352941,0.3125,0.282608695652174,0.214285714285714,0.206349206349206,0.366336633663366,0.278846153846154,0.254901960784314,0.306122448979592,0.373134328358209,0.323232323232323,0.357142857142857,0.34,0.333333333333333,0.358024691358025,0.421052631578947,0.363636363636364,0.333333333333333,0.285714285714286,0.32,0.35,0.3125,0,0.477611940298507,0.274509803921569,0.359375,0.405797101449275,0.32,0.0151515151515152,0.16,0.0294117647058824,0.164556962025316,0.168831168831169,0.144927536231884
"A5EF",0.313953488372093,0.252747252747253,0.28735632183908,0.348837209302326,0.32258064516129,0.37037037037037,0.385542168674699,0.265957446808511,0.282608695652174,0.352941176470588,0.244186046511628,0.241379310344828,0.274509803921569,0.309278350515464,0.311827956989247,0.3,0.3,0.327868852459016,0.290322580645161,0.354838709677419,0.255102040816327,0.297619047619048,0.477611940298507,0.46969696969697,0.516129032258065,0.258064516129032,0.319148936170213,0.301075268817204,0.333333333333333,0.520833333333333,0.477611940298507,0,0.279569892473118,0.433962264150943,0.387096774193548,0.419354838709677,0,0.0704225352112676,0,0.08,0.0821917808219178,0.0625
"24E9",0.398058252427184,0.611111111111111,0.444444444444444,0.484848484848485,0.524752475247525,0.153846153846154,0.489795918367347,0.578947368421053,0.585106382978723,0.56989247311828,0.452631578947368,0.494623655913978,0.116279069767442,0.612244897959184,0.59375,0.510204081632653,0.465346534653465,0.191489361702128,0.480392156862745,0.210526315789474,0.571428571428571,0.458333333333333,0.41304347826087,0.376344086021505,0.25,0.557894736842105,0.648936170212766,0.56701030927835,0.648936170212766,0.209302325581395,0.274509803921569,0.279569892473118,0,0.175824175824176,0.285714285714286,0.367816091954023,0.115384615384615,0.244186046511628,0.139240506329114,0.244444444444444,0.222222222222222,0.192771084337349
"AA3C",0.2625,0.228915662650602,0.298701298701299,0.253012048192771,0.233333333333333,0.26530612244898,0.25609756097561,0.229885057471264,0.218390804597701,0.25609756097561,0.17283950617284,0.246753246753247,0.232558139534884,0.25,0.208791208791209,0.235294117647059,0.235294117647059,0.30188679245283,0.227272727272727,0.285714285714286,0.206521739130435,0.243589743589744,0.338461538461538,0.39344262295082,0.413793103448276,0.193181818181818,0.230769230769231,0.252873563218391,0.230769230769231,0.355555555555556,0.359375,0.433962264150943,0.175824175824176,0,0.275862068965517,0.381818181818182,0,0.103448275862069,0,0.0952380952380952,0.0983606557377049,0.0980392156862745
"ACF4",0.275862068965517,0.28735632183908,0.27906976744186,0.280898876404494,0.315217391304348,0.358490566037736,0.284090909090909,0.314606741573034,0.303370786516854,0.228260869565217,0.265060240963855,0.204545454545455,0.285714285714286,0.344086021505376,0.318681318681319,0.337209302325581,0.292134831460674,0.462962962962963,0.282608695652174,0.389830508474576,0.287234042553192,0.304878048780488,0.328767123287671,0.397058823529412,0.4375,0.223404255319149,0.311827956989247,0.293478260869565,0.297872340425532,0.339622641509434,0.405797101449275,0.387096774193548,0.285714285714286,0.275862068965517,0,0.40983606557377,0.0188679245283019,0.0277777777777778,0.0178571428571429,0.025974025974026,0.0266666666666667,0.0476190476190476
"C5F2",0.284090909090909,0.325581395348837,0.302325581395349,0.364705882352941,0.308510638297872,0.275862068965517,0.352941176470588,0.352272727272727,0.325842696629214,0.337209302325581,0.244186046511628,0.255813953488372,0.274509803921569,0.336842105263158,0.28421052631579,0.329545454545455,0.258064516129032,0.306451612903226,0.318681318681319,0.3125,0.32258064516129,0.297619047619048,0.434782608695652,0.447761194029851,0.46875,0.24468085106383,0.362637362637363,0.315217391304348,0.333333333333333,0.377358490566038,0.32,0.419354838709677,0.367816091954023,0.381818181818182,0.40983606557377,0,0.0181818181818182,0.0704225352112676,0.0172413793103448,0.0945945945945946,0.0821917808219178,0.0625
"5909",0.051948051948052,0.138888888888889,0.0526315789473684,0.05,0.109756097560976,0,0.0246913580246914,0.144736842105263,0.146666666666667,0.106666666666667,0.0714285714285714,0.134328358208955,0,0.117647058823529,0.139240506329114,0.103896103896104,0.0493827160493827,0.0208333333333333,0.1,0.0196078431372549,0.0963855421686747,0.132352941176471,0.046875,0.0317460317460317,0,0.133333333333333,0.135802469135802,0.0987654320987654,0.135802469135802,0,0.0151515151515152,0,0.115384615384615,0,0.0188679245283019,0.0181818181818182,0,0.375,0.8,0.324324324324324,0.342857142857143,0.44
"B8A2",0.10989010989011,0.24390243902439,0.111111111111111,0.0721649484536082,0.11,0,0.0729166666666667,0.258823529411765,0.247058823529412,0.211764705882353,0.20253164556962,0.230769230769231,0,0.25,0.195652173913043,0.153846153846154,0.117021276595745,0.0298507462686567,0.186813186813187,0.0746268656716418,0.206521739130435,0.2125,0.10126582278481,0.164383561643836,0.025,0.265060240963855,0.204301075268817,0.197802197802198,0.28735632183908,0.0338983050847458,0.16,0.0704225352112676,0.244186046511628,0.103448275862069,0.0277777777777778,0.0704225352112676,0.375,0,0.424242424242424,0.725,0.634146341463415,0.555555555555556
"1958",0.0632911392405063,0.148648648648649,0.0506329113924051,0.0481927710843374,0.105882352941176,0,0.0238095238095238,0.168831168831169,0.186666666666667,0.102564102564103,0.0833333333333333,0.161764705882353,0,0.126436781609195,0.1625,0.1,0.0476190476190476,0.0196078431372549,0.0963855421686747,0.0185185185185185,0.119047619047619,0.126760563380282,0.0606060606060606,0.0303030303030303,0,0.173333333333333,0.144578313253012,0.108433734939759,0.17283950617284,0,0.0294117647058824,0,0.139240506329114,0,0.0178571428571429,0.0172413793103448,0.8,0.424242424242424,0,0.368421052631579,0.428571428571429,0.392857142857143
"A24D",0.0927835051546392,0.229885057471264,0.141304347826087,0.0686274509803922,0.115384615384615,0,0.0693069306930693,0.258426966292135,0.275862068965517,0.227272727272727,0.19047619047619,0.231707317073171,0,0.237113402061856,0.210526315789474,0.145833333333333,0.134020618556701,0.0277777777777778,0.189473684210526,0.0845070422535211,0.234042553191489,0.214285714285714,0.108433734939759,0.153846153846154,0.0357142857142857,0.264367816091954,0.206185567010309,0.239130434782609,0.285714285714286,0.0645161290322581,0.164556962025316,0.08,0.244444444444444,0.0952380952380952,0.025974025974026,0.0945945945945946,0.324324324324324,0.725,0.368421052631579,0,0.714285714285714,0.525
"2D31",0.0947368421052632,0.25,0.0957446808510638,0.0808080808080808,0.106796116504854,0,0.0707070707070707,0.294117647058824,0.252873563218391,0.177777777777778,0.180722891566265,0.207317073170732,0,0.216494845360825,0.202127659574468,0.148936170212766,0.125,0.0140845070422535,0.193548387096774,0.0714285714285714,0.212765957446809,0.204819277108434,0.0975609756097561,0.142857142857143,0.0365853658536585,0.333333333333333,0.236559139784946,0.217391304347826,0.277777777777778,0.0666666666666667,0.168831168831169,0.0821917808219178,0.222222222222222,0.0983606557377049,0.0266666666666667,0.0821917808219178,0.342857142857143,0.634146341463415,0.428571428571429,0.714285714285714,0,0.552631578947368
