"","1731","6D0D","D726","07F9","AA57","BF04","C950","39ED","377E","B75C","9E17","4FE4","0D1B","2C18","24E9","4ECA","AC35","52AD","4C7B","41C1","22B0","076C","879F","B587","7C6F","3F49","E063","29B2","EC1A","663E","6B55","9A91","125F","F534","256A","2BFD"
"9E17",0.365384615384615,0.35593220338983,0.333333333333333,0.28125,0.285714285714286,0.328358208955224,0.254237288135593,0.225352112676056,0.307692307692308,0.413793103448276,0,0.292307692307692,0.283333333333333,0.396551724137931,0.377358490566038,0.246376811594203,0.192982456140351,0.232876712328767,0.387755102040816,0.338983050847458,0.19047619047619,0.253968253968254,0.253731343283582,0.3125,0.161290322580645,0.338461538461538,0.18,0.111111111111111,0.0862068965517241,0.0925925925925926,0.0869565217391304,0.0444444444444444,0.0256410256410256,0,0.0196078431372549,0.0357142857142857
"4FE4",0.185714285714286,0.164556962025316,0.257142857142857,0.220779220779221,0.453125,0.311688311688312,0.246376811594203,0.302631578947368,0.25,0.236842105263158,0.292307692307692,0,0.435483870967742,0.476190476190476,0.214285714285714,0.380281690140845,0.26984126984127,0.397260273972603,0.35593220338983,0.213333333333333,0.359375,0.444444444444444,0.371428571428571,0.391304347826087,0.253731343283582,0.207317073170732,0.126984126984127,0.171428571428571,0.102941176470588,0.109375,0.191780821917808,0.0350877192982456,0.0196078431372549,0.0188679245283019,0.12280701754386,0.206896551724138
"0D1B",0.206349206349206,0.180555555555556,0.246153846153846,0.208333333333333,0.482758620689655,0.342857142857143,0.215384615384615,0.26027397260274,0.19672131147541,0.208333333333333,0.283333333333333,0.435483870967742,0,0.34375,0.181818181818182,0.28169014084507,0.19672131147541,0.319444444444444,0.327272727272727,0.235294117647059,0.290322580645161,0.423728813559322,0.348484848484849,0.412698412698413,0.222222222222222,0.194805194805195,0.142857142857143,0.102941176470588,0.0303030303030303,0.0491803278688525,0.159420289855072,0.0196078431372549,0.0465116279069767,0.0444444444444444,0.0363636363636364,0.166666666666667
"2C18",0.290322580645161,0.271428571428571,0.307692307692308,0.318840579710145,0.475409836065574,0.342465753424658,0.276923076923077,0.371428571428571,0.375,0.378787878787879,0.396551724137931,0.476190476190476,0.34375,0,0.389830508474576,0.338028169014085,0.327586206896552,0.32,0.350877192982456,0.294117647058824,0.272727272727273,0.313432835820896,0.388059701492537,0.409090909090909,0.246153846153846,0.371428571428571,0.172413793103448,0.215384615384615,0.142857142857143,0.214285714285714,0.166666666666667,0.037037037037037,0.0208333333333333,0.0408163265306122,0.0892857142857143,0.116666666666667
"24E9",0.241379310344828,0.372881355932203,0.222222222222222,0.383333333333333,0.28125,0.304347826086957,0.25,0.222222222222222,0.277777777777778,0.317460317460317,0.377358490566038,0.214285714285714,0.181818181818182,0.389830508474576,0,0.225352112676056,0.254545454545455,0.213333333333333,0.232142857142857,0.26984126984127,0.169230769230769,0.230769230769231,0.164383561643836,0.180555555555556,0.106060606060606,0.396825396825397,0.132075471698113,0.224137931034483,0.142857142857143,0.176470588235294,0.0704225352112676,0.0909090909090909,0,0,0.06,0.0172413793103448
"4ECA",0.214285714285714,0.305555555555556,0.216216216216216,0.230769230769231,0.301369863013699,0.271604938271605,0.294117647058824,0.346666666666667,0.223880597014925,0.230769230769231,0.246376811594203,0.380281690140845,0.28169014084507,0.338028169014085,0.225352112676056,0,0.32258064516129,0.485714285714286,0.261538461538462,0.273972602739726,0.236111111111111,0.388059701492537,0.306666666666667,0.240506329113924,0.246376811594203,0.2625,0.106060606060606,0.183098591549296,0.262295081967213,0.258620689655172,0.271428571428571,0.109090909090909,0.0588235294117647,0.0769230769230769,0.178571428571429,0.220338983050847
"AC35",0.264150943396226,0.288135593220339,0.241379310344828,0.2,0.262295081967213,0.231884057971014,0.48936170212766,0.238805970149254,0.333333333333333,0.392857142857143,0.192982456140351,0.26984126984127,0.19672131147541,0.327586206896552,0.254545454545455,0.32258064516129,0,0.323076923076923,0.28,0.293103448275862,0.163934426229508,0.19047619047619,0.230769230769231,0.176470588235294,0.192982456140351,0.220588235294118,0.195652173913043,0.178571428571429,0.229166666666667,0.170212765957447,0.126984126984127,0.048780487804878,0.0285714285714286,0.027027027027027,0.2,0.148936170212766
"52AD",0.253521126760563,0.289473684210526,0.253333333333333,0.204819277108434,0.356164383561644,0.304878048780488,0.314285714285714,0.296296296296296,0.178082191780822,0.234567901234568,0.232876712328767,0.397260273972603,0.319444444444444,0.32,0.213333333333333,0.485714285714286,0.323076923076923,0,0.323076923076923,0.347222222222222,0.223684210526316,0.347222222222222,0.259259259259259,0.307692307692308,0.25,0.235294117647059,0.149253731343284,0.142857142857143,0.191176470588235,0.166666666666667,0.256756756756757,0.101694915254237,0.0175438596491228,0.0714285714285714,0.166666666666667,0.169230769230769
"4C7B",0.288461538461538,0.245901639344262,0.358490566037736,0.0985915492957746,0.480769230769231,0.214285714285714,0.296296296296296,0.152777777777778,0.361702127659574,0.3,0.387755102040816,0.35593220338983,0.327272727272727,0.350877192982456,0.232142857142857,0.261538461538462,0.28,0.323076923076923,0,0.293103448275862,0.203389830508475,0.339285714285714,0.25,0.26984126984127,0.172413793103448,0.296875,0.145833333333333,0.0476190476190476,0.0172413793103448,0.0576923076923077,0.0757575757575758,0.0238095238095238,0,0,0.0434782608695652,0.08
"41C1",0.278688524590164,0.279411764705882,0.202898550724638,0.219178082191781,0.27536231884058,0.352112676056338,0.327868852459016,0.305555555555556,0.209677419354839,0.390625,0.338983050847458,0.213333333333333,0.235294117647059,0.294117647058824,0.26984126984127,0.273972602739726,0.293103448275862,0.347222222222222,0.293103448275862,0,0.0933333333333333,0.194444444444444,0.213333333333333,0.263888888888889,0.253968253968254,0.323943661971831,0.137931034482759,0.149253731343284,0.166666666666667,0.0819672131147541,0.154929577464789,0.0588235294117647,0.0217391304347826,0.0425531914893617,0.0925925925925926,0.101694915254237
