"from","to","weight","pair_type"
"663E","9FB7",0.31578947368421,"other"
"663E","1731",0.2,"other"
"663E","377E",0.412698412698413,"other"
"663E","B75C",0.482142857142857,"other"
"663E","879F",0.377049180327869,"other"
"663E","2C18",0.366666666666667,"other"
"663E","F44A",0.323943661971831,"other"
"663E","2F8D",0.461538461538462,"other"
"663E","44BD",0.421052631578947,"other"
"663E","F377",0.381578947368421,"other"
"663E","4FE4",0.515151515151515,"other"
"663E","0D1B",0.402777777777778,"other"
"663E","24E9",0.273972602739726,"other"
"663E","4ECA",0.4,"other"
"663E","4C7B",0.523076923076923,"other"
"663E","22B0",0.0909090909090909,"other"
"663E","E063",0.125,"other"
"663E","076C",0.348484848484849,"other"
"663E","EC1A",0.438356164383562,"other"
"663E","7C6F",0.292307692307692,"other"
"663E","D629",0.279411764705882,"other"
"663E","C5F2",0.391891891891892,"other"
"663E","C950",0.303571428571429,"other"
"663E","A539",0.214285714285714,"other"
"663E","DCCF",0.381578947368421,"other"
"663E","ACF4",0.233766233766234,"other"
"663E","15BF",0.319444444444444,"other"
"D14D","758",0.493333333333333,"other"
"D14D","9FB7",0.341772151898734,"other"
"D14D","1731",0.161290322580645,"other"
"D14D","377E",0.583333333333333,"other"
"D14D","B75C",0.508474576271186,"other"
"D14D","879F",0.475409836065574,"other"
"D14D","2C18",0.375,"other"
"D14D","F44A",0.265822784810127,"other"
"D14D","2F8D",0.428571428571429,"other"
"D14D","44BD",0.425,"other"
"D14D","F377",0.441558441558442,"other"
"D14D","4FE4",0.413333333333333,"other"
"D14D","0D1B",0.426666666666667,"other"
"D14D","24E9",0.356164383561644,"other"
"D14D","4ECA",0.515625,"other"
"D14D","4C7B",0.544117647058823,"other"
"D14D","22B0",0.0819672131147541,"other"
"D14D","E063",0.0909090909090909,"other"
"D14D","076C",0.484375,"other"
"D14D","EC1A",0.40506329113924,"other"
"D14D","7C6F",0.384615384615385,"other"
"D14D","D629",0.273972602739726,"other"
"D14D","C5F2",0.43421052631579,"other"
"D14D","C950",0.338983050847458,"other"
"D14D","A539",0.181818181818182,"other"
"D14D","DCCF",0.3875,"other"
"D14D","ACF4",0.328947368421053,"other"
"D14D","15BF",0.346666666666667,"other"
"D14D","AA3C",0.0350877192982456,"other"
"D14D","9407",0.037037037037037,"other"
"D14D","80F1",0.0181818181818182,"other"
"D14D","CB2B",0.0172413793103448,"other"
"D14D","898A",0.0181818181818182,"other"
"D14D","5939",0.0377358490566038,"other"
"758","9FB7",0.380952380952381,"other"
"758","1731",0.154929577464789,"other"
"758","377E",0.438356164383562,"other"
"758","B75C",0.546875,"other"
"758","879F",0.428571428571429,"other"
"758","2C18",0.420289855072464,"other"
"758","F44A",0.486486486486487,"other"
"758","2F8D",0.566265060240964,"other"
"758","44BD",0.569620253164557,"other"
"758","F377",0.457831325301205,"other"
"758","4FE4",0.546666666666667,"other"
"758","0D1B",0.5,"other"
"758","24E9",0.43421052631579,"other"
