"","BF04","80F1","F429","879F","15BF","CB2B","0145","494F","D629","0255","8BE4","922C","AC35","076C","5939","39ED","4C7B","41C1","22B0","29B2","E063","663E","F44A","A539","F377","AA3C","A5EF","B8A2","A24D","2D31","0387","D4DC","418B","AC37","A42D","34C9","9A80","A816","8C52","FB4B","0F3D","0636","4ECA","C809","8B80","0A62","F948","CC06","44BD","3CC1","12D7","C5F2","B0C8","0896","EB80","F4D9","DFAD","054D","DCCF","0734","0131","B484","EE51","0CE1","04DB","04D3","0B04","09B4","10B4","0739","F1D5","0122","0482","10B6","104E","0BA0","0DE4","062C","088C"
"8BE4",0.04,0.0277777777777778,0.0779220779220779,0.120300751879699,0.197183098591549,0.2375,0.2375,0.122137404580153,0.111111111111111,0.180555555555556,0,0.124031007751938,0.2625,0.110169491525424,0.154929577464789,0.0833333333333333,0.163934426229508,0.20253164556962,0.0991735537190083,0.2125,0.136363636363636,0.0804597701149425,0.096,0.0869565217391304,0.0945945945945946,0.296703296703297,0.0945945945945946,0.112244897959184,0.166666666666667,0.0803571428571429,0.0882352941176471,0.0410958904109589,0.0593220338983051,0.0873015873015873,0.326086956521739,0.148514851485149,0.0660377358490566,0.0933333333333333,0.0956521739130435,0.0649350649350649,0.111111111111111,0.142857142857143,0.234567901234568,0.151162790697674,0.0775862068965517,0.3,0.111111111111111,0.115942028985507,0.0821917808219178,0.197183098591549,0.0579710144927536,0.131578947368421,0.17283950617284,0.036144578313253,0.10126582278481,0.0138888888888889,0.0421052631578947,0.0833333333333333,0.246753246753247,0.0666666666666667,0.0169491525423729,0.048780487804878,0.0588235294117647,0.037037037037037,0.0266666666666667,0.0506329113924051,0.0298507462686567,0.012987012987013,0.0131578947368421,0.0344827586206897,0.0655737704918033,0.234375,0.0327868852459016,0.0862068965517241,0.0923076923076923,0.129032258064516,0.0333333333333333,0.0344827586206897,0.123076923076923
"922C",0.019047619047619,0.00980392156862745,0.0467289719626168,0.508474576271186,0.0961538461538462,0.0847457627118644,0.0578512396694215,0.491525423728814,0.058252427184466,0.0857142857142857,0.124031007751938,0,0.04,0.495327102803738,0.0571428571428571,0.0388349514563107,0.0869565217391304,0.0420168067226891,0.433628318584071,0.0956521739130435,0.106382978723404,0.268041237113402,0.580952380952381,0.0721649484536082,0.0784313725490196,0.0425531914893617,0.0476190476190476,0.254545454545455,0.0909090909090909,0.5,0.372549019607843,0.0714285714285714,0.54,0.418803418803419,0.0342465753424658,0.330275229357798,0.434343434343434,0.0373831775700935,0.383928571428571,0.15625,0.456896551724138,0.0353982300884956,0.0840336134453782,0.0756302521008403,0.466666666666667,0.0656934306569343,0.0760869565217391,0.0707070707070707,0.0384615384615385,0.0654205607476635,0.02,0.0454545454545455,0.00813008130081301,0.236559139784946,0.0357142857142857,0.02,0.28,0,0.0416666666666667,0.00925925925925926,0.0113636363636364,0.490566037735849,0.01,0.107843137254902,0.139784946236559,0.154639175257732,0.0769230769230769,0.103092783505155,0.139784946236559,0,0,0.0188679245283019,0,0,0,0,0,0,0
"AC35",0.05,0.0727272727272727,0.133333333333333,0.046875,0.129032258064516,0.377049180327869,0.217391304347826,0.0232558139534884,0.160714285714286,0.186440677966102,0.2625,0.04,0,0.0642201834862385,0.135593220338983,0.105263157894737,0.12,0.290322580645161,0.0350877192982456,0.301587301587302,0.0909090909090909,0.0821917808219178,0.0427350427350427,0.0714285714285714,0.1,0.471428571428571,0.245283018867925,0.105882352941176,0.225806451612903,0.00952380952380952,0.0786516853932584,0.0701754385964912,0.0280373831775701,0.0608695652173913,0.465753424657534,0.0306122448979592,0.0425531914893617,0.196428571428571,0.00909090909090909,0.0983606557377049,0.0416666666666667,0.216666666666667,0.164383561643836,0.150684931506849,0.0185185185185185,0.457142857142857,0.0185185185185185,0.127272727272727,0.12280701754386,0.166666666666667,0.0357142857142857,0.145161290322581,0.35593220338983,0.0142857142857143,0.107692307692308,0.0357142857142857,0.037037037037037,0.0862068965517241,0.191176470588235,0.101694915254237,0,0.0178571428571429,0.0555555555555556,0.0147058823529412,0,0,0,0,0,0.0465116279069767,0.0204081632653061,0.185185185185185,0.0434782608695652,0.0434782608695652,0.0980392156862745,0.122448979591837,0.0444444444444444,0.0465116279069767,0.137254901960784
"076C",0.021978021978022,0.0229885057471264,0.0425531914893617,0.464285714285714,0.0869565217391304,0.0857142857142857,0.0458715596330275,0.514018691588785,0.043956043956044,0.0989010989010989,0.110169491525424,0.495327102803738,0.0642201834862385,0,0.0659340659340659,0.0689655172413793,0.075,0.0576923076923077,0.436893203883495,0.0980392156862745,0.0975609756097561,0.252873563218391,0.52,0.0588235294117647,0.0549450549450549,0.0555555555555556,0.032258064516129,0.26530612244898,0.0927835051546392,0.478260869565217,0.354838709677419,0.0459770114942529,0.458333333333333,0.369369369369369,0.0538461538461538,0.297029702970297,0.391304347826087,0.043010752688172,0.330188679245283,0.168674698795181,0.435185185185185,0.0510204081632653,0.055045871559633,0.0857142857142857,0.428571428571429,0.0731707317073171,0.0365853658536585,0.0454545454545455,0.0217391304347826,0.0638297872340425,0.0232558139534884,0.0412371134020619,0.0476190476190476,0.246913580246914,0.0515463917525773,0.0232558139534884,0.266666666666667,0.0108695652173913,0.0471698113207547,0.021505376344086,0,0.425742574257426,0.0116279069767442,0.1,0.0952380952380952,0.113636363636364,0.0632911392405063,0.0813953488372093,0.0952380952380952,0.0135135135135135,0.0126582278481013,0.0217391304347826,0.012987012987013,0.0263157894736842,0.0117647058823529,0.0119047619047619,0.0131578947368421,0.0135135135135135,0.0114942528735632
"5939",0.0476190476190476,0.0256410256410256,0.0652173913043478,0.0747663551401869,0.159090909090909,0.140350877192982,0.181818181818182,0.0272727272727273,0.243243243243243,0.186046511627907,0.154929577464789,0.0571428571428571,0.135593220338983,0.0659340659340659,0,0.0476190476190476,0.193548387096774,0.326086956521739,0.0531914893617021,0.166666666666667,0.171428571428571,0.0714285714285714,0.0618556701030928,0.171428571428571,0.205128205128205,0.150684931506849,0.146341463414634,0.136363636363636,0.325581395348837,0.0357142857142857,0.1,0.0769230769230769,0.0459770114942529,0.0404040404040404,0.128205128205128,0.0379746835443038,0.0394736842105263,0.116279069767442,0.0454545454545455,0.0909090909090909,0.06,0.35,0.178571428571429,0.181818181818182,0.0224719101123595,0.0779220779220779,0.0588235294117647,0.075,0.153846153846154,0.186046511627907,0.0540540540540541,0.181818181818182,0.0892857142857143,0.04,0.292682926829268,0.114285714285714,0.0655737704918033,0.0476190476190476,0.169811320754717,0.0952380952380952,0,0.021505376344086,0.266666666666667,0.0416666666666667,0,0,0,0,0,0.0833333333333333,0.192307692307692,0.0465116279069767,0.0357142857142857,0.0357142857142857,0.121212121212121,0.0588235294117647,0.12,0.04,0.147058823529412
"39ED",0.176470588235294,0.0909090909090909,0.153846153846154,0.0776699029126214,0.0681818181818182,0.0892857142857143,0.0701754385964912,0.0686274509803922,0,0.0444444444444444,0.0833333333333333,0.0388349514563107,0.105263157894737,0.0689655172413793,0.0476190476190476,0,0.03125,0.0555555555555556,0.0555555555555556,0.0535714285714286,0.0277777777777778,0.0181818181818182,0.0531914893617021,0.0571428571428571,0.075,0.0666666666666667,0.131578947368421,0.0597014925373134,0.177777777777778,0.0779220779220779,0.0735294117647059,0.117647058823529,0.0357142857142857,0.112359550561798,0.105263157894737,0.04,0.0416666666666667,0.0476190476190476,0.0352941176470588,0.1,0.0625,0.136363636363636,0.087719298245614,0.0701754385964912,0.0875,0.112676056338028,0.0666666666666667,0.0540540540540541,0.0512820512820513,0.0681818181818182,0.0606060606060606,0.116279069767442,0.0363636363636364,0.0434782608695652,0.0425531914893617,0.0294117647058824,0.0166666666666667,0.0256410256410256,0.0357142857142857,0.024390243902439,0,0.0340909090909091,0,0.0454545454545455,0.0263157894736842,0.0465116279069767,0,0.0256410256410256,0.0263157894736842,0.0476190476190476,0.0384615384615385,0.025,0.136363636363636,0.0416666666666667,0.0645161290322581,0.0666666666666667,0.0434782608695652,0.0476190476190476,0.0294117647058824
"4C7B",0.03125,0.0357142857142857,0.0555555555555556,0.0721649484536082,0.142857142857143,0.148936170212766,0.08,0.0967741935483871,0.129032258064516,0.212121212121212,0.163934426229508,0.0869565217391304,0.12,0.075,0.193548387096774,0.03125,0,0.162790697674419,0.0731707317073171,0.106382978723404,0.363636363636364,0.113636363636364,0.0952380952380952,0.304347826086957,0.2,0.106060606060606,0.125,0.103448275862069,0.0952380952380952,0.0555555555555556,0.11864406779661,0.0689655172413793,0.0810810810810811,0.0697674418604651,0.0845070422535211,0.0757575757575758,0.114754098360656,0.193548387096774,0.0945945945945946,0.15625,0.104651162790698,0.102564102564103,0.0784313725490196,0.0188679245283019,0.0810810810810811,0.0909090909090909,0.19047619047619,0.142857142857143,0.133333333333333,0.0810810810810811,0.0769230769230769,0.0512820512820513,0.0416666666666667,0.0512820512820513,0.0769230769230769,0.037037037037037,0.08,0,0.0408163265306122,0.0606060606060606,0,0.037037037037037,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41C1",0.0555555555555556,0.0816326530612245,0.127272727272727,0.032258064516129,0.12280701754386,0.238095238095238,0.238095238095238,0.0413223140495868,0.229166666666667,0.333333333333333,0.20253164556962,0.0420168067226891,0.290322580645161,0.0576923076923077,0.326086956521739,0.0555555555555556,0.162790697674419,0,0.037037037037037,0.1875,0.148936170212766,0.0579710144927536,0.045045045045045,0.125,0.25,0.310810810810811,0.304347826086957,0.1,0.346153846153846,0.0309278350515464,0.0714285714285714,0.0377358490566038,0.0297029702970297,0.0265486725663717,0.364864864864865,0.0555555555555556,0.0337078651685393,0.12962962962963,0.0396039603960396,0.0701754385964912,0.0720720720720721,0.36734693877551,0.161764705882353,0.147058823529412,0.0297029702970297,0.2,0.0652173913043478,0.217391304347826,0.260869565217391,0.254901960784314,0.106382978723404,0.160714285714286,0.213114754098361,0,0.346938775510204,0.130434782608696,0.0263157894736842,0.14,0.19047619047619,0.229166666666667,0,0,0.24390243902439,0,0,0,0,0,0,0.0540540540540541,0.128205128205128,0.0943396226415094,0.0769230769230769,0.024390243902439,0.0638297872340425,0.113636363636364,0.025,0.0263157894736842,0.0833333333333333
"22B0",0.0555555555555556,0.0111111111111111,0.0638297872340425,0.537037037037037,0.0625,0.0545454545454545,0.0545454545454545,0.389830508474576,0.043010752688172,0.0515463917525773,0.0991735537190083,0.433628318584071,0.0350877192982456,0.436893203883495,0.0531914893617021,0.0555555555555556,0.0731707317073171,0.037037037037037,0,0.0857142857142857,0.0823529411764706,0.247191011235955,0.36283185840708,0.0574712643678161,0.0537634408602151,0.0227272727272727,0.0425531914893617,0.247524752475248,0.0588235294117647,0.38,0.319587628865979,0.0813953488372093,0.352380952380952,0.387387387387387,0.0610687022900763,0.316831683168317,0.382978723404255,0.0206185567010309,0.415841584158416,0.125,0.427272727272727,0.05,0.0636363636363636,0.0642201834862385,0.352380952380952,0.0983606557377049,0.115384615384615,0.0804597701149425,0.032258064516129,0.0625,0.0227272727272727,0.0404040404040404,0.00900900900900901,0.226190476190476,0.0505050505050505,0.0112359550561798,0.303370786516854,0,0.0560747663551402,0.0104166666666667,0.0131578947368421,0.327272727272727,0,0.147727272727273,0.0804597701149425,0.0989010989010989,0.0617283950617284,0.130952380952381,0.0804597701149425,0,0,0.0105263157894737,0,0.0126582278481013,0.0232558139534884,0,0.025974025974026,0,0.0227272727272727
"29B2",0.0535714285714286,0.0576923076923077,0.163636363636364,0.111111111111111,0.0819672131147541,0.35593220338983,0.176470588235294,0.0578512396694215,0.173076923076923,0.157894736842105,0.2125,0.0956521739130435,0.301587301587302,0.0980392156862745,0.166666666666667,0.0535714285714286,0.106382978723404,0.1875,0.0857142857142857,0,0.0980392156862745,0.0714285714285714,0.102803738317757,0.0769230769230769,0.192307692307692,0.269230769230769,0.148148148148148,0.0975609756097561,0.2,0.0851063829787234,0.0952380952380952,0.0961538461538462,0.0707070707070707,0.113207547169811,0.211764705882353,0.0777777777777778,0.032967032967033,0.145454545454545,0.0288461538461538,0.125,0.0900900900900901,0.0952380952380952,0.227272727272727,0.230769230769231,0.06,0.342465753424658,0.133333333333333,0.0943396226415094,0.153846153846154,0.245283018867925,0.0588235294117647,0.218181818181818,0.225806451612903,0.0307692307692308,0.0967741935483871,0.0384615384615385,0.0526315789473684,0.0727272727272727,0.241935483870968,0.12962962962963,0,0.0476190476190476,0.0392156862745098,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0.0612244897959184,0.02,0,0,0.0588235294117647
