"from","to","weight","highlight","pair_type"
"EC1A","29B2",0.407407407407407,"other","other"
"EC1A","E063",0.434782608695652,"other","other"
"EC1A","076C",0.481481481481481,"other","other"
"EC1A","256A",0.375,"other","other"
"EC1A","7C6F",0.4,"other","other"
"EC1A","0758",0.538461538461538,"other","other"
"EC1A","0D1B",0.416666666666667,"other","other"
"EC1A","4FE4",0.518518518518518,"other","other"
"EC1A","22B0",0.48,"other","other"
"663E","377E",0.4375,"other","other"
"663E","29B2",0.363636363636364,"other","other"
"663E","E063",0.470588235294118,"other","other"
"663E","879F",0.380952380952381,"other","other"
"663E","7C6F",0.545454545454545,"other","other"
"256A","1731",0.421052631578947,"other","other"
"256A","39ED",0.409090909090909,"other","other"
"256A","AC35",0.428571428571429,"other","other"
"256A","4C7B",0.375,"other","other"
"256A","41C1",0.434782608695652,"other","other"
"256A","EC1A",0.375,"other","other"
"256A","7C6F",0.458333333333333,"other","other"
"256A","0758",0.375,"other","other"
"7C6F","1731",0.384615384615385,"other","other"
"7C6F","377E",0.375,"other","other"
"7C6F","24E9",0.478260869565217,"other","other"
"7C6F","4ECA",0.464285714285714,"other","other"
"7C6F","39ED",0.538461538461538,"other","other"
"7C6F","AC35",0.56,"other","other"
"7C6F","BF04",0.375,"other","other"
"7C6F","4C7B",0.354838709677419,"other","other"
"7C6F","41C1",0.68,"other","other"
"7C6F","29B2",0.538461538461538,"other","other"
"7C6F","E063",0.4,"other","other"
"7C6F","076C",0.354838709677419,"other","other"
"7C6F","879F",0.444444444444444,"other","other"
"7C6F","EC1A",0.4,"other","other"
"7C6F","663E",0.545454545454545,"other","other"
"7C6F","256A",0.458333333333333,"other","other"
"7C6F","0758",0.5,"other","other"
"7C6F","4FE4",0.34375,"other","other"
"0758","1731",0.36,"other","other"
"0758","2C18",0.416666666666667,"other","other"
"0758","377E",0.347826086956522,"other","other"
"0758","24E9",0.454545454545455,"other","other"
"0758","4ECA",0.772727272727273,"other","other"
"0758","39ED",0.52,"other","other"
"0758","AC35",0.608695652173913,"other","other"
"0758","41C1",0.428571428571429,"other","other"
"0758","29B2",0.407407407407407,"other","mother-daughter"
"0758","E063",0.375,"other","other"
"0758","076C",0.428571428571429,"other","other"
"0758","EC1A",0.538461538461538,"other","other"
"0758","256A",0.375,"other","other"
"0758","7C6F",0.5,"other","other"
"0758","4FE4",0.366666666666667,"other","other"
"0D1B","1731",0.473684210526316,"other","other"
"0D1B","377E",0.388888888888889,"other","other"
"0D1B","24E9",0.368421052631579,"other","other"
"0D1B","BF04",0.388888888888889,"other","other"
"0D1B","4C7B",0.478260869565217,"other","other"
"0D1B","E063",0.35,"other","other"
"0D1B","EC1A",0.416666666666667,"other","other"
"0D1B","4FE4",0.458333333333333,"other","other"
"0D1B","22B0",0.476190476190476,"other","other"
"4FE4","2C18",0.4,"other","other"
"4FE4","39ED",0.392857142857143,"other","other"
"4FE4","4C7B",0.64,"other","other"
"4FE4","29B2",0.344827586206897,"other","other"
"4FE4","076C",0.708333333333333,"other","other"
"4FE4","879F",0.357142857142857,"other","other"
"4FE4","EC1A",0.518518518518518,"other","other"
"4FE4","7C6F",0.34375,"other","other"
"4FE4","0758",0.366666666666667,"other","other"
"4FE4","0D1B",0.458333333333333,"other","other"
"4FE4","22B0",0.652173913043478,"other","other"
"22B0","4C7B",0.608695652173913,"other","other"
"22B0","E063",0.363636363636364,"other","other"
"22B0","076C",0.541666666666667,"other","other"
"22B0","879F",0.416666666666667,"other","other"
"22B0","EC1A",0.48,"other","other"
"22B0","0D1B",0.476190476190476,"other","other"
"22B0","4FE4",0.652173913043478,"other","other"
