"","39ED","AC35","BF04","41C1","29B2","663E","D14D","758","9FB7","1731","377E","B75C","879F","2C18","F44A","2F8D","44BD","F377","4FE4","0D1B","24E9","4ECA","4C7B","22B0","E063","076C","EC1A","7C6F","D629","C5F2","C950","A539","DCCF","ACF4","15BF","AA3C","204F","9407","80F1","CB2B","898A","5939"
"24E9",0.408450704225352,0.348484848484849,0.408450704225352,0.367647058823529,0.435483870967742,0.273972602739726,0.356164383561644,0.43421052631579,0.30379746835443,0.0952380952380952,0.333333333333333,0.365079365079365,0.338461538461538,0.287878787878788,0.293333333333333,0.444444444444444,0.460526315789474,0.52112676056338,0.337662337662338,0.386666666666667,0,0.402985074626866,0.436619718309859,0.166666666666667,0.0961538461538462,0.393939393939394,0.402597402597403,0.359375,0.285714285714286,0.376623376623377,0.357142857142857,0.23943661971831,0.402597402597403,0.306666666666667,0.380281690140845,0.0980392156862745,0.0816326530612245,0.06,0.0392156862745098,0.0566037735849057,0.0392156862745098,0.0612244897959184
"4ECA",0.507692307692308,0.338461538461538,0.484848484848485,0.421875,0.426229508196721,0.4,0.515625,0.445945945945946,0.294871794871795,0.116666666666667,0.428571428571429,0.4,0.545454545454545,0.383333333333333,0.25,0.4375,0.43421052631579,0.432432432432432,0.364864864864865,0.5,0.402985074626866,0,0.538461538461538,0.109090909090909,0.0784313725490196,0.5,0.394736842105263,0.349206349206349,0.313432835820896,0.444444444444444,0.37037037037037,0.228571428571429,0.432432432432432,0.297297297297297,0.352112676056338,0.0588235294117647,0,0.0625,0.0408163265306122,0.0384615384615385,0.0408163265306122,0.0416666666666667
"4C7B",0.582089552238806,0.319444444444444,0.536231884057971,0.5,0.439393939393939,0.523076923076923,0.544117647058823,0.619718309859155,0.397435897435897,0.153846153846154,0.661016949152542,0.642857142857143,0.5,0.378787878787879,0.355263157894737,0.518518518518518,0.581081081081081,0.540540540540541,0.535211267605634,0.61764705882353,0.436619718309859,0.538461538461538,0,0.112903225806452,0.0677966101694915,0.462686567164179,0.52,0.476190476190476,0.352112676056338,0.555555555555556,0.389830508474576,0.27027027027027,0.52,0.368421052631579,0.386666666666667,0.0508474576271186,0.0172413793103448,0.0535714285714286,0.0350877192982456,0.0333333333333333,0.0350877192982456,0.0357142857142857
"22B0",0.0983606557377049,0.12,0.0634920634920635,0.132075471698113,0.12,0.0909090909090909,0.0819672131147541,0.151515151515152,0.129032258064516,0.161290322580645,0.0727272727272727,0.104166666666667,0.08,0.130434782608696,0.230769230769231,0.12,0.130434782608696,0.102941176470588,0.129032258064516,0.109375,0.166666666666667,0.109090909090909,0.112903225806452,0,0.263157894736842,0.0350877192982456,0.171875,0.148936170212766,0.117647058823529,0.123076923076923,0.0238095238095238,0.222222222222222,0.0869565217391304,0.101694915254237,0.120689655172414,0.0454545454545455,0,0,0,0.0952380952380952,0,0
"E063",0.12962962962963,0.111111111111111,0.0517241379310345,0.0384615384615385,0.111111111111111,0.125,0.0909090909090909,0.09375,0.12280701754386,0.2,0.0816326530612245,0.0444444444444444,0.0666666666666667,0.121951219512195,0.115384615384615,0.0833333333333333,0.0909090909090909,0.112903225806452,0.0847457627118644,0.0483870967741935,0.0961538461538462,0.0784313725490196,0.0677966101694915,0.263157894736842,0,0.06,0.0952380952380952,0.116279069767442,0.108695652173913,0.0983606557377049,0.0277777777777778,0.13953488372093,0.078125,0.0535714285714286,0.0727272727272727,0,0,0,0,0,0,0
"076C",0.411764705882353,0.370967741935484,0.476923076923077,0.369230769230769,0.46551724137931,0.348484848484849,0.484375,0.418918918918919,0.269230769230769,0.0833333333333333,0.442622950819672,0.413793103448276,0.456140350877193,0.396551724137931,0.24,0.486842105263158,0.445945945945946,0.529411764705882,0.434782608695652,0.428571428571429,0.393939393939394,0.5,0.462686567164179,0.0350877192982456,0.06,0,0.386666666666667,0.317460317460317,0.303030303030303,0.457142857142857,0.358490566037736,0.150684931506849,0.405405405405405,0.287671232876712,0.342857142857143,0.0612244897959184,0.0425531914893617,0.0652173913043478,0.0208333333333333,0.0196078431372549,0.0425531914893617,0.0434782608695652
"EC1A",0.435897435897436,0.346666666666667,0.473684210526316,0.418918918918919,0.311688311688312,0.438356164383562,0.40506329113924,0.531645569620253,0.474358974358974,0.173913043478261,0.405405405405405,0.420289855072464,0.356164383561644,0.366197183098592,0.43421052631579,0.535714285714286,0.556962025316456,0.538461538461538,0.474358974358974,0.589041095890411,0.402597402597403,0.394736842105263,0.52,0.171875,0.0952380952380952,0.386666666666667,0,0.394366197183099,0.291139240506329,0.45679012345679,0.27536231884058,0.388888888888889,0.44578313253012,0.392405063291139,0.447368421052632,0.0793650793650794,0.0483870967741935,0.0317460317460317,0.015625,0.0793650793650794,0.015625,0.032258064516129
"7C6F",0.491803278688525,0.26984126984127,0.467741935483871,0.272727272727273,0.379310344827586,0.292307692307692,0.384615384615385,0.408450704225352,0.323943661971831,0.153846153846154,0.431034482758621,0.4,0.368421052631579,0.381818181818182,0.313432835820896,0.367088607594937,0.378378378378378,0.394366197183099,0.382352941176471,0.376811594202899,0.359375,0.349206349206349,0.476190476190476,0.148936170212766,0.116279069767442,0.317460317460317,0.394366197183099,0,0.372881355932203,0.366197183098592,0.240740740740741,0.215384615384615,0.356164383561644,0.236111111111111,0.253521126760563,0.0930232558139535,0.0232558139534884,0.0731707317073171,0.0731707317073171,0.0681818181818182,0.0476190476190476,0.048780487804878
"D629",0.382352941176471,0.202898550724638,0.36231884057971,0.208333333333333,0.317460317460317,0.279411764705882,0.273972602739726,0.30379746835443,0.328767123287671,0.166666666666667,0.303030303030303,0.25,0.265625,0.316666666666667,0.28169014084507,0.337349397590361,0.363636363636364,0.378378378378378,0.328767123287671,0.361111111111111,0.285714285714286,0.313432835820896,0.352112676056338,0.117647058823529,0.108695652173913,0.303030303030303,0.291139240506329,0.372881355932203,0,0.428571428571429,0.166666666666667,0.242424242424242,0.378378378378378,0.314285714285714,0.295774647887324,0.0638297872340425,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.0638297872340425,0.0681818181818182,0.0697674418604651
"C5F2",0.486486486486487,0.32,0.466666666666667,0.373333333333333,0.455882352941176,0.391891891891892,0.43421052631579,0.545454545454545,0.4125,0.161764705882353,0.397260273972603,0.454545454545455,0.366197183098592,0.357142857142857,0.445945945945946,0.567901234567901,0.592105263157895,0.493670886075949,0.527027027027027,0.5,0.376623376623377,0.444444444444444,0.555555555555556,0.123076923076923,0.0983606557377049,0.457142857142857,0.45679012345679,0.366197183098592,0.428571428571429,0,0.303030303030303,0.4,0.638888888888889,0.384615384615385,0.44,0.03125,0,0.0327868852459016,0.0327868852459016,0.03125,0.0327868852459016,0.0508474576271186
