"","0D1B","1731","9E17","D726","2C18","07F9","3D98","B587","4ECA","39ED","B75C","52AD","6D0D","2F15","377E","3CA1","3F49","24E9","A8D2","AC35","AA57","5108","BF04","5672","4FE4","4C7B","41C1"
"B75C",0.516393442622951,0.491228070175439,0.401709401709402,0.28125,0.532710280373832,0.46551724137931,0.474137931034483,0.467213114754098,0.466666666666667,0.508620689655172,0,0.450819672131148,0.486238532110092,0.508064516129032,0.428571428571429,0.439655172413793,0.5,0.403361344537815,0.385964912280702,0.490740740740741,0.423076923076923,0.432692307692308,0.0952380952380952,0.091743119266055,0.114285714285714,0.0925925925925926,0.0648148148148148
"52AD",0.550387596899225,0.528925619834711,0.516949152542373,0.254545454545455,0.52991452991453,0.594827586206897,0.51219512195122,0.53968253968254,0.482456140350877,0.544715447154472,0.450819672131148,0,0.539130434782609,0.541984732824427,0.62037037037037,0.582608695652174,0.59375,0.542372881355932,0.504347826086956,0.442622950819672,0.405172413793103,0.413793103448276,0.203703703703704,0.175438596491228,0.157894736842105,0.166666666666667,0.171171171171171
"6D0D",0.554621848739496,0.545454545454545,0.464285714285714,0.242424242424242,0.532710280373832,0.531531531531532,0.436974789915966,0.516949152542373,0.439252336448598,0.535087719298246,0.486238532110092,0.539130434782609,0,0.484126984126984,0.538461538461538,0.546296296296296,0.488188976377953,0.504504504504504,0.462962962962963,0.490740740740741,0.383177570093458,0.36697247706422,0.173469387755102,0.155339805825243,0.17,0.145631067961165,0.105769230769231
"2F15",0.653543307086614,0.547619047619048,0.536585365853659,0.243697478991597,0.512,0.5234375,0.484848484848485,0.645161290322581,0.455284552845528,0.5625,0.508064516129032,0.541984732824427,0.484126984126984,0,0.504065040650406,0.548387096774194,0.646153846153846,0.536,0.475806451612903,0.576271186440678,0.418032786885246,0.348837209302326,0.129032258064516,0.133858267716535,0.118110236220472,0.144,0.166666666666667
"377E",0.525,0.541284403669725,0.486238532110092,0.260416666666667,0.514018691588785,0.527272727272727,0.522522522522523,0.462809917355372,0.433962264150943,0.491379310344828,0.428571428571429,0.62037037037037,0.538461538461538,0.504065040650406,0,0.527777777777778,0.532786885245902,0.586538461538462,0.5,0.472222222222222,0.364485981308411,0.413461538461538,0.141414141414141,0.147058823529412,0.105769230769231,0.104761904761905,0.118811881188119
"3CA1",0.570247933884298,0.5625,0.536363636363636,0.219047619047619,0.522522522522523,0.590909090909091,0.454545454545455,0.6,0.432432432432432,0.525423728813559,0.439655172413793,0.582608695652174,0.546296296296296,0.548387096774194,0.527777777777778,0,0.53968253968254,0.563636363636364,0.509259259259259,0.537037037037037,0.366071428571429,0.350877192982456,0.212121212121212,0.24,0.22,0.23,0.176470588235294
"3F49",0.582089552238806,0.563492063492063,0.578512396694215,0.271186440677966,0.565573770491803,0.588709677419355,0.596774193548387,0.572519083969466,0.471544715447154,0.553846153846154,0.5,0.59375,0.488188976377953,0.646153846153846,0.532786885245902,0.53968253968254,0,0.515625,0.504065040650406,0.528455284552846,0.446280991735537,0.364341085271318,0.145161290322581,0.168,0.190082644628099,0.188524590163934,0.136
"24E9",0.484375,0.495726495726496,0.508928571428571,0.292929292929293,0.456896551724138,0.521739130434783,0.504273504273504,0.508196721311475,0.445454545454545,0.525423728813559,0.403361344537815,0.542372881355932,0.504504504504504,0.536,0.586538461538462,0.563636363636364,0.515625,0,0.417391304347826,0.443478260869565,0.403669724770642,0.36283185840708,0.132075471698113,0.148148148148148,0.119266055045872,0.138888888888889,0.188118811881188
"A8D2",0.495867768595041,0.596153846153846,0.509433962264151,0.265957446808511,0.415929203539823,0.596153846153846,0.415254237288136,0.483050847457627,0.442307692307692,0.5,0.385964912280702,0.504347826086956,0.462962962962963,0.475806451612903,0.5,0.509259259259259,0.504065040650406,0.417391304347826,0,0.467289719626168,0.358490566037736,0.342592592592593,0.193548387096774,0.15,0.164948453608247,0.151515151515152,0.121212121212121
"AC35",0.572649572649573,0.482456140350877,0.567307692307692,0.257731958762887,0.468468468468468,0.55045871559633,0.504424778761062,0.508474576271186,0.443396226415094,0.526315789473684,0.490740740740741,0.442622950819672,0.490740740740741,0.576271186440678,0.472222222222222,0.537037037037037,0.528455284552846,0.443478260869565,0.467289719626168,0,0.484848484848485,0.333333333333333,0.151515151515152,0.123809523809524,0.183673469387755,0.181818181818182,0.128712871287129
"AA57",0.413223140495868,0.368421052631579,0.388888888888889,0.297619047619048,0.428571428571429,0.418181818181818,0.427272727272727,0.486486486486487,0.505376344086022,0.352941176470588,0.423076923076923,0.405172413793103,0.383177570093458,0.418032786885246,0.364485981308411,0.366071428571429,0.446280991735537,0.403669724770642,0.358490566037736,0.484848484848485,0,0.35,0.134831460674157,0.117021276595745,0.131868131868132,0.155555555555556,0.0860215053763441
"5108",0.365079365079365,0.389380530973451,0.398148148148148,0.447368421052632,0.348214285714286,0.365217391304348,0.362068965517241,0.360655737704918,0.396039603960396,0.384615384615385,0.432692307692308,0.413793103448276,0.36697247706422,0.348837209302326,0.413461538461538,0.350877192982456,0.364341085271318,0.36283185840708,0.342592592592593,0.333333333333333,0.35,0,0.0851063829787234,0.0707070707070707,0.0612244897959184,0.0606060606060606,0.0408163265306122
"BF04",0.169491525423729,0.182692307692308,0.114285714285714,0,0.158415841584158,0.194174757281553,0.127272727272727,0.147826086956522,0.202247191011236,0.153153153153153,0.0952380952380952,0.203703703703704,0.173469387755102,0.129032258064516,0.141414141414141,0.212121212121212,0.145161290322581,0.132075471698113,0.193548387096774,0.151515151515152,0.134831460674157,0.0851063829787234,0,0.5,0.555555555555556,0.69047619047619,0.446808510638298
"5672",0.163934426229508,0.165137614678899,0.0803571428571429,0,0.163461538461538,0.144144144144144,0.11304347826087,0.142857142857143,0.168421052631579,0.109243697478992,0.091743119266055,0.175438596491228,0.155339805825243,0.133858267716535,0.147058823529412,0.24,0.168,0.148148148148148,0.15,0.123809523809524,0.117021276595745,0.0707070707070707,0.5,0,0.510204081632653,0.595744680851064,0.469387755102041
"4FE4",0.196581196581197,0.168224299065421,0.101851851851852,0,0.19,0.179245283018868,0.166666666666667,0.185840707964602,0.197802197802198,0.140350877192982,0.114285714285714,0.157894736842105,0.17,0.118110236220472,0.105769230769231,0.22,0.190082644628099,0.119266055045872,0.164948453608247,0.183673469387755,0.131868131868132,0.0612244897959184,0.555555555555556,0.510204081632653,0,0.738095238095238,0.428571428571429
"4C7B",0.175,0.145454545454545,0.111111111111111,0,0.176470588235294,0.177570093457944,0.154545454545455,0.173913043478261,0.195652173913043,0.129310344827586,0.0925925925925926,0.166666666666667,0.145631067961165,0.144,0.104761904761905,0.23,0.188524590163934,0.138888888888889,0.151515151515152,0.181818181818182,0.155555555555556,0.0606060606060606,0.69047619047619,0.595744680851064,0.738095238095238,0,0.51063829787234
"41C1",0.104,0.128440366972477,0.0934579439252336,0,0.10377358490566,0.138888888888889,0.107142857142857,0.137931034482759,0.150537634408602,0.12280701754386,0.0648148148148148,0.171171171171171,0.105769230769231,0.166666666666667,0.118811881188119,0.176470588235294,0.136,0.188118811881188,0.121212121212121,0.128712871287129,0.0860215053763441,0.0408163265306122,0.446808510638298,0.469387755102041,0.428571428571429,0.51063829787234,0
