"","879F","0387","4ECA","39ED","AC35","BF04","4C7B","41C1","29B2","E063","076C","663E","F44A","A539","44BD","F377","D629","15BF","AA3C","80F1","CB2B","5939","9A21","0255","A5EF","B8A2","A24D","2D31","C809","3CC1","D4DC","418B","8787","AC37","F429","8BE4","4FE4","22B0","DCCF","C5F2","8106","0734","34C9","0145","9A80","A816","A42D","494F","8C52","8B80","922C","9907","B0F1","054D","B0C8","FB4B","0A62","EE51","0F3D","0636","F948","CC06"
"076C",0.441860465116279,0.224489795918367,0.174757281553398,0.132075471698113,0.231578947368421,0.104347826086957,0.32183908045977,0.231578947368421,0.217821782178218,0.197802197802198,0,0.177083333333333,0.336842105263158,0.282828282828283,0.244897959183673,0.204081632653061,0.168421052631579,0.159090909090909,0.222222222222222,0.0740740740740741,0.18,0.23,0.0140845070422535,0.0886075949367089,0.2,0.247422680412371,0.282828282828283,0.264705882352941,0.198019801980198,0.18,0.177083333333333,0.357894736842105,0.257425742574257,0.233644859813084,0.190909090909091,0.274509803921569,0.397849462365591,0.267857142857143,0.145833333333333,0.137254901960784,0.164835164835165,0.160714285714286,0.237623762376238,0.173076923076923,0.295918367346939,0.159090909090909,0.0792079207920792,0.33,0.175,0.10126582278481,0.0897435897435897,0.0657894736842105,0,0,0,0.0277777777777778,0.0128205128205128,0,0.0128205128205128,0.0263157894736842,0,0
"663E",0.217948717948718,0.151898734177215,0.17948717948718,0.28169014084507,0.353846153846154,0.225,0.40983606557377,0.294117647058824,0.253333333333333,0.194029850746269,0.177083333333333,0,0.180722891566265,0.272727272727273,0.347826086956522,0.328358208955224,0.301587301587302,0.140625,0.314285714285714,0.242857142857143,0.308823529411765,0.36231884057971,0.0238095238095238,0.1875,0.181818181818182,0.393939393939394,0.240506329113924,0.123595505617978,0.333333333333333,0.328358208955224,0.2,0.123595505617978,0.256410256410256,0.320512820512821,0.24390243902439,0.2625,0.231707317073171,0.21505376344086,0.265625,0.242857142857143,0.283333333333333,0.346666666666667,0.246753246753247,0.148148148148148,0.101123595505618,0.280701754385965,0.290322580645161,0.0833333333333333,0.0317460317460317,0,0,0.0196078431372549,0,0,0.0217391304347826,0,0.0416666666666667,0.0232558139534884,0,0,0,0
"F44A",0.211111111111111,0.22093023255814,0.164835164835165,0.117021276595745,0.186046511627907,0.204301075268817,0.234567901234568,0.275,0.213483146067416,0.189873417721519,0.336842105263158,0.180722891566265,0,0.258426966292135,0.273809523809524,0.25609756097561,0.170731707317073,0.260869565217391,0.164835164835165,0.160919540229885,0.157303370786517,0.136842105263158,0.0178571428571429,0.163934426229508,0.235294117647059,0.308641975308642,0.244444444444444,0.407407407407407,0.164835164835165,0.170454545454545,0.195121951219512,0.373493975903614,0.154639175257732,0.181818181818182,0.148514851485149,0.263736263736264,0.306818181818182,0.27,0.17283950617284,0.10989010989011,0.1375,0.15,0.157894736842105,0.103092783505155,0.230769230769231,0.115384615384615,0.0561797752808989,0.216494845360825,0.0533333333333333,0.0285714285714286,0.0769230769230769,0.0476190476190476,0,0,0,0,0,0,0,0,0,0
"A539",0.238636363636364,0.117021276595745,0.204545454545455,0.22093023255814,0.275,0.258426966292135,0.333333333333333,0.259259259259259,0.227272727272727,0.236842105263158,0.282828282828283,0.272727272727273,0.258426966292135,0,0.215909090909091,0.271604938271605,0.2,0.12987012987013,0.292682926829268,0.188235294117647,0.373333333333333,0.301204819277108,0.0178571428571429,0.145161290322581,0.25,0.325,0.244444444444444,0.212765957446809,0.292682926829268,0.170454545454545,0.256410256410256,0.1875,0.349397590361446,0.258064516129032,0.195876288659794,0.352941176470588,0.25,0.27,0.20253164556962,0.174418604651163,0.3,0.263736263736264,0.27906976744186,0.16304347826087,0.230769230769231,0.208333333333333,0.146341463414634,0.204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44BD",0.223529411764706,0.219512195121951,0.328947368421053,0.25,0.276315789473684,0.258823529411765,0.283783783783784,0.25974025974026,0.337662337662338,0.289855072463768,0.244897959183673,0.347826086956522,0.273809523809524,0.215909090909091,0,0.4,0.28169014084507,0.188405797101449,0.294871794871795,0.185185185185185,0.209876543209877,0.320512820512821,0.0196078431372549,0.157894736842105,0.123595505617978,0.364864864864865,0.354430379746835,0.147368421052632,0.422535211267606,0.272727272727273,0.291666666666667,0.211111111111111,0.244186046511628,0.191489361702128,0.233333333333333,0.375,0.182795698924731,0.173076923076923,0.40625,0.297297297297297,0.283582089552239,0.30952380952381,0.193181818181818,0.133333333333333,0.244186046511628,0.223880597014925,0.219178082191781,0.228260869565217,0.072463768115942,0.0806451612903226,0.0655737704918033,0.0517241379310345,0,0,0,0,0,0,0.0172413793103448,0,0,0
"F377",0.234567901234568,0.185185185185185,0.182926829268293,0.28,0.24,0.30379746835443,0.28169014084507,0.430769230769231,0.285714285714286,0.307692307692308,0.204081632653061,0.328358208955224,0.25609756097561,0.271604938271605,0.4,0,0.298507462686567,0.164179104477612,0.347222222222222,0.26027397260274,0.27027027027027,0.32,0.0212765957446809,0.127272727272727,0.2,0.25974025974026,0.337662337662338,0.153846153846154,0.293333333333333,0.27027027027027,0.253521126760563,0.141304347826087,0.271604938271605,0.227272727272727,0.175824175824176,0.292682926829268,0.218390804597701,0.229166666666667,0.264705882352941,0.210526315789474,0.301587301587302,0.308641975308642,0.134831460674157,0.113636363636364,0.144444444444444,0.21875,0.164383561643836,0.123711340206186,0.0447761194029851,0.05,0.0517241379310345,0.0555555555555556,0,0,0,0,0.0185185185185185,0,0,0,0,0
"D629",0.177215189873418,0.141025641025641,0.285714285714286,0.289855072463768,0.228571428571429,0.28,0.235294117647059,0.211267605633803,0.352941176470588,0.238095238095238,0.168421052631579,0.301587301587302,0.170731707317073,0.2,0.28169014084507,0.298507462686567,0,0.145161290322581,0.232876712328767,0.307692307692308,0.242857142857143,0.314285714285714,0.025,0.195652173913043,0.171052631578947,0.267605633802817,0.156626506024096,0.126436781609195,0.475409836065574,0.403225806451613,0.188405797101449,0.180722891566265,0.215189873417722,0.188235294117647,0.351351351351351,0.207317073170732,0.151162790697674,0.13265306122449,0.436363636363636,0.370967741935484,0.25,0.151162790697674,0.132530120481928,0.181818181818182,0.142857142857143,0.224137931034483,0.114285714285714,0.108695652173913,0.0161290322580645,0,0,0,0.025,0,0,0,0,0,0,0,0,0
"15BF",0.135135135135135,0.35593220338983,0.173913043478261,0.111111111111111,0.1,0.175675675675676,0.19047619047619,0.203125,0.185714285714286,0.232142857142857,0.159090909090909,0.140625,0.260869565217391,0.12987012987013,0.188405797101449,0.164179104477612,0.145161290322581,0,0.10958904109589,0.0857142857142857,0.0985915492957746,0.169014084507042,0.032258064516129,0.17948717948718,0.212121212121212,0.227272727272727,0.225352112676056,0.271428571428571,0.157142857142857,0.3,0.280701754385965,0.236111111111111,0.16,0.17948717948718,0.151898734177215,0.139240506329114,0.168831168831169,0.228915662650602,0.129032258064516,0.1875,0.11864406779661,0.125,0.103896103896104,0.205882352941176,0.12987012987013,0.0508474576271186,0.0952380952380952,0.148148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA3C",0.183908045977011,0.207317073170732,0.136363636363636,0.253164556962025,0.352112676056338,0.204545454545455,0.305555555555556,0.246753246753247,0.259259259259259,0.23943661971831,0.222222222222222,0.314285714285714,0.164835164835165,0.292682926829268,0.294871794871795,0.347222222222222,0.232876712328767,0.10958904109589,0,0.20253164556962,0.347222222222222,0.307692307692308,0.02,0.101694915254237,0.178571428571429,0.31578947368421,0.261904761904762,0.2,0.36986301369863,0.243589743589744,0.243243243243243,0.11340206185567,0.292682926829268,0.261363636363636,0.235955056179775,0.329268292682927,0.172043010752688,0.273684210526316,0.253521126760563,0.25,0.231884057971014,0.329268292682927,0.223529411764706,0.122222222222222,0.139784946236559,0.327868852459016,0.23943661971831,0.178947368421053,0.158730158730159,0.0819672131147541,0.103448275862069,0.111111111111111,0,0,0.0377358490566038,0.0392156862745098,0.0545454545454545,0,0.115384615384615,0.0754716981132075,0.02,0
"80F1",0.0888888888888889,0.0804597701149425,0.1875,0.342857142857143,0.197368421052632,0.422535211267606,0.126582278481013,0.3,0.2125,0.152777777777778,0.0740740740740741,0.242857142857143,0.160919540229885,0.188235294117647,0.185185185185185,0.26027397260274,0.307692307692308,0.0857142857142857,0.20253164556962,0,0.164556962025316,0.227848101265823,0.0222222222222222,0.0909090909090909,0.220779220779221,0.25,0.174418604651163,0.0842105263157895,0.338028169014085,0.226666666666667,0.144736842105263,0.10752688172043,0.147727272727273,0.164835164835165,0.329113924050633,0.181818181818182,0.130434782608696,0.0943396226415094,0.235294117647059,0.232876712328767,0.176470588235294,0.181818181818182,0.137931034482759,0.185185185185185,0.0978260869565217,0.169230769230769,0.121621621621622,0.07,0.0149253731343284,0,0,0.0185185185185185,0,0,0,0,0,0,0,0,0,0
