"","39ED","B75C","29B2","663E","22B0","076C","D14D","F44A","15BF","80F1","41C1","CB2B","A5EF","A24D","F377","3CC1","24E9","4ECA","AC35","BF04","4C7B","E063","EC1A","7C6F","A539","44BD","DCCF","D629","C5F2","5939","255","387","418B","879F","AA3C","4FE4","B8A2","2D31","D4DC","8787","AC37","F429","C809","A42D","B3E9","145","734","34C9","494F","8106","8666","8BE4","9A80","A16E","A816","D849"
"41C1",0.423423423423423,0.295918367346939,0.344827586206897,0.394495412844037,0.4,0.330578512396694,0.300813008130081,0.317073170731707,0.447619047619048,0.385964912280702,0,0.32520325203252,0.5,0.225,0.438095238095238,0.354545454545455,0.45045045045045,0.623762376237624,0.36697247706422,0.396551724137931,0.238938053097345,0.436170212765957,0.412280701754386,0.336538461538462,0.453703703703704,0.415929203539823,0.457142857142857,0.366071428571429,0.457943925233645,0.378378378378378,0.353448275862069,0.232142857142857,0.25,0.403361344537815,0.422018348623853,0.394957983193277,0.49,0.293577981651376,0.333333333333333,0.279661016949153,0.330578512396694,0.365217391304348,0.285714285714286,0.102272727272727,0.113636363636364,0.101123595505618,0.0989010989010989,0.127906976744186,0.0769230769230769,0.0989010989010989,0.119047619047619,0.126436781609195,0.0930232558139535,0.0740740740740741,0.101123595505618,0.072289156626506
"CB2B",0.314516129032258,0.333333333333333,0.376068376068376,0.365217391304348,0.394957983193277,0.328,0.352459016393443,0.427350427350427,0.353448275862069,0.481818181818182,0.32520325203252,0,0.373015873015873,0.310344827586207,0.322033898305085,0.316239316239316,0.307086614173228,0.3203125,0.327586206896552,0.403361344537815,0.330275229357798,0.333333333333333,0.349593495934959,0.384615384615385,0.408695652173913,0.30952380952381,0.327731092436975,0.35042735042735,0.376068376068376,0.316666666666667,0.433628318584071,0.3,0.322314049586777,0.457627118644068,0.333333333333333,0.413223140495868,0.316239316239316,0.377358490566038,0.342342342342342,0.380530973451327,0.394957983193277,0.361344537815126,0.284552845528455,0.0851063829787234,0.0729166666666667,0.0510204081632653,0.05,0.0303030303030303,0.0729166666666667,0.0824742268041237,0.0421052631578947,0.0510204081632653,0.03125,0.0337078651685393,0.0618556701030928,0.0217391304347826
"A5EF",0.411764705882353,0.268518518518519,0.360655737704918,0.408695652173913,0.346456692913386,0.368,0.328125,0.34375,0.433628318584071,0.448275862068966,0.5,0.373015873015873,0,0.286885245901639,0.4375,0.370689655172414,0.425,0.5,0.407079646017699,0.40983606557377,0.282051282051282,0.380952380952381,0.390243902439024,0.295652173913043,0.439655172413793,0.440677966101695,0.455357142857143,0.358333333333333,0.469026548672566,0.38135593220339,0.415254237288136,0.321428571428571,0.299212598425197,0.439024390243902,0.473214285714286,0.419354838709677,0.458715596330275,0.279661016949153,0.339130434782609,0.298387096774194,0.425,0.452173913043478,0.358333333333333,0.114583333333333,0.136842105263158,0.11340206185567,0.122448979591837,0.138297872340426,0.11340206185567,0.145833333333333,0.130434782608696,0.148936170212766,0.106382978723404,0.0777777777777778,0.125,0.0879120879120879
"A24D",0.289473684210526,0.303370786516854,0.25,0.226086956521739,0.31578947368421,0.282051282051282,0.241666666666667,0.301724137931034,0.247787610619469,0.278260869565217,0.225,0.310344827586207,0.286885245901639,0,0.308411214953271,0.38,0.351351351351351,0.307692307692308,0.26605504587156,0.290598290598291,0.29,0.252525252525253,0.351351351351351,0.254901960784314,0.23728813559322,0.342342342342342,0.302752293577982,0.302752293577982,0.294642857142857,0.339622641509434,0.315315315315315,0.365591397849462,0.333333333333333,0.333333333333333,0.285714285714286,0.23015873015873,0.221238938053097,0.287128712871287,0.316831683168317,0.308411214953271,0.363636363636364,0.327272727272727,0.405940594059406,0.0617283950617284,0.0875,0.0481927710843374,0.0348837209302326,0.048780487804878,0.0609756097560976,0.0470588235294118,0.0779220779220779,0.0609756097560976,0.0641025641025641,0.027027027027027,0.0609756097560976,0.012987012987013
"F377",0.411214953271028,0.333333333333333,0.446601941747573,0.435643564356436,0.36283185840708,0.375,0.390909090909091,0.462264150943396,0.45,0.385321100917431,0.438095238095238,0.322033898305085,0.4375,0.308411214953271,0,0.434343434343434,0.439252336448598,0.481132075471698,0.378640776699029,0.396396396396396,0.209090909090909,0.422222222222222,0.439252336448598,0.306930693069307,0.428571428571429,0.378378378378378,0.445544554455446,0.474747474747475,0.392523364485981,0.377358490566038,0.339285714285714,0.259615384615385,0.28695652173913,0.34453781512605,0.357798165137615,0.432432432432432,0.434343434343434,0.300970873786408,0.330097087378641,0.252173913043478,0.305084745762712,0.401869158878505,0.351851851851852,0.111111111111111,0.109756097560976,0.0963855421686747,0.120481927710843,0.153846153846154,0.0833333333333333,0.107142857142857,0.0875,0.123456790123457,0.115384615384615,0.0666666666666667,0.123456790123457,0.0789473684210526
"3CC1",0.342342342342342,0.282608695652174,0.413461538461538,0.388349514563107,0.369369369369369,0.433962264150943,0.31304347826087,0.429906542056075,0.401960784313726,0.342342342342342,0.354545454545455,0.316239316239316,0.370689655172414,0.38,0.434343434343434,0,0.490196078431373,0.383928571428571,0.359223300970874,0.403669724770642,0.224299065420561,0.465116279069767,0.490196078431373,0.34020618556701,0.333333333333333,0.385321100917431,0.469387755102041,0.469387755102041,0.5,0.333333333333333,0.37037037037037,0.316326530612245,0.226890756302521,0.44954128440367,0.39047619047619,0.365217391304348,0.4,0.269230769230769,0.310679611650485,0.213675213675214,0.407407407407407,0.450980392156863,0.297297297297297,0.113924050632911,0.126582278481013,0.1125,0.0833333333333333,0.1,0.072289156626506,0.0833333333333333,0.118421052631579,0.126582278481013,0.103896103896104,0.04,0.0853658536585366,0.038961038961039
"24E9",0.4375,0.313131313131313,0.358974358974359,0.396396396396396,0.389830508474576,0.378151260504202,0.336065573770492,0.460176991150442,0.462264150943396,0.330578512396694,0.45045045045045,0.307086614173228,0.425,0.351351351351351,0.439252336448598,0.490196078431373,0,0.491071428571429,0.394495412844037,0.460176991150442,0.232758620689655,0.5,0.532710280373832,0.378640776699029,0.467889908256881,0.481818181818182,0.485714285714286,0.5,0.5,0.3,0.333333333333333,0.317757009345794,0.253968253968254,0.370967741935484,0.410714285714286,0.469565217391304,0.490196078431373,0.309090909090909,0.300884955752212,0.272727272727273,0.366666666666667,0.379310344827586,0.380530973451327,0.123595505617978,0.134831460674157,0.10989010989011,0.144444444444444,0.136363636363636,0.0978260869565217,0.170454545454545,0.154761904761905,0.147727272727273,0.114942528735632,0.0714285714285714,0.10989010989011,0.0952380952380952
"4ECA",0.504587155963303,0.303921568627451,0.446428571428571,0.385964912280702,0.439655172413793,0.391666666666667,0.443478260869565,0.388429752066116,0.436363636363636,0.355371900826446,0.623762376237624,0.3203125,0.5,0.307692307692308,0.481132075471698,0.383928571428571,0.491071428571429,0,0.336206896551724,0.423728813559322,0.258620689655172,0.46875,0.439655172413793,0.318181818181818,0.468468468468468,0.418803418803419,0.472222222222222,0.394736842105263,0.514018691588785,0.458715596330275,0.358333333333333,0.252173913043478,0.229007633587786,0.441666666666667,0.45045045045045,0.40983606557377,0.476190476190476,0.256410256410256,0.351351351351351,0.276422764227642,0.368852459016393,0.429824561403509,0.358974358974359,0.119565217391304,0.130434782608696,0.106382978723404,0.139784946236559,0.131868131868132,0.0721649484536082,0.127659574468085,0.0869565217391304,0.142857142857143,0.0869565217391304,0.0689655172413793,0.106382978723404,0.0919540229885057
"AC35",0.342342342342342,0.325842696629214,0.336363636363636,0.43,0.407407407407407,0.333333333333333,0.237704918032787,0.378378378378378,0.361904761904762,0.405660377358491,0.36697247706422,0.327586206896552,0.407079646017699,0.26605504587156,0.378640776699029,0.359223300970874,0.394495412844037,0.336206896551724,0,0.403669724770642,0.235849056603774,0.384615384615385,0.407407407407407,0.354166666666667,0.345454545454545,0.411214953271028,0.411764705882353,0.425742574257426,0.373831775700935,0.371428571428571,0.357798165137615,0.277227722772277,0.216666666666667,0.423423423423423,0.41747572815534,0.330508474576271,0.346153846153846,0.346938775510204,0.35,0.224137931034483,0.381818181818182,0.309734513274336,0.309090909090909,0.1,0.0987654320987654,0.0987654320987654,0.0705882352941176,0.1,0.0987654320987654,0.0963855421686747,0.0897435897435897,0.1125,0.0493827160493827,0.0684931506849315,0.186666666666667,0.0526315789473684
"BF04",0.45945945945946,0.323232323232323,0.367521367521368,0.418181818181818,0.352459016393443,0.341463414634146,0.413793103448276,0.383333333333333,0.418181818181818,0.433628318584071,0.396551724137931,0.403361344537815,0.40983606557377,0.290598290598291,0.396396396396396,0.403669724770642,0.460176991150442,0.423728813559322,0.403669724770642,0,0.263157894736842,0.376237623762376,0.460176991150442,0.401960784313726,0.412280701754386,0.389830508474576,0.414414414414414,0.440366972477064,0.428571428571429,0.427272727272727,0.412280701754386,0.279279279279279,0.223076923076923,0.474137931034483,0.445454545454545,0.428571428571429,0.342105263157895,0.271929824561404,0.333333333333333,0.28099173553719,0.30952380952381,0.352941176470588,0.330508474576271,0.134831460674157,0.108695652173913,0.108695652173913,0.0833333333333333,0.0860215053763441,0.0967741935483871,0.106382978723404,0.126436781609195,0.108695652173913,0.0537634408602151,0.0833333333333333,0.108695652173913,0.0568181818181818
