"","6D0D","2C18","3F49","24E9","4FE4","07F9","377E","B75C","0D1B","1731","3D98","AA57","5108","41C1","B587","9E17","D726","AC35","BF04","5672","4C7B","4ECA","3CA1","52AD","39ED","22B0","29B2","5ACA","C950","E063","7C6F","076C","6BD8","879F"
"3D98",0.345679012345679,0.298850574712644,0.31,0.313953488372093,0.4,0.228260869565217,0.289156626506024,0.373626373626374,0.476744186046512,0.384615384615385,0,0.366666666666667,0.306122448979592,0.34375,0.344827586206897,0.342465753424658,0.288888888888889,0.322222222222222,0.306122448979592,0.357894736842105,0.303921568627451,0.337209302325581,0.285714285714286,0.285714285714286,0.257425742574257,0.0375,0.0232558139534884,0.0232558139534884,0.0105263157894737,0.0116279069767442,0.021505376344086,0.0340909090909091,0.0379746835443038,0.021978021978022
"AA57",0.415730337078652,0.494252873563218,0.450980392156863,0.354166666666667,0.485148514851485,0.41304347826087,0.409090909090909,0.448979591836735,0.469387755102041,0.358695652173913,0.366666666666667,0,0.407766990291262,0.39047619047619,0.472527472527473,0.385542168674699,0.357142857142857,0.307692307692308,0.407766990291262,0.474747474747475,0.388888888888889,0.434782608695652,0.397590361445783,0.444444444444444,0.333333333333333,0.234567901234568,0.280487804878049,0.22093023255814,0.269662921348315,0.155555555555556,0.204301075268817,0.317073170731707,0.207317073170732,0.195652173913043
"5108",0.378947368421053,0.40625,0.429906542056075,0.40625,0.383928571428571,0.377551020408163,0.277227722772277,0.455445544554455,0.405660377358491,0.428571428571429,0.306122448979592,0.407766990291262,0,0.451923076923077,0.43298969072165,0.395348837209302,0.483870967741935,0.382352941176471,0.45631067961165,0.466019417475728,0.396396396396396,0.292452830188679,0.359550561797753,0.39622641509434,0.36697247706422,0.22093023255814,0.182795698924731,0.222222222222222,0.134615384615385,0.172043010752688,0.206185567010309,0.21505376344086,0.181818181818182,0.185567010309278
"41C1",0.419354838709677,0.431578947368421,0.425925925925926,0.36,0.444444444444444,0.416666666666667,0.354166666666667,0.40952380952381,0.388888888888889,0.378947368421053,0.34375,0.39047619047619,0.451923076923077,0,0.4,0.390804597701149,0.336538461538462,0.448979591836735,0.451923076923077,0.447619047619048,0.529411764705882,0.393939393939394,0.326086956521739,0.46078431372549,0.351351351351351,0.191011235955056,0.193548387096774,0.180851063829787,0.202020202020202,0.157894736842105,0.191919191919192,0.239130434782609,0.166666666666667,0.16
"B587",0.428571428571429,0.441860465116279,0.434343434343434,0.425287356321839,0.454545454545455,0.409090909090909,0.439024390243902,0.511111111111111,0.4375,0.433734939759036,0.344827586206897,0.472527472527473,0.43298969072165,0.4,0,0.43421052631579,0.459770114942529,0.382978723404255,0.447916666666667,0.428571428571429,0.5,0.448275862068966,0.358024691358025,0.489130434782609,0.393939393939394,0.175,0.2375,0.222222222222222,0.304878048780488,0.180722891566265,0.177777777777778,0.214285714285714,0.148148148148148,0.155555555555556
"9E17",0.383561643835616,0.346153846153846,0.308510638297872,0.363636363636364,0.358695652173913,0.346153846153846,0.356164383561644,0.409638554216867,0.4,0.351351351351351,0.342465753424658,0.385542168674699,0.395348837209302,0.390804597701149,0.43421052631579,0,0.402597402597403,0.337349397590361,0.379310344827586,0.406976744186047,0.420454545454545,0.407894736842105,0.338235294117647,0.388235294117647,0.293478260869565,0.136363636363636,0.194029850746269,0.159420289855072,0.157894736842105,0.144927536231884,0.144736842105263,0.169014084507042,0.233333333333333,0.164383561643836
"D726",0.352272727272727,0.366666666666667,0.396039603960396,0.5,0.375,0.32258064516129,0.314606741573034,0.40625,0.427083333333333,0.325842696629214,0.288888888888889,0.357142857142857,0.483870967741935,0.336538461538462,0.459770114942529,0.402597402597403,0,0.357894736842105,0.38,0.43298969072165,0.388349514563107,0.344086021505376,0.415584415584416,0.387755102040816,0.383838383838384,0.207792207792208,0.195121951219512,0.240506329113924,0.177777777777778,0.197530864197531,0.166666666666667,0.160919540229885,0.210526315789474,0.197674418604651
"AC35",0.311827956989247,0.4,0.515789473684211,0.384615384615385,0.377358490566038,0.340425531914894,0.395348837209302,0.366336633663366,0.386138613861386,0.359550561797753,0.322222222222222,0.307692307692308,0.382352941176471,0.448979591836735,0.382978723404255,0.337349397590361,0.357894736842105,0,0.368932038834951,0.448979591836735,0.39047619047619,0.361702127659574,0.302325581395349,0.418367346938776,0.359223300970874,0.170731707317073,0.134831460674157,0.147727272727273,0.172043010752688,0.149425287356322,0.148936170212766,0.181818181818182,0.117647058823529,0.177777777777778
"BF04",0.455555555555556,0.377551020408163,0.403669724770642,0.336633663366337,0.409090909090909,0.377551020408163,0.417582417582418,0.441176470588235,0.405660377358491,0.368421052631579,0.306122448979592,0.407766990291262,0.45631067961165,0.451923076923077,0.447916666666667,0.379310344827586,0.38,0.368932038834951,0,0.424528301886792,0.490384615384615,0.412371134020619,0.375,0.510204081632653,0.432692307692308,0.265060240963855,0.222222222222222,0.27906976744186,0.229166666666667,0.267441860465116,0.36046511627907,0.284090909090909,0.253012048192771,0.223404255319149
"5672",0.375,0.402061855670103,0.495145631067961,0.402061855670103,0.544554455445545,0.36,0.41304347826087,0.525773195876289,0.515151515151515,0.408602150537634,0.357894736842105,0.474747474747475,0.466019417475728,0.447619047619048,0.428571428571429,0.406976744186047,0.43298969072165,0.448979591836735,0.424528301886792,0,0.444444444444444,0.408163265306122,0.386363636363636,0.505050505050505,0.470588235294118,0.204545454545455,0.180851063829787,0.21978021978022,0.166666666666667,0.145833333333333,0.18,0.212765957446809,0.179775280898876,0.183673469387755
