"","2C18","1731","24E9","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","29B2","C950","E063","076C","879F","EC1A","663E","D14D","7C6F","758","0D1B","377E","256A","F44A","A539","2F8D","44BD","DCCF","9FB7","F377","ACF4","DE72","D629","C5F2"
"41C1",0.345679012345679,0.246376811594203,0.626666666666667,0.532467532467532,0.6,0.506666666666667,0.443037974683544,0.506329113924051,0.464285714285714,0.5375,0,0.520547945205479,0.486486486486487,0.5,0.441558441558442,0.467532467532468,0.458333333333333,0.465909090909091,0.441860465116279,0.426829268292683,0.379310344827586,0.516483516483517,0.505882352941176,0.407894736842105,0.373134328358209,0.1,0.146666666666667,0.134146341463415,0.173333333333333,0.134146341463415,0.180555555555556,0.151898734177215,0.144578313253012,0.106060606060606,0.178082191780822,0.123456790123457
"22B0",0.428571428571429,0.222222222222222,0.467532467532468,0.453333333333333,0.383720930232558,0.424657534246575,0.381578947368421,0.486486486486487,0.540540540540541,0.425,0.520547945205479,0,0.442857142857143,0.436619718309859,0.397260273972603,0.444444444444444,0.523809523809524,0.428571428571429,0.385542168674699,0.367088607594937,0.541666666666667,0.387096774193548,0.469135802469136,0.4,0.276923076923077,0.161764705882353,0.115942028985507,0.150684931506849,0.144927536231884,0.135135135135135,0.151515151515152,0.108108108108108,0.116883116883117,0.032258064516129,0.132352941176471,0.138888888888889
"29B2",0.356164383561644,0.151515151515152,0.454545454545455,0.565217391304348,0.45679012345679,0.410958904109589,0.405405405405405,0.472972972972973,0.448717948717949,0.448717948717949,0.486486486486487,0.442857142857143,0,0.442857142857143,0.328947368421053,0.391891891891892,0.417910447761194,0.4,0.341176470588235,0.426666666666667,0.375,0.523809523809524,0.35632183908046,0.385714285714286,0.242424242424242,0.147058823529412,0.134328358208955,0.202898550724638,0.2,0.257575757575758,0.171875,0.191176470588235,0.214285714285714,0.05,0.151515151515152,0.208955223880597
"C950",0.333333333333333,0.203125,0.430379746835443,0.513888888888889,0.451219512195122,0.6,0.458333333333333,0.549295774647887,0.425,0.540540540540541,0.5,0.436619718309859,0.442857142857143,0,0.522388059701492,0.485714285714286,0.476923076923077,0.5,0.402439024390244,0.45945945945946,0.423076923076923,0.517647058823529,0.383720930232558,0.420289855072464,0.317460317460317,0.17910447761194,0.184615384615385,0.235294117647059,0.17910447761194,0.217391304347826,0.1875,0.205882352941176,0.194444444444444,0.103448275862069,0.222222222222222,0.261538461538462
"E063",0.408450704225352,0.283333333333333,0.345238095238095,0.379746835443038,0.383720930232558,0.485714285714286,0.346153846153846,0.527777777777778,0.540540540540541,0.461538461538462,0.441558441558442,0.397260273972603,0.328947368421053,0.522388059701492,0,0.529411764705882,0.454545454545455,0.463414634146341,0.554054054054054,0.333333333333333,0.460526315789474,0.417582417582418,0.4875,0.507692307692308,0.360655737704918,0.161764705882353,0.203125,0.183098591549296,0.17910447761194,0.166666666666667,0.206349206349206,0.205882352941176,0.178082191780822,0.163636363636364,0.166666666666667,0.188405797101449
"076C",0.457142857142857,0.234375,0.455696202531646,0.441558441558442,0.457831325301205,0.492957746478873,0.38961038961039,0.493333333333333,0.468354430379747,0.414634146341463,0.467532467532468,0.444444444444444,0.391891891891892,0.485714285714286,0.529411764705882,0,0.462686567164179,0.48780487804878,0.4625,0.392405063291139,0.448717948717949,0.43956043956044,0.551282051282051,0.492537313432836,0.307692307692308,0.157142857142857,0.196969696969697,0.228571428571429,0.157142857142857,0.146666666666667,0.164179104477612,0.2,0.157894736842105,0.0819672131147541,0.128571428571429,0.166666666666667
"879F",0.382352941176471,0.203389830508475,0.445945945945946,0.450704225352113,0.486842105263158,0.441176470588235,0.434782608695652,0.485714285714286,0.44,0.421052631578947,0.458333333333333,0.523809523809524,0.417910447761194,0.476923076923077,0.454545454545455,0.462686567164179,0,0.407407407407407,0.415584415584416,0.36,0.4,0.447058823529412,0.430379746835443,0.393939393939394,0.262295081967213,0.140625,0.145161290322581,0.164179104477612,0.158730158730159,0.147058823529412,0.186440677966102,0.134328358208955,0.126760563380282,0.0545454545454545,0.126984126984127,0.151515151515152
"EC1A",0.372093023255814,0.25,0.455555555555556,0.443181818181818,0.593023255813954,0.506172839506173,0.464285714285714,0.560975609756098,0.466666666666667,0.552941176470588,0.465909090909091,0.428571428571429,0.4,0.5,0.463414634146341,0.48780487804878,0.407407407407407,0,0.528735632183908,0.518072289156627,0.465909090909091,0.615384615384615,0.539325842696629,0.468354430379747,0.364864864864865,0.25974025974026,0.301369863013699,0.36,0.25974025974026,0.324675324675325,0.253333333333333,0.333333333333333,0.333333333333333,0.123287671232877,0.25,0.31578947368421
"663E",0.378048780487805,0.304347826086957,0.465116279069767,0.435294117647059,0.48314606741573,0.5,0.35632183908046,0.5,0.567901234567901,0.530120481927711,0.441860465116279,0.385542168674699,0.341176470588235,0.402439024390244,0.554054054054054,0.4625,0.415584415584416,0.528735632183908,0,0.359550561797753,0.458823529411765,0.595505617977528,0.5,0.460526315789474,0.352112676056338,0.135802469135802,0.25,0.243589743589744,0.194805194805195,0.227848101265823,0.171052631578947,0.266666666666667,0.285714285714286,0.132352941176471,0.184210526315789,0.217948717948718
"D14D",0.376623376623377,0.121621621621622,0.4875,0.533333333333333,0.602564102564103,0.447368421052632,0.48,0.526315789473684,0.379310344827586,0.558441558441558,0.426829268292683,0.367088607594937,0.426666666666667,0.45945945945946,0.333333333333333,0.392405063291139,0.36,0.518072289156627,0.359550561797753,0,0.36046511627907,0.588235294117647,0.470588235294118,0.333333333333333,0.289855072463768,0.197183098591549,0.238805970149254,0.285714285714286,0.25,0.363636363636364,0.242424242424242,0.313432835820896,0.314285714285714,0.0769230769230769,0.238805970149254,0.294117647058824
